Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
3ac82af83a1243220deca90a7b3dda8439c65037fb20668c25b2d38180087ede,2013-04,Dorset Police,Dorset Police,-2.453699,50.610936,On or near Shopping Area,E01020554,Weymouth and Portland 004B,Investigation complete; no suspect identified
8eded0087b5eac8a5d39c283bb8279cf26c6b243b04de66d901d00f330cd1931,2013-04,Dorset Police,Dorset Police,-2.481242,50.598271,On or near BRYANTS LANE,E01020589,Weymouth and Portland 007D,Investigation complete; no suspect identified
c4b24b6e1b7f24b78d9d9f13c48fd607a988f2ff373ec2e545ef6344a16ea77b,2013-04,Dorset Police,Dorset Police,-2.090652,50.815793,On or near WEST STREET,E01020410,East Dorset 005D,Investigation complete; no suspect identified
fcb2f439a7edd6cc6a7f908b72086891c5537ee550b5afc63f8c9c32c1bca1b9,2013-04,Dorset Police,Dorset Police,-2.152650,50.775234,On or near Petrol Station,E01020432,North Dorset 008C,Investigation complete; no suspect identified
0ffc0ff48e314841c692edcf6f9d92bd0ed578151af9a07314c15f5ba4b436fc,2013-04,Dorset Police,Dorset Police,-2.159768,50.858001,On or near DAMORY COURT STREET,E01020439,North Dorset 007E,Investigation complete; no suspect identified
8161044ad5ae8196cdf76732a9f14c375081bf6f98ee381637ce1fec350fc2ba,2013-04,Dorset Police,Dorset Police,-2.250352,50.899773,On or near Petrol Station,E01020446,North Dorset 005C,Investigation complete; no suspect identified
cbc4fb7637ac3f18537c49297382a54eb97fd86b698b80b78700305e66051a58,2013-04,Dorset Police,Dorset Police,-2.054303,50.635450,On or near EAST STREET,E01020466,Purbeck 005A,Investigation complete; no suspect identified
ad1a8ee46739be10bd7a82756060f79c4b94e94b49c9db71f99fe22e79071c64,2013-04,Dorset Police,Dorset Police,-2.067325,50.615074,On or near Parking Area,E01020466,Purbeck 005A,Investigation complete; no suspect identified
c23bae0c7e9e1750b6f966f849a44c538144861b82d3d2ba3c77516e7eecd024,2013-04,Dorset Police,Dorset Police,-2.023189,50.738184,On or near PRESTON CLOSE,E01020471,Purbeck 002A,Investigation complete; no suspect identified
7a9cdbcd6516c41c405507a47c911e8fdb065eedda29280c79c3635faeb1478e,2013-04,Dorset Police,Dorset Police,-1.967485,50.609217,On or near PRINCESS ROAD,E01020478,Purbeck 006A,Investigation complete; no suspect identified
c59a27ade2e6e963d0c92ae7989ee0f24d3b96aa4a36d0c13318010e57a0cfc7,2013-04,Dorset Police,Dorset Police,-2.111793,50.687153,On or near MILL LANE,E01020486,Purbeck 003D,Investigation complete; no suspect identified
9a82f03af721037a1d058693ded594be6435a870f697a73cd7195fa221c96d4b,2013-04,Dorset Police,Dorset Police,-2.445671,50.703449,On or near DIANA CLOSE,E01020524,West Dorset 010E,Investigation complete; no suspect identified
703a16b4b5ed210075966fd9d42ee564be25d651d553e1887850be7cccf70ea0,2013-04,Dorset Police,Dorset Police,-2.448845,50.607232,On or near Parking Area,E01020581,Weymouth and Portland 004E,Investigation complete; no suspect identified
eaab213bf06a9ec2ea09997c5fcfee9f1000290a4d2c6a260711b1ce6c82c4ec,2013-04,Dorset Police,Dorset Police,-2.522186,50.790450,On or near Park/Open Space,E01020529,West Dorset 004C,Investigation complete; no suspect identified
fac42f973b66975888aaccc8637c1ffe2605b2343595215af9645ed092f9c282,2013-04,Dorset Police,Dorset Police,-2.020634,50.856077,On or near DARK LANE,E01020396,East Dorset 005A,Investigation complete; no suspect identified
741e679f6722d83f68e54b46fda0538e3cdbf45e1bec8347ead264032b42bd37,2013-04,Dorset Police,Dorset Police,-1.839590,50.828766,On or near GARDEN-LANE,E01020406,East Dorset 004D,Investigation complete; no suspect identified
24837c19307d07d382ad4ae861fb7e6c3d2ccad0fad664028c3a6dc818335f02,2013-04,Dorset Police,Dorset Police,-1.880475,50.881556,On or near JENNER CLOSE,E01020414,East Dorset 003D,Investigation complete; no suspect identified
c1b5e1e68a19597b7820781a1d1ba214d67d77ba4af99ab87e01de617e44e515,2013-04,Dorset Police,Dorset Police,-2.164070,50.857033,On or near THE PLOCKS,E01020438,North Dorset 007D,Investigation complete; no suspect identified
fc1e2bb3ddea2f15926bcde5654f44a228d6e9c3db228dc3ecc9072fec882fe8,2013-04,Dorset Police,Dorset Police,-2.268293,51.034852,On or near NEWBURY,E01020443,North Dorset 001A,Investigation complete; no suspect identified
ee8628b117b3bfdf60af60d678e109671f8beeeaf986ee1147d26d1e4613f3a5,2013-04,Dorset Police,Dorset Police,-2.122180,50.756647,On or near NEW LANE,E01020469,Purbeck 001B,Investigation complete; no suspect identified
a033500602cd7e83af18228016dc898591d26284a220fd90132d537d28b42726,2013-04,Dorset Police,Dorset Police,-2.430121,50.707941,On or near LUCETTA LANE,E01020519,West Dorset 010B,Investigation complete; no suspect identified
06d061aadfc61abafc92b315c5cad0de677c88bc1784c8601b1fe35fba3a219f,2013-04,Dorset Police,Dorset Police,-2.455942,50.609029,On or near LOWER ST ALBAN STREET,E01020554,Weymouth and Portland 004B,Investigation complete; no suspect identified
e1377c9a49bba962bd2ba20e598114a5b3b32726defed674e8ebfd4bb597cc24,2013-04,Dorset Police,Dorset Police,-2.429960,50.540045,On or near CHURCH OPE ROAD,E01020562,Weymouth and Portland 009A,Investigation complete; no suspect identified
67362990c974f4dcbd4d28e821d144aa9032763542076a3bce60f80855cde615,2013-04,Dorset Police,Dorset Police,-2.465786,50.634153,On or near Pedestrian Subway,E01020580,Weymouth and Portland 003E,Investigation complete; no suspect identified
3bc073408d46bf07b7c423dcf3f382a1c929367b7be9d2ff7dd4483d60c567ff,2013-04,Dorset Police,Dorset Police,-2.472617,50.589197,On or near PORTLAND ROAD,E01020587,Weymouth and Portland 007B,Investigation complete; no suspect identified
4649fae63e5d7c1ffa153ccac4fb2445abe9b9ba577a399e8115479551807192,2013-04,Dorset Police,Dorset Police,-1.998599,50.837545,On or near B3078,E01020398,East Dorset 005B,Investigation complete; no suspect identified
0374779d6887ae7a8b1451eaf21f714912c36f78444007df706db4498e6ba985,2013-04,Dorset Police,Dorset Police,-1.875867,50.818046,On or near BEECHWOOD ROAD,E01020425,East Dorset 006E,Investigation complete; no suspect identified
b5820d6af7d2742925f057f9d716aaa98b46ed0064a64b78e6627bb65fd34f98,2013-04,Dorset Police,Dorset Police,-2.158809,50.855763,On or near MEADOW VIEW,E01020437,North Dorset 007C,Investigation complete; no suspect identified
856e0235267d925c08fe92a1afd88463353fa88ec65a5f69d90ad9986c4ba57b,2013-04,Dorset Police,Dorset Police,-2.195962,50.886911,On or near HOD VIEW,E01020444,North Dorset 005A,Investigation complete; no suspect identified
6a559f5c958da49c2d1a1f026ca05c36fb7ef9787e9b9071167aa0781b5d385f,2013-04,Dorset Police,Dorset Police,-2.112050,50.688178,On or near COOPER'S CLOSE,E01020486,Purbeck 003D,Investigation complete; no suspect identified
cb37df18a85500dedb44503b14178acdfccbceea47e5a7bcfe7e58792ecbaefe,2013-04,Dorset Police,Dorset Police,-2.220082,50.677520,On or near DUCK STREET,E01020491,Purbeck 004C,Investigation complete; no suspect identified
24126c27ae70e2739f790ea1fd5b14aafabe1d4532a83eb4ade483173183c005,2013-04,Dorset Police,Dorset Police,-2.757611,50.721353,On or near WANDERWELL,E01020504,West Dorset 008C,Investigation complete; no suspect identified
3c63af4ee1f4799484b1b48a31944b123904457550c6a982e4467ff3d794e93d,2013-04,Dorset Police,Dorset Police,-2.453508,50.610136,On or near Nightclub,E01020554,Weymouth and Portland 004B,Investigation complete; no suspect identified
f3694db1c610fabf47f620412ad34d8f42bfcb831993429218ebd487c8b97a08,2013-04,Dorset Police,Dorset Police,-2.442407,50.556698,On or near NEW ROAD,E01020564,Weymouth and Portland 009B,Investigation complete; no suspect identified
5c7f991fe74532a9746ea2ec2b4725a4033fc496e434cd47117570be372cde11,2013-04,Dorset Police,Dorset Police,-2.464124,50.631956,On or near ROCKY KNAP,E01020580,Weymouth and Portland 003E,Investigation complete; no suspect identified
0006a2b7340a71fe5c2f89f83958cb38ad19eed94eebd52a11e83e74df14c773,2013-04,Dorset Police,Dorset Police,-2.483142,50.600305,On or near OVERLANDS ROAD,E01020589,Weymouth and Portland 007D,Investigation complete; no suspect identified
