Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
1279e29423a7f1720f6c6310c709aff2f4a14ba6112e62ec28a4308d4a9f8e19,2014-10,Dorset Police,Dorset Police,-2.185514,51.008585,On or near NETTLECOMBE,E01020454,North Dorset 003A,Investigation complete; no suspect identified
51512da9021112e68eeefde8b73d5c3be99bceda273a0b2e56849d1867ad40ad,2014-10,Dorset Police,Dorset Police,-2.192734,51.010399,On or near Petrol Station,E01020454,North Dorset 003A,Investigation complete; no suspect identified
968ad7c94ac57e9341c44dbd1dca1b49a5b6a951e5ccdb133e8886cd1c62621b,2014-10,Dorset Police,Dorset Police,-2.453203,50.618114,On or near LENNOX STREET,E01020555,Weymouth and Portland 004C,Investigation complete; no suspect identified
09967dfb2a285b7b6d3f3649cff55cb7a68db2a864b0ad7f15e365a1cd5afd47,2014-10,Dorset Police,Dorset Police,-2.164598,50.857904,On or near SALISBURY STREET,E01020438,North Dorset 007D,Investigation complete; no suspect identified
67a5a7eee409d5e7c97e403fa0085e966a099837ce2acfe8a9160d4490d54f4e,2014-10,Dorset Police,Dorset Police,-2.431355,50.637172,On or near RINGSTEAD CRESCENT,E01020559,Weymouth and Portland 002C,Investigation complete; no suspect identified
aa39e43e497c00a63541e1d8a63a56bf866b16adc040227e5edd5cfe80ac46e8,2014-10,Dorset Police,Dorset Police,-2.187105,51.003655,On or near ST GEORGE'S ROAD,E01020455,North Dorset 003B,Investigation complete; no suspect identified
ec048f0150d9f3cba435d308b4d66d17dd5a6c5a99425f8146d8d6008891acfa,2014-10,Dorset Police,Dorset Police,-1.780794,50.737441,On or near BARGATES,E01020368,Christchurch 006E,Investigation complete; no suspect identified
ef5989523476aa10b53089dec7f6947e900f32b33dde0c990dc4e26ce418363c,2014-10,Dorset Police,Dorset Police,-2.758686,50.728225,On or near DOCTOR ROBERTS CLOSE,E01020502,West Dorset 008A,Investigation complete; no suspect identified
fd3c2d7715aeef82363b193599f58beb2bd668b62730df628b556273bd011507,2014-10,Dorset Police,Dorset Police,-2.267752,51.032479,On or near LODDEN VIEW,E01020443,North Dorset 001A,Investigation complete; no suspect identified
cb4f3f1eea2e9c33ec31e9eeace8d10d6f0148d6ad543a9b74a1c0bf45eeb36c,2014-10,Dorset Police,Dorset Police,-2.455111,50.609330,On or near Supermarket,E01020554,Weymouth and Portland 004B,Investigation complete; no suspect identified
2b5f54eb762d3a4ad35e6f9500b8c16f217f0b09292968db5f656cf08bd0297d,2014-10,Dorset Police,Dorset Police,-2.453559,50.646278,On or near CANBERRA ROAD,E01020552,Weymouth and Portland 001B,Investigation complete; no suspect identified
cf05e6453396180707a6881bb7dd916745435fe2d0d9f6818d7dad23d05e3d9c,2014-10,Dorset Police,Dorset Police,-2.464441,50.595210,On or near HOWARD CLOSE,E01020585,Weymouth and Portland 006C,Investigation complete; no suspect identified
d55386c855a5db050bc35c66ca86fd0eba7577bcac7c3803476c5cff8470f38c,2014-10,Dorset Police,Dorset Police,-2.454829,50.610859,On or near SCHOOL STREET,E01020554,Weymouth and Portland 004B,Investigation complete; no suspect identified
ad6bdef634d63955c5a6a579a8d4c524c71d9f3c5d852af63dcfaf85a57803cb,2014-10,Dorset Police,Dorset Police,-2.453559,50.646278,On or near CANBERRA ROAD,E01020552,Weymouth and Portland 001B,Investigation complete; no suspect identified
f8ab4179833eca899278081f9e6e59777527d0cc89a75ae57224c55883473b77,2014-10,Dorset Police,Dorset Police,-2.452428,50.608018,On or near BELLE VUE,E01020554,Weymouth and Portland 004B,Investigation complete; no suspect identified
01c164329897080d02c01a81f13af22eae17d2a592c970b9dbece6c38567281a,2014-10,Dorset Police,Dorset Police,-1.958992,50.608585,On or near TOWN HALL LANE,E01020482,Purbeck 006E,Investigation complete; no suspect identified
e5f6cc15eb183e6bea2f89965c2a39c81cea9faf126f54c6df9753ceafa11bf1,2014-10,Dorset Police,Dorset Police,-2.023189,50.738184,On or near PRESTON CLOSE,E01020471,Purbeck 002A,Investigation complete; no suspect identified
0c61b9a88c8531f8b5a59b7d44f9e718b6642f2eb536f0ef9ea69d4b6c2e1f31,2014-10,Dorset Police,Dorset Police,-2.155897,50.864580,On or near SALISBURY ROAD,E01020439,North Dorset 007E,Investigation complete; no suspect identified
11f04c4f9da98ed5795ed40b2c298b3f120688dedbb25ef860ef29fb043151fd,2014-10,Dorset Police,Dorset Police,-2.461636,50.607388,On or near Supermarket,E01020573,Weymouth and Portland 005B,Investigation complete; no suspect identified
f2f03bb44b583aebc9eefd6c6d999f534f031e8f0683a8dcdafd944602975466,2014-10,Dorset Police,Dorset Police,-1.975059,50.611854,On or near AIGBURTH ROAD,E01020478,Purbeck 006A,Investigation complete; no suspect identified
6722da88be80b8c6e4a6dda06ca0c9dc7ca940ee471f3769c7db1c83611317b8,2014-10,Dorset Police,Dorset Police,-1.972302,50.613121,On or near Petrol Station,E01020478,Purbeck 006A,Investigation complete; no suspect identified
2e76e3de80db1fd997bf645918edecf859201e5ebf61536336091de8d4924198,2014-10,Dorset Police,Dorset Police,-2.443494,50.540111,On or near GYPSY LANE,E01020565,Weymouth and Portland 009C,Investigation complete; no suspect identified
eb44effea7697f42c3017c01684b9f9abe28ef480f64400b91591d186155d103,2014-10,Dorset Police,Dorset Police,-1.958186,50.609726,On or near MERMOND PLACE,E01020479,Purbeck 006B,Investigation complete; no suspect identified
07b7fbab876a2cedbc3ffe5930992d86be6b04d9affd22a3df89f079d3cb6e0d,2014-10,Dorset Police,Dorset Police,-1.751234,50.742750,On or near HUNT ROAD,E01020348,Christchurch 005C,Investigation complete; no suspect identified
0847acc15c76fd23dbe5701f6513d3c25292de2090d3a303f0fec9020dde9249,2014-10,Dorset Police,Dorset Police,-2.471582,50.605757,On or near BAYCLIFFE ROAD,E01020577,Weymouth and Portland 005C,Investigation complete; no suspect identified
