Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
fbdbd6cda3ec59f1a38cc8acce038d87c8956e622cd9e0d387d7ad82c1e06241,2014-10,Humberside Police,Humberside Police,-0.358287,53.744403,On or near Hospital,E01012852,Kingston upon Hull 024B,Investigation complete; no suspect identified
99844499e7fa8674a7fb914c961b0aa892be532f853c1931d7f75ec1099d6494,2014-10,Humberside Police,Humberside Police,-0.350719,53.756048,On or near KNIGHTSBRIDGE COURT,E01012857,Kingston upon Hull 024D,Investigation complete; no suspect identified
f234ac578d3ec48265995c47114fa4340b6d2d92faca459d8970aaf02c803a36,2014-10,Humberside Police,Humberside Police,-0.341320,53.746668,On or near ALBION STREET,E01033104,Kingston upon Hull 029E,Investigation complete; no suspect identified
c6513630664d67b5dfa0f0aa66d7b65df4395b95aec2904e32c014f3d5f79ab0,2014-10,Humberside Police,Humberside Police,-0.377006,53.749755,On or near MAYTHORPE CLOSE,E01012862,Kingston upon Hull 025E,Investigation complete; no suspect identified
c3dc23d4303d9e28b1dbe2a8a2bd536afe337a7e12444afcd54449603f6d0645,2014-10,Humberside Police,Humberside Police,-0.349755,53.754318,On or near DERBY STREET,E01012857,Kingston upon Hull 024D,Investigation complete; no suspect identified
5934243031cce42dd19da417e06622ed9cab4df5278b1f028d0a7258576757b0,2014-10,Humberside Police,Humberside Police,-0.340201,53.747732,On or near CLARENCE COURT,E01012851,Kingston upon Hull 029A,Investigation complete; no suspect identified
a5502888a76a0d4cc1329634d89772bafc98d5cc354e7dce928d73759d39c3b3,2014-10,Humberside Police,Humberside Police,-0.393355,53.735044,On or near ASKEW AVENUE,E01012858,Kingston upon Hull 031A,Investigation complete; no suspect identified
fec82a50b25088a23f03f5a191fe949f940a7a3e0672aec168c2b4eb79d2bfa6,2014-10,Humberside Police,Humberside Police,-0.377481,53.743721,On or near ANLABY ROAD,E01012864,Kingston upon Hull 027D,Investigation complete; no suspect identified
da3f2fa21ef55f87b1d4758d878652f734a8df0893da1c337f4f0d713bc5bbc5,2014-10,Humberside Police,Humberside Police,-0.374698,53.741570,On or near ARTHUR STREET,E01012864,Kingston upon Hull 027D,Investigation complete; no suspect identified
f5c8403a3618eb3b869722b884f2b15177f6b91b3e3496398fce362ab693c852,2014-10,Humberside Police,Humberside Police,-0.376011,53.746047,On or near BECKHOLE CLOSE,E01012862,Kingston upon Hull 025E,Investigation complete; no suspect identified
