Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
d47e29b313e3abfcf29a502f226b11b3a70f2e63e0d466375ed3ec6e3fdb50d5,2014-10,Norfolk Constabulary,Norfolk Constabulary,0.734547,52.404476,On or near ASPEN CLOSE,E01026478,Breckland 017E,Suspect charged
bf90efc500bd4736310eb90ab5fa813ce29a44b90f539df7a404411a40edd5e9,2014-10,Norfolk Constabulary,Norfolk Constabulary,1.259586,52.629370,On or near EARLHAM ROAD,E01026862,Norwich 010E,Offender given a caution
43f26f74c06a5392890976adc7828c7095899146ff1f629d097156072a56401f,2014-10,Norfolk Constabulary,Norfolk Constabulary,0.400826,52.754506,On or near RAILWAY ROAD,E01026699,King's Lynn and West Norfolk 011B,Suspect charged
304ad8992035f1f61864c937f5f2cbd26a85fb41ffc445db0e75bc1916e48359,2014-10,Norfolk Constabulary,Norfolk Constabulary,0.397056,52.750077,On or near BRIDGE STREET,E01026699,King's Lynn and West Norfolk 011B,Suspect charged
45f34511a441b4863e894a41ccb55e91d1f9121f9e469d011cf20c74cdae70e5,2014-10,Norfolk Constabulary,Norfolk Constabulary,0.430522,52.753119,On or near BUTTERWICK,E01026662,King's Lynn and West Norfolk 010A,Suspect charged
6b1571fb0749a4db23182394353d219c06ac11e276da7ff1e12a4fc770bd0aa1,2014-10,Norfolk Constabulary,Norfolk Constabulary,1.298176,52.867574,On or near Park/Open Space,E01026766,North Norfolk 005B,Offender given a caution
f33c366b23f4e9a3d81324cf8794a27f5dea49a0a684b073a514bc5c1028ae70,2014-10,Norfolk Constabulary,Norfolk Constabulary,0.849451,52.829668,On or near Shopping Area,E01026747,North Norfolk 011C,Offender given a caution
1271a752fff0b82dd29c0f7f7cfca4940c13a3ceef58dd0e5518d414f65d4500,2014-10,Norfolk Constabulary,Norfolk Constabulary,1.150937,52.503869,On or near THE FIELDS,E01026897,South Norfolk 011C,Suspect charged
6b778f044000c2b2cf1a1f2c7295e48b77e89f89ca7bbc0cde2198e5b61e9a7d,2014-10,Norfolk Constabulary,Norfolk Constabulary,1.724250,52.609831,On or near THE CONGE,E01026597,Great Yarmouth 005C,Suspect charged
15bd6aa9d722904f90ac0d74b6a730698a3490f275164a87c8fb943fdf14166c,2014-10,Norfolk Constabulary,Norfolk Constabulary,1.329737,52.632895,On or near BOULTON ROAD,E01026572,Broadland 015D,Suspect charged
7e33ed5235f3a9d8b76ba50c9f65ac79c6cd52b0633762008ac2a79628d2a3aa,2014-10,Norfolk Constabulary,Norfolk Constabulary,1.307184,52.628257,On or near ASPLAND ROAD,E01033439,Norwich 014B,Offender given a caution
08b8a37f5986174389128067760d6e702b218c900d0dcf18bbe4bd61a3a4411d,2014-10,Norfolk Constabulary,Norfolk Constabulary,0.399681,52.755779,On or near NORFOLK STREET,E01026698,King's Lynn and West Norfolk 011A,Suspect charged
92c78a243ebd5c25a70e313470ba25ce2eb2ca89276ba5985f992a03d090f020,2014-10,Norfolk Constabulary,Norfolk Constabulary,1.276389,52.606989,On or near BROADHURST ROAD,E01026811,Norwich 012B,Offender given a caution
