Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
06ca1b329f2187efce6a5e65077cdad4f24e99d73e36efc1cc12e19fcab1184b,2014-10,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.040375,51.705470,On or near PROSPECT ROAD,E01023297,Broxbourne 010A,Investigation complete; no suspect identified
a3a031de9e5c66351456728f5b363899a52f13b841c4bfa392c29c083f37fa7e,2014-10,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.037445,51.718001,On or near Supermarket,E01023305,Broxbourne 008D,Investigation complete; no suspect identified
031adb08b64c88def9597a576628d2b7f8e5adad6161391bdd5de4a0c32c90da,2014-10,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.059480,51.696668,On or near Parking Area,E01023293,Broxbourne 011A,Investigation complete; no suspect identified
171a177879766a4a6c5ae21189c2b2b7804159cb60e8ea5bad99769a63201d6d,2014-10,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.034245,51.700970,On or near LYNTON PARADE,E01023300,Broxbourne 010D,Investigation complete; no suspect identified
fcca2a91fb7bee787ca3bd79e1dc2fdce01fe35bd459f9b034e36bc76845acfd,2014-10,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.045454,51.708180,On or near ST MARY'S ROAD,E01023294,Broxbourne 011B,Investigation complete; no suspect identified
52b444e8669e15d71381c229eaf3f17738b4b7adc2a7217bf1a49126e5c0ef40,2014-10,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.033398,51.690480,On or near Supermarket,E01023332,Broxbourne 012A,Investigation complete; no suspect identified
e1435d8d35498910a14981161e9c3ebcabc402d2efd0e8d21624a707e550ac5c,2014-10,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.040375,51.710155,On or near Petrol Station,E01023303,Broxbourne 008B,Investigation complete; no suspect identified
ecb42049b0dbde05ede18ac954eaabdf3d7c1da5cd3441342b585a433f37bbcd,2014-10,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.040375,51.710155,On or near Petrol Station,E01023303,Broxbourne 008B,Investigation complete; no suspect identified
8e3dd9c16b496461fd1969384d98c78724f47a21c20de829d5c2536a68333cc8,2014-10,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.036684,51.703466,On or near ROWLANDS CLOSE,E01023297,Broxbourne 010A,Investigation complete; no suspect identified
d278e28ab1e0a57024a84c15dbe5a194fe14011af705d8f71d3b714251b4ab08,2014-10,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.056688,51.707809,On or near CUSSONS CLOSE,E01023295,Broxbourne 011C,Investigation complete; no suspect identified
f1cf0e653b49b835bc5c008eebb28f7532ea43216cb67ff47fb8c7b79ef4314d,2014-10,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.037445,51.718001,On or near Supermarket,E01023305,Broxbourne 008D,Investigation complete; no suspect identified
7392ab27157b511fe5f1f22726fcbc1bbd52c3db3daa7666f9a0c2ba9086079b,2014-10,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.033398,51.690480,On or near Supermarket,E01023332,Broxbourne 012A,Investigation complete; no suspect identified
afa7d9876ff96106852aa93f428ce5cb6e0f52cf46b9729088a54fbd017bfa06,2014-10,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.043117,51.705659,On or near GREAT CAMBRIDGE ROAD,E01023297,Broxbourne 010A,Investigation complete; no suspect identified
ff64034185debdfe41c5e049b50ac15a132dfb1de287f70050baf4b61bcda7a3,2014-10,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.065727,51.719495,On or near HEADINGLEY CLOSE,E01023308,Broxbourne 006B,Investigation complete; no suspect identified
7d0d4e773a5077f27eeb2fece3c1ab40a7ff519eb0478f0e17711d244a9c47f1,2014-10,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.059089,51.709539,On or near ELDERBECK CLOSE,E01023325,Broxbourne 009C,Investigation complete; no suspect identified
1f4613cfa57bb3535b9194556aaf716f97cb0d2951707d2d70db282c05e81ad5,2014-10,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.076211,51.720126,On or near GREAT STOCKWOOD ROAD,E01023315,Broxbourne 007D,Investigation complete; no suspect identified
870bd46811373ce230056d72f50e7a742e748c9e4256c851aa05e96d33f91f32,2014-10,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.036800,51.692110,On or near DUDLEY AVENUE,E01023332,Broxbourne 012A,Investigation complete; no suspect identified
bcd676dd9e801ace223a3c8b052fdd678f3428a8cab26178560e372b0762ebaa,2014-10,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.051817,51.706973,On or near EDENVALE,E01023295,Broxbourne 011C,Investigation complete; no suspect identified
e2829a3306ae5ebf3962c0a1387c50ad8886fd5455945732ef2cdfeed3737c8b,2014-10,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.034495,51.702233,On or near TURNER'S HILL,E01023301,Broxbourne 010E,Investigation complete; no suspect identified
a21ad209733aee95492b4a348476afba5f613ae45d1cfd469b58d43d63d7b2dd,2014-10,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.061953,51.711610,On or near GRANBY PARK ROAD,E01023314,Broxbourne 009A,Investigation complete; no suspect identified
ce0acc993aa6b7973cca0dbe74927fa1a83a30794b21a1c476dfdf1ace68cd2d,2014-10,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.030653,51.685713,On or near ELEANOR CROSS ROAD,E01023337,Broxbourne 013B,Investigation complete; no suspect identified
98765ccbc16b5b24ce24af242a9721d74a7b7b1286c1a4ad989daced6d67550a,2014-10,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.040375,51.710155,On or near Petrol Station,E01023303,Broxbourne 008B,Investigation complete; no suspect identified
1a7610adcd8dbf5df961c159cdcca52c926389cf7fc83b5a40bd090e4573eea5,2014-10,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.056688,51.707809,On or near CUSSONS CLOSE,E01023295,Broxbourne 011C,Investigation complete; no suspect identified
57bd4995da2fe12a62de713571505478dbb90eaf11610922d7a6410b19f9affa,2014-10,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.090532,51.712167,On or near GOFF'S OAK AVENUE,E01023311,Broxbourne 007A,Investigation complete; no suspect identified
79d5a2dbcd313b96e1a44520431d5f81eb4bbb76181ffd7c44236c483d147ae7,2014-10,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.055397,51.709883,On or near ANDREW'S LANE,E01023325,Broxbourne 009C,Investigation complete; no suspect identified
