Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
df422336d01ad72bdb3250cb96bd116e59214219c653141c87e1baf1c6ad115f,2015-05,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.331752,51.736756,On or near NUNS LANE,E01023738,St Albans 017B,Investigation complete; no suspect identified
8f018166b137e17bea97c4cbbe11f11008582ae94b241ca4618716545a71f413,2015-05,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.012558,51.756286,On or near YEWLANDS DRIVE,E01023321,Broxbourne 003B,Investigation complete; no suspect identified
8754ab5a890e41b02f39972b7f53cd43c2053bc039cc871d30a9767ff8304e40,2015-05,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.199438,51.902315,On or near ST GEORGE'S WAY,E01023758,Stevenage 008D,Investigation complete; no suspect identified
92c8cd6394e5e053dc55f8afd69319acbd7f332161e35c59473affc6e2996991,2015-05,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.202790,51.901746,On or near Bus/Coach Station,E01023758,Stevenage 008D,Investigation complete; no suspect identified
ecd88eeefc0405db39854523002942c6020b5adbd1ad0aa3c73896f3718a4384,2015-05,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.303082,51.705664,On or near Sports/Recreation Area,E01023720,St Albans 019C,Investigation complete; no suspect identified
1e90c810e2ecae7cfafba28d0bb9d4de7e2446016517e883d4c7f1b16d75522a,2015-05,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.471724,51.750133,On or near KING HARRY STREET,E01023398,Dacorum 015D,Suspect charged as part of another case
f480788d3b4e1e156042d1b3c8ea07ee19986871b0d56fd73082b7fe49cce562,2015-05,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.279476,51.654929,On or near GLENHAVEN AVENUE,E01023532,Hertsmere 007D,Investigation complete; no suspect identified
e94cb699f84402638bff0cf1c1c74c97ef39d7f2b532cef0faead5484be3a6fb,2015-05,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.338793,51.737080,On or near MANDEVILLE DRIVE,E01023739,St Albans 017C,Investigation complete; no suspect identified
ce5436fee5cad2744b08c00c70f1f8f12300613b788fb8a8fbc38b0c1e4a8f32,2015-05,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.391548,51.665015,On or near Parking Area,E01023895,Watford 005A,Investigation complete; no suspect identified
fd4b53d08ff88d4d41f9ebe8b2431ade68c0afaf5fe5309f53a00589074d9a5f,2015-05,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.337202,51.754385,On or near Parking Area,E01023727,St Albans 012B,Suspect charged
9eed456a8a61a3f2c00ca15400462bdf077c4ce6ab1a8e4b6ee6bc6a0f59b325,2015-05,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.396655,51.672728,On or near Parking Area,E01023857,Watford 006C,Suspect charged
98e4aebff46c5559b0ccdcacab49656dd7c11deaaaad4c21ed71d683d6126a17,2015-05,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.448896,51.769922,On or near REDBOURN ROAD,E01023346,Dacorum 013B,Suspect charged
b9866426081d200c56143213cf586fe85b6897240611b0c89745af23a2818221,2015-05,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.040306,51.706404,On or near OXFORD CLOSE,E01023301,Broxbourne 010E,Investigation complete; no suspect identified
eddf0162066d58a185bc968557314cce64dc379fd3725e38f09691497d007688,2015-05,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.237817,51.765040,On or near GOLDSMITH WAY,E01033308,Welwyn Hatfield 010E,Offender given a caution
038e6bbe289c0fc9cea261fec69124ffc12eaffab70630cdc931802073c29913,2015-05,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.399018,51.672967,On or near HALSEY PLACE,E01023857,Watford 006C,Investigation complete; no suspect identified
f083bd7ecb2bebb3697ab28d4c4c0bc7f47936b114f1e19b86115151a982838e,2015-05,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.400520,51.659491,On or near Nightclub,E01023861,Watford 009C,Offender given a caution
c961eca49c63158279b4b034fac5c72108c2452c1f0b0a66c7413c785a9ee089,2015-05,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.337252,51.636563,On or near WINDMILL STREET,E01023548,Hertsmere 013A,Suspect charged
5238b79cd0b27ae07ced6c8882480bb61cc259eb60424316df71c6e2b58324cc,2015-05,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.400520,51.659491,On or near Nightclub,E01023861,Watford 009C,Offender given a caution
b184c39fc75da36843a93b698f87c6eda588d4ae8594e6317b785117efdedcf1,2015-05,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.474072,51.753994,On or near Police Station,E01023400,Dacorum 015E,Offender given a caution
b3f9080b3ec6db394d9be603141420468f3da6df2299be1cb995b13bc5357027,2015-05,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.474072,51.753994,On or near Police Station,E01023400,Dacorum 015E,Offender given a caution
1b0e2a5f171887b58a61bc90ac6c6b1a9ead90d749571c36a54f649654d4dc38,2015-05,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.255463,51.660213,On or near YORK CRESCENT,E01023545,Hertsmere 009B,Suspect charged
