Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
d66a6c5d749b64e5309f8618083488fce496ac1731b1991146881ae92ef4ffca,2013-10,Dorset Police,Dorset Police,-2.166153,50.855609,On or near Nightclub,E01020438,North Dorset 007D,Investigation complete; no suspect identified
dc2cef552d5ab74940c827c1953ab1844988726806139f092775dbc355dadb49,2013-10,Dorset Police,Dorset Police,-2.425629,50.706150,On or near DUCHY CLOSE,E01020520,West Dorset 010C,Investigation complete; no suspect identified
e24f429341fb094276c853e9176c9109640e2d9053aa1dc8856855a5a249905f,2013-10,Dorset Police,Dorset Police,-2.372038,50.884216,On or near WEST LANE,E01020448,North Dorset 008E,Investigation complete; no suspect identified
5652b2f16d6458bae54dfd955ea228fd31c852172b941f15b3af4b09ddfffe4f,2013-10,Dorset Police,Dorset Police,-2.458518,50.619613,On or near JUBILEE CLOSE,E01020553,Weymouth and Portland 004A,Investigation complete; no suspect identified
22012b038ec26424deaa8a6cb6481c27f8ad0144067d5157000b8311e1e9869c,2013-10,Dorset Police,Dorset Police,-1.761431,50.730209,On or near Sports/Recreation Area,E01020364,Christchurch 006C,Investigation complete; no suspect identified
fb0199e81a30a3fd3b3cdf455b081132fbc9f8045e91e69c7ea146cc6d96162c,2013-10,Dorset Police,Dorset Police,-2.022098,50.738742,On or near UPTON HEATH ESTATE,E01020471,Purbeck 002A,Investigation complete; no suspect identified
c5c59ef8318b54b6b84e9fdbb27d4419fa6417e6f491efe80158f430c2379975,2013-10,Dorset Police,Dorset Police,-1.754530,50.735689,On or near ROSEDALE CLOSE,E01020346,Christchurch 005A,Investigation complete; no suspect identified
ab43e7a4728a0a118d90f24788c971699406140e150b42de01b4a3f4383e1a02,2013-10,Dorset Police,Dorset Police,-1.714248,50.737342,On or near Parking Area,E01020350,Christchurch 003B,Investigation complete; no suspect identified
e031fd78add0fd8b08fa9f5306a7abc1d26be114d0ff0eb55e4750e32f0d7fed,2013-10,Dorset Police,Dorset Police,-2.193632,50.822016,On or near A354,E01020453,North Dorset 006C,Investigation complete; no suspect identified
7665221a529c86779be72ed03c0c2c80be07e075051e2b73d6c1a0e702309e8e,2013-10,Dorset Police,Dorset Police,-2.757431,50.733890,On or near DOWNES STREET,E01020500,West Dorset 006C,Investigation complete; no suspect identified
5c86425ad25a2a240bbe0971311ee0f2135bd509833306f7b6a4c9524b477828,2013-10,Dorset Police,Dorset Police,-2.077766,50.766568,On or near CASTLE FARM ROAD,E01020470,Purbeck 001C,Investigation complete; no suspect identified
f5d232c20b0206b40418e41756654c66699e57e7d3cb89d98a59b64e90846b77,2013-10,Dorset Police,Dorset Police,-2.188585,51.003005,On or near SALISBURY ROAD,E01020455,North Dorset 003B,Investigation complete; no suspect identified
ceb45c7db8217fcd3e683c10e22332838d7bd92a6e416c022f2033bb437d8074,2013-10,Dorset Police,Dorset Police,-2.119032,50.684016,On or near WORGRET ROAD,E01020486,Purbeck 003D,Investigation complete; no suspect identified
5c6e8b00be2c3c170789a4c1b7568628f3e5ffa81eed07c1ea4c97564073eca5,2013-10,Dorset Police,Dorset Police,-2.755421,50.732284,On or near Parking Area,E01020503,West Dorset 008B,Investigation complete; no suspect identified
