Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
a5ed1e9ca9261d5f92c134079a6731170e0e99e7489072a6bb6898e8d52c8da9,2014-08,Dorset Police,Dorset Police,-1.884452,50.796221,On or near NEW ROAD,E01020395,East Dorset 011A,Investigation complete; no suspect identified
998bdaa7ef6cbed6aeca78dd7f0e1442d41aefa3966a7db1bedbca6ab6b0ce07,2014-08,Dorset Police,Dorset Police,-2.879972,50.736024,On or near STONEBARROW LANE,E01020517,West Dorset 007B,Investigation complete; no suspect identified
5f6b4759d33f2af47e63a141f3eeecf9f4f19cce5a56ce818b02ebf91888f8d1,2014-08,Dorset Police,Dorset Police,-2.486487,50.598528,On or near MANDEVILLE CLOSE,E01020516,West Dorset 012E,Investigation complete; no suspect identified
2101864b367c33bfc0ed4a2afc8e99c5f6ab60b2b9e607a715530656ff0c769d,2014-08,Dorset Police,Dorset Police,-1.778211,50.735305,On or near Shopping Area,E01020367,Christchurch 006D,Investigation complete; no suspect identified
6ca8c426c2ef31aaf564e069f46619e54e943dcdd268a5bff045cd2b830eb58e,2014-08,Dorset Police,Dorset Police,-2.437298,50.547661,On or near VICTORIA PLACE,E01020563,Weymouth and Portland 008A,Investigation complete; no suspect identified
a5e92455dbbdb61d81f38a46665a77363640b5496fb0c45b51bb20d67efc2a8c,2014-08,Dorset Police,Dorset Police,-2.417160,50.707664,On or near CAME VIEW CLOSE,E01020520,West Dorset 010C,Investigation complete; no suspect identified
0cc2ac44d425ae31ce0392c6fef9bd111f9f5577bea18fbf99a921fd7b713366,2014-08,Dorset Police,Dorset Police,-2.422780,50.710567,On or near EDDISON AVENUE,E01020518,West Dorset 010A,Investigation complete; no suspect identified
a7273f929ad5e193b3252eadfcb7cc6e73fd619ac36380ea722710ac9eebef70,2014-08,Dorset Police,Dorset Police,-1.726967,50.745772,On or near MANNING AVENUE,E01020372,Christchurch 004D,Investigation complete; no suspect identified
f73b585e8917536905f22a4b4d66e6cb661a1dcb80cdcf52cb89b625c9fb9348,2014-08,Dorset Police,Dorset Police,-1.756894,50.736315,On or near Supermarket,E01020346,Christchurch 005A,Investigation complete; no suspect identified
cc40f992ebc015d94e02998ac81e17c5fe280a0ae9cfff91b25deba6526a1851,2014-08,Dorset Police,Dorset Police,-2.941187,50.720330,On or near Parking Area,E01020532,West Dorset 005B,Investigation complete; no suspect identified
a9913fdb1fbbb93de4c27c5331babe0576cad4fd020946cb56f944fa460fce8f,2014-08,Dorset Police,Dorset Police,-2.448899,50.606988,On or near BARRACK ROAD,E01020581,Weymouth and Portland 004E,Investigation complete; no suspect identified
a5aec241461fba3e5a1bd34ae92b62b95652d352ea37104e1baefe75dbe9bc48,2014-08,Dorset Police,Dorset Police,-2.445889,50.624905,On or near Parking Area,E01020560,Weymouth and Portland 002D,Investigation complete; no suspect identified
8d52a3751573cd851a3d88fe975b121b185f499bae3c3e4ae4a399ea5eb2c73e,2014-08,Dorset Police,Dorset Police,-2.604266,50.839414,On or near THE COMMON,E01020530,West Dorset 003E,Investigation complete; no suspect identified
d6c4ed7c173dfc49aaca061e8d292edc5f2d47292daf4ca712a05136bc4c1704,2014-08,Dorset Police,Dorset Police,-1.953791,50.652441,On or near Parking Area,E01020466,Purbeck 005A,Investigation complete; no suspect identified
f2c5aba231284bbce0e8bee8338524615ed7b75229d6c3cbca8e6bb3c47949b3,2014-08,Dorset Police,Dorset Police,-2.456580,50.610655,On or near Parking Area,E01020554,Weymouth and Portland 004B,Investigation complete; no suspect identified
be5b2b019caa581aa9b8204527d182a4685ad24b0dba3a5d699a5d9376f91828,2014-08,Dorset Police,Dorset Police,-2.230982,50.956888,On or near CHURCH LANE,E01020462,North Dorset 002D,Investigation complete; no suspect identified
e9c1a9ea64b39941cc44873d36d58eb86588ebe4be86d0b0bc845dd6f6f2c284,2014-08,Dorset Police,Dorset Police,-2.468227,50.610833,On or near OLD PARISH LANE,E01020572,Weymouth and Portland 005A,Investigation complete; no suspect identified
a70852479dd920e8ec16ecbcad38f18bcbc61f8516d508b0fac9493c732abced,2014-08,Dorset Police,Dorset Police,-2.352677,50.726096,On or near ILSINGTON ROAD,E01020540,West Dorset 004E,Investigation complete; no suspect identified
