Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
6999d37812c1c05a612e752ae850ea6d1e5af7e36e933e56c8a2ea691c716621,2014-12,Dorset Police,Dorset Police,,,No location,,,Suspect charged
f911dc385fdc9a17b38ff562415b5c177cf6880726dc969343db4f6e0d9f7310,2014-12,Dorset Police,Dorset Police,,,No location,,,Formal action is not in the public interest
3547e872036c6e2c0125a512a3e6d76339184ead6cd18d807eeba3aecfa02d8c,2014-12,Dorset Police,Dorset Police,,,No location,,,Suspect charged
54137d69f08719ab690659b5a5b48ec7dc56a626e4d768566681ebb3568a2e60,2014-12,Dorset Police,Dorset Police,-2.165146,50.852229,On or near THE MALTINGS,E01020452,North Dorset 006B,Investigation complete; no suspect identified
833a95bb8553b0e8ebfc7e56b8eefcdf3e30e7dd119cbc3e7b0642e81907397e,2014-12,Dorset Police,Dorset Police,-2.203004,51.002351,On or near TANYARD LANE,E01020457,North Dorset 003D,Investigation complete; no suspect identified
74f0444b80f780f93b6cd561b38f5e134ab90cf77dde770473023ff64c09df4d,2014-12,Dorset Police,Dorset Police,-2.454025,50.608030,On or near Nightclub,E01020554,Weymouth and Portland 004B,Investigation complete; no suspect identified
44fb7635ff5cc2b2fb6433189f86c56a6d160c72f01df009bf800fa4427ffdf3,2014-12,Dorset Police,Dorset Police,-2.453508,50.610136,On or near Nightclub,E01020554,Weymouth and Portland 004B,Investigation complete; no suspect identified
b35b9320ee6dd0eef6c339486555c7351f252a1c0c06803976148f5d281044dd,2014-12,Dorset Police,Dorset Police,-2.179330,51.001697,On or near SALISBURY ROAD,E01020455,North Dorset 003B,Investigation complete; no suspect identified
f65006f1254c515fa37395c2d725c599b849f3ffb81a334bf61384fe4e5a715f,2014-12,Dorset Police,Dorset Police,-2.765888,50.735480,On or near PARK ROAD,E01020503,West Dorset 008B,Investigation complete; no suspect identified
867e04ce1ddbd89a4cdb3367e1319bb6cbd555e2796e1e29b782f79e4b1db618,2014-12,Dorset Police,Dorset Police,-1.975059,50.611854,On or near AIGBURTH ROAD,E01020478,Purbeck 006A,Investigation complete; no suspect identified
3718cbb4754c5ee7bcaa214c385acad14f6b84de16068a986f640dbafe461260,2014-12,Dorset Police,Dorset Police,-2.111793,50.687153,On or near MILL LANE,E01020486,Purbeck 003D,Investigation complete; no suspect identified
ec233cc5e8f918fefbcedfeaafc9985b06e9b4f35894d435bcbe5967802fb098,2014-12,Dorset Police,Dorset Police,-2.304927,50.901757,On or near Park/Open Space,E01020441,North Dorset 008D,Investigation complete; no suspect identified
8db20dbc4e05b6d59c5e1eaa8464672fa197d616c484699576be8d71a932e8b6,2014-12,Dorset Police,Dorset Police,-2.426045,50.706661,On or near BALMORAL CRESCENT,E01020519,West Dorset 010B,Investigation complete; no suspect identified
1d56ea7ec9fbcf61eef79138f26b6fa6010d7f77962f45b22c8e682bbc4fde2d,2014-12,Dorset Police,Dorset Police,-2.453377,50.711063,On or near ROBERTS PLACE,E01020528,West Dorset 009E,Investigation complete; no suspect identified
