Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
01c222accbffb05985b96ca86026a941a954919b276412f8448660a2b8e34bc4,2014-01,Kent Police,Kent Police,,,No location,,,Offender given a caution
2bfddbbcf8693375def8c181e299da0b6af7b92ad01433a7beddaf1c7142b4aa,2014-01,Kent Police,Kent Police,0.853364,51.139326,On or near Sports/Recreation Area,E01023974,Ashford 007A,Investigation complete; no suspect identified
9f5882cb7df7f0ab94e419b90877f488e126db536bf1e05c21ae548c87524224,2014-01,Kent Police,Kent Police,,,No location,,,Investigation complete; no suspect identified
638a0109c10a85dc395645c540b5e655cd14a9b825d77f0891cc37f592cb37af,2014-01,Kent Police,Kent Police,1.307910,51.368996,On or near KING'S ROAD,E01024640,Thanet 008E,Investigation complete; no suspect identified
a3d248195bff753a4a71cc6a1c1623b4e56b99e46cf8dcd98734bc64670a5644,2014-01,Kent Police,Kent Police,1.174890,51.315050,On or near STONE WAY,E01024087,Canterbury 010D,Investigation complete; no suspect identified
a21fd2f711e7d11a05df49fdd81c0b6a94b1f4567c2ae46e20e5cd34daa2c073,2014-01,Kent Police,Kent Police,1.184618,51.077662,On or near Nightclub,E01033215,Shepway 014D,Investigation complete; no suspect identified
f9092a16dbc6352ea886c6f40eb5af234fde3c1ccde2667208b36798802bce3e,2014-01,Kent Police,Kent Police,1.409120,51.377489,On or near PALMER CRESCENT,E01024662,Thanet 006C,Investigation complete; no suspect identified
60d4ed9fb25217cb278224f4af5d5ebb2ce447596f0063a43af256b6bb71760b,2014-01,Kent Police,Kent Police,0.876939,51.148048,On or near Sports/Recreation Area,E01024027,Ashford 005D,Investigation complete; no suspect identified
efc8653e6f1cb105dae6713d88e040884a3c81c2cfeee85b700c5cb8fc442f9c,2014-01,Kent Police,Kent Police,1.083679,51.276339,On or near BIGGLESTONS LINK,E01024044,Canterbury 016A,Investigation complete; no suspect identified
7376cbd85853777895e3144054d9604a43ab98224e31ba81677398104e9214c2,2014-01,Kent Police,Kent Police,1.074496,51.271328,On or near GUILDFORD ROAD,E01024129,Canterbury 019B,Investigation complete; no suspect identified
ebc51e18ed8081c8cb8fc44e402fb27c619c0050c058cf50d45b319d4aaef64d,2014-01,Kent Police,Kent Police,1.074496,51.271328,On or near GUILDFORD ROAD,E01024129,Canterbury 019B,Investigation complete; no suspect identified
816586bca3b20f45b6b798eebfc127570857067d4ac7b9851ebfe83f27204b70,2014-01,Kent Police,Kent Police,1.204222,51.228044,On or near KINGS ROAD,E01024192,Dover 006C,Investigation complete; no suspect identified
bc4d234c7882a7e10a11fb94f4c0481bd010455bc1192c8f3a127c1fc1ee4d22,2014-01,Kent Police,Kent Police,0.855768,51.141453,On or near LITTLE KNOLL,E01023975,Ashford 007B,Investigation complete; no suspect identified
4559392002554b0b7318ba2e3a01c5df0af89dbf9b2e8fd44e2651834c96b6b2,2014-01,Kent Police,Kent Police,1.162744,51.273068,On or near ROSE ACRE ROAD,E01024085,Canterbury 010B,Investigation complete; no suspect identified
9f2325f6c587a2c6b6ddbba78a8d3adc0ea547c2fee0a622c30a334a0cecaa1b,2014-01,Kent Police,Kent Police,1.185064,51.080411,On or near THE OLD HIGH STREET,E01024504,Shepway 014A,Investigation complete; no suspect identified
ce209f6fa662eb4919adab18749abc88832a88a6f17dac7b0afb27474417b117,2014-01,Kent Police,Kent Police,,,No location,,,Investigation complete; no suspect identified
8936fe7f9bcc1071899030c00bfe13bbaf4a2256c53b43e2633f12d3ffad0e16,2014-01,Kent Police,Kent Police,1.130963,51.089591,On or near SAMIAN CRESCENT,E01024494,Shepway 005C,Investigation complete; no suspect identified
0737b127a18fdd2da6b00eaa9fa1b6836103b68ee555b81e9c84e6fea6449178,2014-01,Kent Police,Kent Police,1.313641,51.125696,On or near CHURCH STREET,E01033211,Dover 012F,Investigation complete; no suspect identified
c91941abfcaaa5094bf0dfd3d858780e008622a26dbead0d9211f72dd53444e7,2014-01,Kent Police,Kent Police,0.880412,51.135847,On or near STIRLNG ROAD,E01023973,Ashford 005A,Investigation complete; no suspect identified
df3c861077434f9a70337fd10102a7b592b18a45fd5fb6df6b173066a3537d89,2014-01,Kent Police,Kent Police,0.616445,51.039872,On or near HASTINGS ROAD,E01024010,Ashford 013B,Investigation complete; no suspect identified
f7d2ff20adb07c7ce50288f974cb65c4b8cd6671aa5e581532e8be8f825e214a,2014-01,Kent Police,Kent Police,1.374190,51.146424,On or near LIGHTHOUSE ROAD,E01024237,Dover 009C,Investigation complete; no suspect identified
9976d5a2e2c564758cc04b81684b46fbde4f0644ec02600e3d718bd9de54c6c1,2014-01,Kent Police,Kent Police,1.081362,51.277722,On or near Shopping Area,E01032807,Canterbury 020F,Investigation complete; no suspect identified
33dd4a086655f54c7e4ecdec978d4d72aa3ae7f3d168074bb7c51618218232a6,2014-01,Kent Police,Kent Police,1.420811,51.373514,On or near HUGIN AVENUE,E01024634,Thanet 006B,Investigation complete; no suspect identified
a19956688658e268c622f7729f7eaaf6ce72e82824d267f10372bd374ea80824,2014-01,Kent Police,Kent Police,1.178610,51.077915,On or near Supermarket,E01033215,Shepway 014D,Investigation complete; no suspect identified
ab7c0cca0db87d01b0193520f212c98efe763c3049753ba816d69cda3e129035,2014-01,Kent Police,Kent Police,1.401146,51.351752,On or near CHARLTON CLOSE,E01024688,Thanet 011B,Investigation complete; no suspect identified
