Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
6ff673b3441708a4f9992a448bd0bb43ee0db15ff0cc593f702bc1360e91c473,2014-01,West Yorkshire Police,West Yorkshire Police,-1.904621,53.865088,On or near GREAT NORTHERN ROAD,E01010710,Bradford 008G,Suspect charged
2292df4e4fe2275c37ec48babcb88480aa10e2c2c6533b5090ac01df4d561216,2014-01,West Yorkshire Police,West Yorkshire Police,,,No location,,,Suspect charged
43803a9ae13bd14856662741f6a1d002ede4f17da2ecf6d01969406527b0e4e8,2014-01,West Yorkshire Police,West Yorkshire Police,,,No location,,,Suspect charged
b6bb8ec09824647453c2decfcd45620be98576efd9a418d189583d123912152f,2014-01,West Yorkshire Police,West Yorkshire Police,,,No location,,,Local resolution
7ba557b4f4e6c69eb34afe74dcb160f26640d0e8e12d84f43ea0efefdf4a9de4,2014-01,West Yorkshire Police,West Yorkshire Police,,,No location,,,Offender given penalty notice
e6e86f56561c9428128b0544a912afe6b57213326fd2f78a3bafa1b3a967fbc6,2014-01,West Yorkshire Police,West Yorkshire Police,-1.629634,53.816847,On or near WOOD LANE,E01011323,Leeds 051A,Investigation complete; no suspect identified
dcd4b00247bd13de90caf3922fa0eb3ec67b7b84f48755df15497d47fe073cc2,2014-01,West Yorkshire Police,West Yorkshire Police,-1.695160,53.799810,On or near CHATSWORTH RISE,E01011586,Leeds 066A,Investigation complete; no suspect identified
31b6ccd559f49fbcc42a6ff9ccd06621b57b8942dc0513d251b18c6c26e5cc1e,2014-01,West Yorkshire Police,West Yorkshire Police,-1.331875,53.797654,On or near GREAT NORTH ROAD,E01011298,Leeds 088A,Investigation complete; no suspect identified
208e6a474c7a0da3fa0f4e607c9797c5c335fda12aa2b313f731d2fcbe656dba,2014-01,West Yorkshire Police,West Yorkshire Police,-1.598460,53.704620,On or near CHIDSWELL GARDENS,E01011126,Kirklees 014C,Investigation complete; no suspect identified
8a2c250176098e1ec8add474cd0bfea7ba9275bfbbcb69175c5efba5abffce67,2014-01,West Yorkshire Police,West Yorkshire Police,-1.781053,53.658516,On or near BACK BEECH TERRACE,E01011045,Kirklees 031D,Investigation complete; no suspect identified
25c015e050e36307d214a761e3a762e75ba443c4f832e29353822b7c6ffe2985,2014-01,West Yorkshire Police,West Yorkshire Police,-1.730975,53.818923,On or near ACRE LANE,E01010657,Bradford 026E,Investigation complete; no suspect identified
1463ed84a793e628d409046695eaa8d4ec2f059a5330916c25e6399e59d0f15a,2014-01,West Yorkshire Police,West Yorkshire Police,-1.777727,53.634907,On or near LOWER WHITEGATE ROAD,E01011225,Kirklees 042C,Investigation complete; no suspect identified
36e27c73bd38b3f0b92e56f3b3ef73606fe69ec5e17bd2bed4ac21305b2a9da3,2014-01,West Yorkshire Police,West Yorkshire Police,-1.480937,53.826605,On or near BOGGART HILL,E01011658,Leeds 040C,Investigation complete; no suspect identified
14a2d3c23919f2256c72aab67aa2ac6bc4ef708f3f8e9cf99ddd207751ac7921,2014-01,West Yorkshire Police,West Yorkshire Police,-1.749852,53.574019,On or near SUDE HILL TERRACE,E01011185,Kirklees 059E,Investigation complete; no suspect identified
23506fe8ba5e985a5a1c758d25d5b3fb153b5e4258edf0fc2f0d53c7a1995de4,2014-01,West Yorkshire Police,West Yorkshire Police,-1.331833,53.642445,On or near MILLGATE,E01011770,Wakefield 034D,Investigation complete; no suspect identified
7596676253cda6b1d1ce913d270efa918bb9254a0d87041a849c349de2441b08,2014-01,West Yorkshire Police,West Yorkshire Police,-2.016686,53.741162,On or near SALEM STREET,E01010888,Calderdale 004E,Investigation complete; no suspect identified
