Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
cb91b60a4057b16e95bbad859e6313e5c155c54280c506e9d489c84b7055774f,2014-01,Northamptonshire Police,Northamptonshire Police,-0.686297,52.496451,On or near GILCHRIST AVENUE,E01026958,Corby 003B,Offender given community sentence
ae6b18905534978497305b08c0e72b3d4ae9dafb100b888d73313a5224a5ac11,2014-01,Northamptonshire Police,Northamptonshire Police,-0.690852,52.301656,On or near MIDLAND ROAD,E01027349,Wellingborough 006A,Offender given suspended prison sentence
e8aa58ea821cdc26f887405cabe0c21ef4db3c7b22f1c625e0e4a72d3b48ba00,2014-01,Northamptonshire Police,Northamptonshire Police,-0.536280,52.342782,On or near COLEMAN STREET,E01027051,East Northamptonshire 005A,Court case unable to proceed
edc498a7b52994b3ffacaf29b27c85b45e463ba230498c75eb6823d3d0d7e4b2,2014-01,Northamptonshire Police,Northamptonshire Police,-0.891012,52.265152,On or near BARNWELL ROAD,E01027232,Northampton 001D,Court case unable to proceed
caf062e306e71b0220b346b1b91caf2fc6f379799f1eedec25974c34c2c400da,2014-01,Northamptonshire Police,Northamptonshire Police,-0.801955,52.423489,On or near SCHOOL LANE,E01027124,Kettering 003B,Offender sent to prison
6edb78bbd56b091502dd4810b82e0f5a406c4917c95fe2a19625144687ac78d1,2014-01,Northamptonshire Police,Northamptonshire Police,-0.593320,52.286976,On or near PARK ROAD,E01027059,East Northamptonshire 009B,Offender given conditional discharge
074a041983e35dc914e6309ea288193ab0ab4586182ce4f2ee1a31d59a9b1588,2014-01,Northamptonshire Police,Northamptonshire Police,-0.716406,52.399782,On or near ROSEBERY STREET,E01027112,Kettering 006D,Offender given suspended prison sentence
e12c9facacd3c759bcd68f32329c89cde25c0f1434b3f4fd4390d4310fc43934,2014-01,Northamptonshire Police,Northamptonshire Police,-0.717761,52.481279,On or near SPALDING ROAD,E01026966,Corby 006E,Offender given community sentence
9637ba3b202e97a48fafa66b7302aa38b7faefdfc7abda7285b062b960ad9fbd,2014-01,Northamptonshire Police,Northamptonshire Police,-0.878908,52.251804,On or near Supermarket,E01027184,Northampton 015A,Offender given community sentence
578b2f11ad784b6fbb7ce8bc43d54cb24348bf23204d93067a04b5e4c7d67439,2014-01,Northamptonshire Police,Northamptonshire Police,-0.420856,52.565699,On or near DOVECOTE CLOSE,E01027050,East Northamptonshire 001C,Offender given community sentence
22de9c4ebb45af00a742596441077697db0dea452d00b1d07edfebaf8a4a8169,2014-01,Northamptonshire Police,Northamptonshire Police,-0.852598,52.288692,On or near Supermarket,E01027019,Daventry 005C,Offender sent to prison
603cc0d30204ed8b5dab979a20345a1a17641cf99da599c4a961ca61aeb4f78a,2014-01,Northamptonshire Police,Northamptonshire Police,-0.716893,52.480766,On or near SURFLEET CLOSE,E01026965,Corby 006D,Offender given community sentence
10125db70cf7d4b4f56ab8ea5797854f40528c2c95900804b51e79507078660c,2014-01,Northamptonshire Police,Northamptonshire Police,-0.938328,52.232025,On or near CLICKERS DRIVE,E01032977,Northampton 029G,Offender sent to prison
4a1425f70069b89e1afceb84e43732189f5037ef4ef2cef2f290a1fde32498f6,2014-01,Northamptonshire Police,Northamptonshire Police,-0.937431,52.239524,On or near Supermarket,E01027237,Northampton 024C,Offender fined
2d4e337e34fb0a7c0d007b98be152e2a17b43c3869c1dd47df3bc1832466b257,2014-01,Northamptonshire Police,Northamptonshire Police,-0.903666,52.232724,On or near TOWCESTER ROAD,E01032979,Northampton 021F,Offender fined
78cc1a015a828f931a445346b7008b0810d309cfe9f4f93cba70e18b926855cb,2014-01,Northamptonshire Police,Northamptonshire Police,-1.168133,52.259850,On or near BRAUNSTON ROAD,E01026988,Daventry 007B,Offender given community sentence
e0957fe619d467c5f4bb0727df4c79e0150e54b13045a102f9560948fb2a0150,2014-01,Northamptonshire Police,Northamptonshire Police,-0.937431,52.239524,On or near Supermarket,E01027237,Northampton 024C,Court case unable to proceed
596f13b2fa916f5c08219da8224fd324589c3637a5f9920f553e3207db5bb7e3,2014-01,Northamptonshire Police,Northamptonshire Police,-0.723341,52.378468,On or near ORION WAY,E01027131,Kettering 009D,Offender given conditional discharge
c6d9536479d79e6e4e1303590aaedc0eeb41978ef57f1f6b779fdeba197e666b,2014-01,Northamptonshire Police,Northamptonshire Police,-0.875398,52.246942,On or near LEA ROAD,E01027132,Northampton 022A,Defendant found not guilty
574a781bc9b16f516633105a51fdd96d65eed84fe40dd3763d96eef7925b7974,2014-01,Northamptonshire Police,Northamptonshire Police,-0.683078,52.487362,On or near ST JAMES ROAD,E01026957,Corby 003A,Offender given community sentence
49a33c8dab41f7c76d4b46c87082100b7744456386f3fbd94dfade6bc6d29df1,2014-01,Northamptonshire Police,Northamptonshire Police,-0.721474,52.419203,On or near CLEVELAND AVENUE,E01027087,Kettering 004C,Offender given community sentence
398df61462618284854bf33f89e7443954e87e74064319b9b4e87f18fff647d0,2014-01,Northamptonshire Police,Northamptonshire Police,-0.915034,52.240939,On or near Supermarket,E01027151,Northampton 024A,Offender sent to prison
724425893aff65f34f43789274fb95a2088d5e2aadb8c3121bbe0055823f7284,2014-01,Northamptonshire Police,Northamptonshire Police,-0.786536,52.336914,On or near A43,E01027023,Daventry 005E,Offender sent to prison
4625290c77cd0aa7bc3a81e59f6f3f90e2cfe638ad0ac22c88f9368ac9e7f026,2014-01,Northamptonshire Police,Northamptonshire Police,-0.880872,52.239505,On or near STOCKLEY STREET,E01027224,Northampton 025B,Defendant found not guilty
0c89b89d59af8bbfbfd738382b62fb1e3d271633b2d21a3da0c542314fe9363b,2014-01,Northamptonshire Police,Northamptonshire Police,-1.165299,52.266420,On or near HAWTHORN DRIVE,E01026987,Daventry 006A,Offender given conditional discharge
994ae6bc82abb3a1f7bb646393ec3dea793f68809982a383d70b4ae8687006f2,2014-01,Northamptonshire Police,Northamptonshire Police,-0.910360,52.238019,On or near AMBUSH STREET,E01027151,Northampton 024A,Offender given conditional discharge
0e2c90a4de0b36e609121a2eb91d0f3b831852fb303b4296b087603e0671cbee,2014-01,Northamptonshire Police,Northamptonshire Police,-0.842338,52.269450,On or near SOUTH HOLME COURT,E01027249,Northampton 004E,Offender sent to prison
b448185f9fe0d34eb4b07915bd7e76da02473cb6322c1a519c518f879836d4bc,2014-01,Northamptonshire Police,Northamptonshire Police,-0.915836,52.242277,On or near SYMINGTON STREET,E01027241,Northampton 017B,Offender fined
23d0286ff205ed749ad0e18c73bda59e0b384934da7a89d8581e66902b72d25f,2014-01,Northamptonshire Police,Northamptonshire Police,-0.560483,52.335230,On or near CUMBERLAND AVENUE,E01027074,East Northamptonshire 004B,Court case unable to proceed
485f365a064a1a1e8b235a9d61e3f1d7ec93a0c8f4ff2d2b96b5026a9b7dfbb7,2014-01,Northamptonshire Police,Northamptonshire Police,-0.896942,52.235781,On or near Nightclub,E01027223,Northampton 025A,Offender given suspended prison sentence
2eb4f5bd15046c797481bc13469fbfee2c51727d06775e06f0131595555b5a2a,2014-01,Northamptonshire Police,Northamptonshire Police,-0.910360,52.238019,On or near AMBUSH STREET,E01027151,Northampton 024A,Offender fined
