Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
c0abe7f1fa0a1cd8b7b8df5ad7cb6e810e8882478b280e0aef61ae129730666c,2014-01,Surrey Police,Surrey Police,-0.093376,51.275947,On or near NEWBERY CLOSE,E01030820,Tandridge 005A,Investigation complete; no suspect identified
ab89c528913162ab1555686ca72780d60c54016413adee88109e7eba08ffd1c9,2014-01,Surrey Police,Surrey Police,-0.552996,51.432495,On or near LANGHAM PLACE,E01030669,Runnymede 001C,Investigation complete; no suspect identified
f8475c92398b587727f9831d17cffd07c36364b63bb130359899e3119bffca25,2014-01,Surrey Police,Surrey Police,-0.492893,51.376903,On or near CHERTSEY ROAD,E01030649,Runnymede 007C,Investigation complete; no suspect identified
0b0b6646c86bdcebed2e5285dac537d8c9832458525ae9f925923269da1296e5,2014-01,Surrey Police,Surrey Police,-0.257969,51.330193,On or near PITT ROAD,E01030381,Epsom and Ewell 008A,Investigation complete; no suspect identified
e3600491c28a1733e5ee79b529484d68ffe4700eaeaae5d6d9472df15bcea423,2014-01,Surrey Police,Surrey Police,-0.453719,51.376212,On or near GRENSIDE ROAD,E01030373,Elmbridge 012C,Investigation complete; no suspect identified
76ae9b1bb5eda64c79eb13423915162374f3e90a7d6e12d31826fe5ece6155cf,2014-01,Surrey Police,Surrey Police,-0.061944,51.319289,On or near AUDLEY DRIVE,E01030853,Tandridge 012B,Investigation complete; no suspect identified
874e99a614fd77453945a8c2a956f0be855e2c7f46b9cc897b055999bdc48dc4,2014-01,Surrey Police,Surrey Police,-0.365871,51.329356,On or near LYFIELD,E01030345,Elmbridge 018E,Investigation complete; no suspect identified
8c53452dee57bed7887e21138f5a66c8103eb926fa6f12ee7175d96993bb7ae8,2014-01,Surrey Police,Surrey Police,-0.436394,51.372727,On or near ROSSLYN PARK,E01030338,Elmbridge 011A,Investigation complete; no suspect identified
add2d9b9582acce9e87416fd7042c16a330c92056ad5a67d42dccd7cb629e222,2014-01,Surrey Police,Surrey Police,-0.504058,51.351310,On or near MANOR DRIVE,E01030696,Runnymede 010G,Investigation complete; no suspect identified
77bb5800da9c58dc19923cd0a8fddf01584b2a943dd0152e970c252305f78d0b,2014-01,Surrey Police,Surrey Police,-0.582779,51.287624,On or near Parking Area,E01030987,Woking 012E,Investigation complete; no suspect identified
c1c01de9e2812be61775730a177e4ccc2e0685e1a62453d168d4d030a9339c0a,2014-01,Surrey Police,Surrey Police,-0.590278,51.313424,On or near MARTIN WAY,E01031000,Woking 009D,Investigation complete; no suspect identified
f731e992e8c277c44cf8c4d9e40301f6f8c762b1f138699e4cbfc801da4ed135,2014-01,Surrey Police,Surrey Police,-0.051573,51.303254,On or near BEECHWOOD LANE,E01030852,Tandridge 012A,Investigation complete; no suspect identified
5db7d45758813a38a4110065c7acb41af63ed098fb7ff476c8c18ce0f3b79a77,2014-01,Surrey Police,Surrey Police,-0.044346,51.166368,On or near NEWCHAPEL ROAD,E01030816,Tandridge 011A,Investigation complete; no suspect identified
75dd35860225e719fb69d80813fa202beb6a7dca9dc9687777ca01b69099cc0c,2014-01,Surrey Police,Surrey Police,-0.574658,51.238625,On or near COLLEGE ROAD,E01030451,Guildford 013C,Investigation complete; no suspect identified
52b2e54795d02529b63a2ea064bf161ff83d86f9f0783a5cc841d5e3bfa44456,2014-01,Surrey Police,Surrey Police,-0.468462,51.429533,On or near THE CRESCENT,E01030716,Spelthorne 003G,Investigation complete; no suspect identified
1d9f46b2d001de5257e19f6c3f2f2a8d895855475280c99183c2ff737932f0ea,2014-01,Surrey Police,Surrey Police,-0.423590,51.419244,On or near FOREST DRIVE,E01030752,Spelthorne 008E,Investigation complete; no suspect identified
0315a7d3c9c66eb3f03897222bd473ce62f3e36480163292f073f91f9c565234,2014-01,Surrey Police,Surrey Police,-0.742289,51.323266,On or near VERRAN ROAD,E01030804,Surrey Heath 008E,Investigation complete; no suspect identified
10519ab6d6d6da41b17140fe59105609b56b9474ed2f255e62d189b696083ae5,2014-01,Surrey Police,Surrey Police,-0.315470,51.307528,On or near WEST FARM AVENUE,E01030511,Mole Valley 002C,Investigation complete; no suspect identified
7e4f195ac9d53387499ad7701f6a3ae28d3634725701dc6ca3cee5f564cdffcb,2014-01,Surrey Police,Surrey Police,-0.620913,51.284177,On or near BERRY LANE,E01030473,Guildford 002C,Investigation complete; no suspect identified
909486705b67cbb5b7412e0cff77050662f181a0d2f6e4267070cee44094370c,2014-01,Surrey Police,Surrey Police,-0.696947,51.356887,On or near STABLE CROFT,E01030760,Surrey Heath 002D,Investigation complete; no suspect identified
