Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
cb0193d5b54beced6af201b950843e3951cc9fe0f017523901af59daa6cb2c5d,2014-01,Dorset Police,Dorset Police,-1.814540,50.725476,On or near BEECH AVENUE,E01015365,Bournemouth 018D,Investigation complete; no suspect identified
ef0c1e787cc13e06bd8794609207e171e191890a7499ba7d11eed7e264646a5c,2014-01,Dorset Police,Dorset Police,-1.799036,50.729830,On or near CRANLEIGH ROAD,E01015300,Bournemouth 020E,Investigation complete; no suspect identified
33ac0a65b0382637e38fa6c025125a8a71ba15f700d832b96a9a9a3caa3d2114,2014-01,Dorset Police,Dorset Police,-1.949217,50.723166,On or near STATION ROAD,E01015453,Poole 017B,Investigation complete; no suspect identified
f725c8a879af3cb4dbb5d756973957cf4ad2e9e88f718fad2dd0b1cdb249ee2a,2014-01,Dorset Police,Dorset Police,-1.970463,50.730251,On or near KINGSBERE ROAD,E01015447,Poole 011B,Investigation complete; no suspect identified
e61e4ce25de3875b97bc548c375a38b3a96d23b3e8cc176f0a24020eab0290fd,2014-01,Dorset Police,Dorset Police,-1.968159,50.721779,On or near KIWI CLOSE,E01015466,Poole 015B,Investigation complete; no suspect identified
799c43ccf4c01cbe8d517e38649a6ac37b08e831612d7513fbc0d019b42d7418,2014-01,Dorset Police,Dorset Police,-1.904267,50.723012,On or near SEAMOOR LANE,E01015371,Bournemouth 023A,Investigation complete; no suspect identified
fb5e4861ca3c504f82aa6ab17cc7295ca2d619198ca84fd40d8c7b3f199c198e,2014-01,Dorset Police,Dorset Police,-1.847842,50.753402,On or near NURSLING GREEN,E01015354,Bournemouth 004F,Investigation complete; no suspect identified
06d00eeacbf2a5da160741507fc2b3b7cf9d8cbffccef334062326a0a6ff57c8,2014-01,Dorset Police,Dorset Police,-1.879752,50.719977,On or near GERVIS PLACE,E01015283,Bournemouth 017A,Investigation complete; no suspect identified
2fa8f14c7225cdd60e95ca42fe12b1506f79eca9cb5f9a07ba249399ad18e55e,2014-01,Dorset Police,Dorset Police,-1.853413,50.735118,On or near SHAFTESBURY ROAD,E01015329,Bournemouth 015E,Investigation complete; no suspect identified
fd5048a414460f08dd451837ef89c7b050d7b3623f9bfd6a9a63923bef35eeeb,2014-01,Dorset Police,Dorset Police,-1.829126,50.723439,On or near PENRITH ROAD,E01015272,Bournemouth 016A,Investigation complete; no suspect identified
8815be4165718815d79841edbce77a91f6378eea1fbbcef38d41b2ffe81a3ab6,2014-01,Dorset Police,Dorset Police,-1.910274,50.730112,On or near HAVELOCK ROAD,E01015389,Poole 009D,Investigation complete; no suspect identified
5db53986b30d9c04a7c2e69a51efdafa5da7f7d26c55866bbaf4faebb5bb1d5e,2014-01,Dorset Police,Dorset Police,-1.843555,50.751076,On or near CASTLE LANE WEST,E01015339,Bournemouth 008B,Investigation complete; no suspect identified
25fd048c32704a73729a15970e526f305ed9e0cd611a2878e1a52b330da7838e,2014-01,Dorset Police,Dorset Police,-1.887927,50.719590,On or near Nightclub,E01015367,Bournemouth 024A,Investigation complete; no suspect identified
644d0a3b481f116bf1bb92db054b040fde7197d470804cf051b4e2c7e6b3cb57,2014-01,Dorset Police,Dorset Police,-1.805825,50.732908,On or near CRANLEIGH ROAD,E01015361,Bournemouth 014C,Investigation complete; no suspect identified
0dad1aedeabebfd9da8b9954be361fe65c108b55d5c4245228253c7cb4cb22e5,2014-01,Dorset Police,Dorset Police,-1.935979,50.769751,On or near BARONS ROAD,E01015435,Poole 002B,Investigation complete; no suspect identified
680938e51ebde1badd7f2b8619f4e799fa8308407af3b09e194b406f39fef3cf,2014-01,Dorset Police,Dorset Police,-1.844365,50.728838,On or near BORTHWICK ROAD,E01015281,Bournemouth 019D,Investigation complete; no suspect identified
