Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
1b3f1dc009e5189fc907c404374181b190f09e5502020cbcbc966c199375bafc,2014-01,Suffolk Constabulary,Suffolk Constabulary,1.140286,52.068725,On or near SHERRINGTON ROAD,E01030009,Ipswich 005C,Investigation complete; no suspect identified
c555493dc7d58805b1300b7fef834caadf81dcd4138dc8cfe9460814a7aeb5c7,2014-01,Suffolk Constabulary,Suffolk Constabulary,1.421230,52.301524,On or near CHURCH ROAD,E01030201,Suffolk Coastal 001A,Investigation complete; no suspect identified
60d135ca33cbda003e24fc0b0bedd08eb4ca846ceaff57c11af3e091a0164acc,2014-01,Suffolk Constabulary,Suffolk Constabulary,1.507019,52.336620,On or near BLYTH ROAD,E01030244,Waveney 015C,Investigation complete; no suspect identified
bcf68ca9126527247b92214778ff24f9cecf28e7204ac10d926232d9437eea47,2014-01,Suffolk Constabulary,Suffolk Constabulary,1.144641,52.325749,On or near ELIZABETH WAY,E01030052,Mid Suffolk 001A,Investigation complete; no suspect identified
18be34392df653fe2c254919aa5aa3e2a45d36a0f6c0e5a346abfc186c73ffe8,2014-01,Suffolk Constabulary,Suffolk Constabulary,0.623892,52.447811,On or near Police Station,E01029927,Forest Heath 001B,Investigation complete; no suspect identified
1a608ae125634ce462e4b5a8966565877c6dde91532a2a0b11a369cecce56f1d,2014-01,Suffolk Constabulary,Suffolk Constabulary,0.949146,52.047774,On or near BRIDGE STREET,E01029893,Babergh 004B,Investigation complete; no suspect identified
9eab5cad2abbc9702454c1f7d768aecb760c351a3e30d966d71cfc634c1c5f11,2014-01,Suffolk Constabulary,Suffolk Constabulary,1.208269,52.032562,On or near WEST ROAD,E01033127,Ipswich 014E,Investigation complete; no suspect identified
f9108b2c3cc0067b6dd536b4d1475e32d5b27eb96792fa9d13957dc8c85fc0e8,2014-01,Suffolk Constabulary,Suffolk Constabulary,0.793771,52.108229,On or near HALL ROAD,E01029898,Babergh 001B,Investigation complete; no suspect identified
9f699b191968d466190e1db9d0a77036dae557d66084d6e873dd8da5ce42cf0e,2014-01,Suffolk Constabulary,Suffolk Constabulary,1.066131,51.964058,On or near PINE CLOSE,E01029872,Babergh 010B,Investigation complete; no suspect identified
49e4799caa47872d89ff56af99f0990fa7c41131cd5893c8c011c182969f38ee,2014-01,Suffolk Constabulary,Suffolk Constabulary,1.149490,52.052488,On or near GRAFTON WAY,E01033124,Ipswich 007F,Investigation complete; no suspect identified
7f14bea868aa4aa4679f90b982ff85b31c404e31d3fac662bde7c387e5cf7453,2014-01,Suffolk Constabulary,Suffolk Constabulary,0.392503,52.244839,On or near VALLEY WAY,E01029949,Forest Heath 008B,Investigation complete; no suspect identified
6497ad6b58c6c17a7565a439b9edbc744f91bf8890d8017827b5ffe844856f9b,2014-01,Suffolk Constabulary,Suffolk Constabulary,1.318302,52.093263,On or near Supermarket,E01030211,Suffolk Coastal 008D,Investigation complete; no suspect identified
df7fadeca9ecac5e71cc40a0cf301e18595186278c616ff73056be7eb0e96977,2014-01,Suffolk Constabulary,Suffolk Constabulary,1.528063,52.187034,On or near CHEQUERS ROW,E01030212,Suffolk Coastal 003E,Investigation complete; no suspect identified
5f17e64ce4b3279b0540d498fcdc13b1eae67f6080680dfe46cbd33972b91ffc,2014-01,Suffolk Constabulary,Suffolk Constabulary,1.056891,52.149299,On or near LIMETREE CLOSE,E01030062,Mid Suffolk 011D,Investigation complete; no suspect identified
dca001bb85e43463e351fa3c2d0e52dae0eded3eb907870c0afa566a266dfe84,2014-01,Suffolk Constabulary,Suffolk Constabulary,1.185265,52.036146,On or near WYNTERTON CLOSE,E01029979,Ipswich 016B,Investigation complete; no suspect identified
088ef75ee12165f374484f15bfb6e7b8c5241ddff77213267224747eb9c4518a,2014-01,Suffolk Constabulary,Suffolk Constabulary,1.340955,51.968438,On or near CHEPSTOW ROAD,E01030161,Suffolk Coastal 014B,Investigation complete; no suspect identified
0c9e9675cac214ebbf0a7fb72e69579896b5c3eea57ca4934c73c0a2e79d07ee,2014-01,Suffolk Constabulary,Suffolk Constabulary,1.170199,52.056303,On or near GRANGE ROAD,E01029960,Ipswich 007C,Investigation complete; no suspect identified
9fe7c62077c40087e2863e4c9292e189e0041db1c7c5644f6ce53abca0db3d51,2014-01,Suffolk Constabulary,Suffolk Constabulary,0.456493,52.077613,On or near HUDSON CLOSE,E01030106,St Edmundsbury 014B,Investigation complete; no suspect identified
9c082ef4be53e79e436f5acf951e6d1295dc26b578cff5036f5d6af9485093f8,2014-01,Suffolk Constabulary,Suffolk Constabulary,1.746567,52.470938,On or near ST JOHN'S ROAD,E01030258,Waveney 007D,Investigation complete; no suspect identified
92d70ad7c4b71c250da31eaff04f0f90faa00e04860c4bdf4e6a6a8b1b0ab45e,2014-01,Suffolk Constabulary,Suffolk Constabulary,1.159017,52.058286,On or near ST MARGARET'S STREET,E01030010,Ipswich 005D,Investigation complete; no suspect identified
591fdc272a7f46be0f6641bc338702a5ff3bf7a2c9d8b7f9aaac460f8ad70a7e,2014-01,Suffolk Constabulary,Suffolk Constabulary,1.740918,52.468067,On or near SALISBURY ROAD,E01030254,Waveney 007B,Investigation complete; no suspect identified
1d766174ebcb145eb0d021443d3710fb129507a67199f3366550a7823af14082,2014-01,Suffolk Constabulary,Suffolk Constabulary,1.119932,52.079033,On or near CAVAN ROAD,E01030031,Ipswich 003E,Investigation complete; no suspect identified
6c97e9e6795a88200055141a750991d55aefc7d6cc8aa122d25d512471eda86d,2014-01,Suffolk Constabulary,Suffolk Constabulary,1.125943,52.043078,On or near MALLARD WAY,E01030018,Ipswich 015B,Investigation complete; no suspect identified
c2939ebc6dc71474514b00aa1dd7ac966463e682d2b549e335322d8a6c7b2cbb,2014-01,Suffolk Constabulary,Suffolk Constabulary,1.755213,52.476636,On or near Parking Area,E01030247,Waveney 007A,Investigation complete; no suspect identified
e719f042af837c5e300cf4b276c7b3f4f55c87ae800f30607a064d307f7d5b81,2014-01,Suffolk Constabulary,Suffolk Constabulary,0.725852,52.091402,On or near HIGH STREET,E01029900,Babergh 003A,Investigation complete; no suspect identified
d0d195f944d0d2a45a4d4305c5ae13cb71c5294fcb72c4ef1af34d380eb2287f,2014-01,Suffolk Constabulary,Suffolk Constabulary,1.154448,52.055773,On or near OLD CATTLE MARKET,E01033125,Ipswich 007G,Investigation complete; no suspect identified
c4374985c459f7dc3e35905fc1341bc800e1632644582e9eba5c86bcf818a7c8,2014-01,Suffolk Constabulary,Suffolk Constabulary,1.194751,52.332840,On or near Park/Open Space,E01030058,Mid Suffolk 001B,Investigation complete; no suspect identified
7a86fb6ff5e756fd8ccfbb1a1531a066d9a3580105f758837072f35bb0386849,2014-01,Suffolk Constabulary,Suffolk Constabulary,1.319237,52.094064,On or near LITTLE ST JOHN'S STREET,E01030211,Suffolk Coastal 008D,Investigation complete; no suspect identified
4699fc2068b7ac9370ce49204d537b7dcb79968140733cd23d2f7f04c7f9452b,2014-01,Suffolk Constabulary,Suffolk Constabulary,0.783086,52.314107,On or near Sports/Recreation Area,E01030132,St Edmundsbury 002C,Investigation complete; no suspect identified
8d072e4b24dbb8bdb8e60dcd7eb52974d5b90e5ba7f911361c4cf39f1e3186c6,2014-01,Suffolk Constabulary,Suffolk Constabulary,1.128721,52.031906,On or near ALDERLEE,E01030021,Ipswich 015E,Investigation complete; no suspect identified
8152f31d0b1513b9fe4cf9773ec8103bc72cbdc4c66744b0653381432da6b4ec,2014-01,Suffolk Constabulary,Suffolk Constabulary,1.188476,52.042328,On or near RANSOME CRESCENT,E01029996,Ipswich 014D,Investigation complete; no suspect identified
3cf536d46e8977da7bb7928510e8a4a0bd46806a698d01824c17c27641b5d3b1,2014-01,Suffolk Constabulary,Suffolk Constabulary,0.426443,52.084621,On or near ALLINGTON WALK,E01030109,St Edmundsbury 012A,Investigation complete; no suspect identified
7361f65901e8c3349e9469582facecae0313269e03fac59a19b31801dac86eef,2014-01,Suffolk Constabulary,Suffolk Constabulary,1.144887,51.971171,On or near THE DRIFT,E01029897,Babergh 011D,Investigation complete; no suspect identified
8acf891bc482911738fb5191b906ec63c4b6ed3aff8c506ebce9d98a0b93c92b,2014-01,Suffolk Constabulary,Suffolk Constabulary,1.739686,52.491376,On or near GODETIA COURT,E01030277,Waveney 002C,Investigation complete; no suspect identified
517afecf22512fe2786b002bbbbb1493b14dc1e96d10854ab3e817c3648945ee,2014-01,Suffolk Constabulary,Suffolk Constabulary,1.058147,52.355380,On or near HARTS LANE,E01030054,Mid Suffolk 002B,Investigation complete; no suspect identified
f3993de2aa5effc5bb0261911ea552cf6aca151b814f275e4ea5be86ce94c5cd,2014-01,Suffolk Constabulary,Suffolk Constabulary,0.700195,52.255987,On or near BEETONS WAY,E01030139,St Edmundsbury 003C,Investigation complete; no suspect identified
eb624461e839904d0af8f27da398b5f9a54aa705c4c0da0f7d77dc686e30635d,2014-01,Suffolk Constabulary,Suffolk Constabulary,0.994260,52.178688,On or near JUBILEE AVENUE,E01030079,Mid Suffolk 008C,Investigation complete; no suspect identified
3ebae14cd49670f297183a7c081764b26afa659a491ec7333fd5e0ec2d3f2097,2014-01,Suffolk Constabulary,Suffolk Constabulary,1.149490,52.052488,On or near GRAFTON WAY,E01033124,Ipswich 007F,Investigation complete; no suspect identified
