Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
a41da78261d5c290d6c196384bec3a3a6d0e93dbd70bf1d06140f630810358e5,2014-01,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.061788,51.708361,On or near FOXES DRIVE,E01023314,Broxbourne 009A,Investigation complete; no suspect identified
a41da78261d5c290d6c196384bec3a3a6d0e93dbd70bf1d06140f630810358e5,2014-01,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.061788,51.708361,On or near FOXES DRIVE,E01023314,Broxbourne 009A,Investigation complete; no suspect identified
d7ff98d8105ab4f36c7ea274cd9e9aa2e2abc294b19c84ab4521cf22490079f2,2014-01,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.037445,51.718001,On or near Supermarket,E01023305,Broxbourne 008D,Investigation complete; no suspect identified
c0e3b43f54338db790d035a28b325f3e358ea52a2c942d91ebc3863e7bed0658,2014-01,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.032168,51.688148,On or near STANHOPE ROAD,E01023336,Broxbourne 013A,Investigation complete; no suspect identified
e1bc13fc2e3fe4a1893542892e8347ac263c36dc7b86d2f9d848b3ee8dbe3c9e,2014-01,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.070436,51.719069,On or near THE LAURELS,E01023312,Broxbourne 007B,Investigation complete; no suspect identified
b79e3686170bb19d157d389ef35788c6cedbb14a4d6b58b6121be4fcbb9930fc,2014-01,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.020957,51.685451,On or near QUEENS WAY,E01023338,Broxbourne 013C,Investigation complete; no suspect identified
7e61ebce0f56c9cd25e1caad69bbf1033057211379f7317bd7d02af314ea58ae,2014-01,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.025408,51.697207,On or near WESTFIELD CLOSE,E01023335,Broxbourne 012D,Investigation complete; no suspect identified
9a8e4348d3385ab65d208da61ec362e4f949a44cf9a30a7cc506e9f70b453533,2014-01,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.033398,51.690480,On or near Supermarket,E01023332,Broxbourne 012A,Investigation complete; no suspect identified
a86a542758a6cdb2944149391f346ed8e44c0355b5e5c14d026f31d71371204d,2014-01,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.075294,51.706964,On or near GOFF'S LANE,E01023311,Broxbourne 007A,Investigation complete; no suspect identified
f0c3c5e19e698337d2ef353e23b77ebe3b70e4cc508e5887381898190a4e4491,2014-01,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.030503,51.695844,On or near COHEN CLOSE,E01023333,Broxbourne 012B,Investigation complete; no suspect identified
