Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
d6fa69064a1278bb24f94ddcc18e920e589a2d7563d37d46d909fbbc63b818ac,2015-08,Lincolnshire Police,Lincolnshire Police,-0.060141,52.929802,On or near PENNY GARDENS,E01026020,Boston 007D,Investigation complete; no suspect identified
1eeec934c78e81c1df6900a2a8e42cdb7b7e34624ce60cbe18e3633892249759,2015-08,Lincolnshire Police,Lincolnshire Police,-0.432466,53.218787,On or near HEIGHINGTON FEN,E01026205,North Kesteven 005B,Investigation complete; no suspect identified
e1a00174067f80127f96b90449d90751abde6680f976063b2234fe7c2828cad8,2015-08,Lincolnshire Police,Lincolnshire Police,-0.771748,53.395631,On or near FLORENCE TERRACE,E01026383,West Lindsey 004E,Investigation complete; no suspect identified
058f6039a177a70b694f525f73beb1b2fb041c76c8c3f7e2c55ad4f4d4b993bb,2015-08,Lincolnshire Police,Lincolnshire Police,-0.171154,53.103486,On or near OLD SMITHY COURT,E01026052,East Lindsey 016B,Investigation complete; no suspect identified
80d2b20582245675300dd11600c6e9491f0ba13240a69c8ab18aca6213f6a1be,2015-08,Lincolnshire Police,Lincolnshire Police,-0.614212,53.215762,On or near MELROSE LANE,E01026128,Lincoln 007B,Investigation complete; no suspect identified
0617e7b3830a41f84614aa9edc55ca899b8cf88df4eedebe70bf16b403792801,2015-08,Lincolnshire Police,Lincolnshire Police,-0.539602,53.230639,On or near Nightclub,E01026122,Lincoln 004A,Investigation complete; no suspect identified
238b0a10d9c2a4a850ed4e8251f7fdc9a927ed2cf51ac1717919be6dfc3467ba,2015-08,Lincolnshire Police,Lincolnshire Police,-0.420928,52.946796,On or near Sports/Recreation Area,E01026221,North Kesteven 009B,Investigation complete; no suspect identified
9707d69531ae159618a6d81bbe4a4413a3996133289c5845e8631566e23ed7c1,2015-08,Lincolnshire Police,Lincolnshire Police,-0.465691,52.662524,On or near Shopping Area,E01026346,South Kesteven 015D,Investigation complete; no suspect identified
0eae714cdf1e65dd0a285cd6e90e96a3c6f0773a5b8626648aa8bc794a65eb1e,2015-08,Lincolnshire Police,Lincolnshire Police,0.118746,53.069476,On or near BULL DROVE,E01026023,Boston 001D,Investigation complete; no suspect identified
fcc8946f53a44a9bf2d74bd14eb99b946772f9f7aa8fadb982627109f7d2b183,2015-08,Lincolnshire Police,Lincolnshire Police,-0.467838,52.657796,On or near ST GEORGES AVENUE,E01026347,South Kesteven 015E,Investigation complete; no suspect identified
f5d312202cbb5a73192582acbf43b88a8c96fee711336356228295e4fc9483b2,2015-08,Lincolnshire Police,Lincolnshire Police,-0.636996,52.912539,On or near RIVERSIDE,E01026345,South Kesteven 006F,Investigation complete; no suspect identified
62ec898113c3d21916b07d89286ae91498b704a49cee3e47316119f053f3479f,2015-08,Lincolnshire Police,Lincolnshire Police,0.344282,53.144376,On or near PRINCE ALFRED AVENUE,E01026093,East Lindsey 014B,Investigation complete; no suspect identified
333ed24afc9d09f33846a464b1cb5bfe88141b26bfc8183efc20acc209947721,2015-08,Lincolnshire Police,Lincolnshire Police,-0.626651,53.003524,On or near GELSTON ROAD,E01026333,South Kesteven 001D,Investigation complete; no suspect identified
c09d75a0fa04bbf935af6b7657435536aa3c29376b08217574de8c11159ccbd3,2015-08,Lincolnshire Police,Lincolnshire Police,-0.545110,53.244955,On or near MARNE GARDENS,E01026151,Lincoln 003E,Investigation complete; no suspect identified
c1e25fce4d3840dcab061d488638e0fdb0a303f8f149ed9fe93d561ce872bce1,2015-08,Lincolnshire Police,Lincolnshire Police,-0.155458,52.788504,On or near Supermarket,E01032995,South Holland 006F,Investigation complete; no suspect identified
afba5857dead51960cfe6093fa9c0bab13f71613ab6e054717aeb7f19afc04f5,2015-08,Lincolnshire Police,Lincolnshire Police,-0.128404,52.798968,On or near Shopping Area,E01026270,South Holland 007C,Investigation complete; no suspect identified
4eefd4f8ed6864d7ecd52b1fc44f17c7902cd3aba32f5eff3fcbdf3bafd77234,2015-08,Lincolnshire Police,Lincolnshire Police,0.345759,53.149526,On or near Parking Area,E01026114,East Lindsey 014D,Investigation complete; no suspect identified
75381ebc189df36aeefff3ee75936bd52ff65605512197f751d51319b29c0076,2015-08,Lincolnshire Police,Lincolnshire Police,-0.609925,52.803446,On or near Petrol Station,E01026331,South Kesteven 009B,Investigation complete; no suspect identified
36f18977b017d4a58d3f473a86f4c750448df6de580fd2bde712013d45772819,2015-08,Lincolnshire Police,Lincolnshire Police,-0.005547,52.972917,On or near WOAD FARM ROAD,E01026026,Boston 004C,Investigation complete; no suspect identified
39c795b9efefebf793e05ddca20b40e108d1ec31f2a69f6caf3224632818223e,2015-08,Lincolnshire Police,Lincolnshire Police,-0.585085,53.040956,On or near LIME TREE CLOSE,E01026329,South Kesteven 001C,Investigation complete; no suspect identified
1541f377664c6831dfab5eb8ee08fdcd98fb5104e0f79e5855b9c9ae83f78a6c,2015-08,Lincolnshire Police,Lincolnshire Police,-0.478829,52.647418,On or near Sports/Recreation Area,E01026350,South Kesteven 016B,Investigation complete; no suspect identified
61b6b86ae269a2d5d571b0d750320cad1ce6c5ddba6e0f05e39c7354ac7cf9f8,2015-08,Lincolnshire Police,Lincolnshire Police,-0.020240,52.979249,On or near THREADNEEDLE STREET,E01026025,Boston 003C,Investigation complete; no suspect identified
5d576ac4981eebdf1ea8e53a7012e6a4a67b1c00aa455fa9453cddbd4eddcac9,2015-08,Lincolnshire Police,Lincolnshire Police,-0.538215,53.230011,On or near SILVER STREET,E01026122,Lincoln 004A,Investigation complete; no suspect identified
115cc1ddd2a0e5cfad6e4cbacf80d796e067aba38391b220eb7cf89ffacc3a38,2015-08,Lincolnshire Police,Lincolnshire Police,-0.133478,52.798958,On or near ROMAN BANK,E01026270,South Holland 007C,Investigation complete; no suspect identified
