Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
41d46b3835279b1b26c8e05b4cc4c562d9ef637f3b7ce14e42d8c143d39a911e,2015-02,Dorset Police,Dorset Police,,,No location,,,Suspect charged
476ad580d1643922c818968cd958d384e8e9c89a23d8cc13ae37236bef2eac24,2015-02,Dorset Police,Dorset Police,-1.756708,50.742025,On or near HILLARY ROAD,E01020348,Christchurch 005C,Investigation complete; no suspect identified
d707508a356c16eb1e9c98feaf5a4c7a7c1ed162e3e0ca10e4d405df7ed378cd,2015-02,Dorset Police,Dorset Police,-2.026705,50.740719,On or near HEIGHTS ROAD,E01020472,Purbeck 002B,Investigation complete; no suspect identified
6507d48c78db6422a6c41f9ecb065481c32182aeac5c983d7bf62032fa4e43e6,2015-02,Dorset Police,Dorset Police,-2.455940,50.620459,On or near GLENDINNING AVENUE,E01020553,Weymouth and Portland 004A,Investigation complete; no suspect identified
ad0afffacf3f320aea0be2defca661d9034320fdea21fdaefcef4d801e1646dc,2015-02,Dorset Police,Dorset Police,-2.343354,50.745360,On or near BUTT CLOSE,E01020540,West Dorset 004E,Investigation complete; no suspect identified
9e49c8b4e9a21a733b55d930b3a1293d6d95212f32d8b1055821d8ba50a1e6f9,2015-02,Dorset Police,Dorset Police,-2.447296,50.609333,On or near Parking Area,E01020554,Weymouth and Portland 004B,Investigation complete; no suspect identified
888b262f63a6ebaab195dab298faa481a39c637438c1b80887545a6357b444c0,2015-02,Dorset Police,Dorset Police,-2.027100,50.737931,On or near Supermarket,E01020473,Purbeck 002C,Investigation complete; no suspect identified
034c010748fd23757b711ade0e4899461a12c426b14703780ae084bc2975d2aa,2015-02,Dorset Police,Dorset Police,-2.515826,50.949637,On or near Supermarket,E01020544,West Dorset 001C,Investigation complete; no suspect identified
f4a0f02d991f604fd79f65a0c068d228b9a718f9ea8a813d10dfe074184e32f2,2015-02,Dorset Police,Dorset Police,-2.273052,51.036496,On or near PARIS COURT,E01020443,North Dorset 001A,Investigation complete; no suspect identified
b7274f3563fa85ca8ee8b1dcfef1d16e08bdac0b475dd227246c9e2be52b8425,2015-02,Dorset Police,Dorset Police,-1.768464,50.737786,On or near ORCHID WAY,E01020364,Christchurch 006C,Investigation complete; no suspect identified
7dc2b8ef3e34e6197206929981694dfacc502984cd75bb3bf1354328a97fc6c6,2015-02,Dorset Police,Dorset Police,-1.752186,50.736862,On or near DENNISTOUN AVENUE,E01020346,Christchurch 005A,Investigation complete; no suspect identified
7b2d8fc1e5bd6da67db8f3c0d48711dd0c7538e3ce1e6c502514c8f9a9865eca,2015-02,Dorset Police,Dorset Police,-1.788731,50.743445,On or near JUMPERS ROAD,E01020359,Christchurch 002D,Investigation complete; no suspect identified
691185374543194f4461b87ae8254ff26243eeeb1cb5c39b3bfe74e66ea5d08b,2015-02,Dorset Police,Dorset Police,-1.965532,50.808296,On or near KYRCHIL LANE,E01020381,East Dorset 007D,Investigation complete; no suspect identified
