Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
6f108806e8d62d2e55ae4b410ea02ba9eb3202b6dbec19ad9c186d9ea039b7ff,2014-09,Norfolk Constabulary,Norfolk Constabulary,1.291389,52.637367,On or near THE LATHES,E01026826,Norwich 007E,Investigation complete; no suspect identified
004ae8f76a4a0c3f56bf6556df802586fda1ac63ec2e1afcf372ce527d18ef68,2014-09,Norfolk Constabulary,Norfolk Constabulary,0.417605,52.758031,On or near Supermarket,E01026693,King's Lynn and West Norfolk 009D,Investigation complete; no suspect identified
ee392177517219736dba3c542d57b83e06424235fef7f2f9a16531f917cdf679,2014-09,Norfolk Constabulary,Norfolk Constabulary,1.237955,52.638265,On or near PETO COURT,E01026793,Norwich 005C,Investigation complete; no suspect identified
8e4de3686e1466c4472f07ce18ee7178ea37eb78e43c4fb97b92bb9769a61354,2014-09,Norfolk Constabulary,Norfolk Constabulary,1.201482,52.658872,On or near PARKLANDS,E01033540,South Norfolk 001H,Investigation complete; no suspect identified
6ae7f41a55f2eb4f970de20c343bfdb131714e5083728d58cbe8ecf23f7277fc,2014-09,Norfolk Constabulary,Norfolk Constabulary,0.745004,52.418954,On or near Parking Area,E01026466,Breckland 015B,Investigation complete; no suspect identified
69f6d1fbad98d45c1a889e8820edcda9503d31110d28ed3bbe3502b892e43846,2014-09,Norfolk Constabulary,Norfolk Constabulary,0.729181,52.946353,On or near NORTH STREET,E01026646,King's Lynn and West Norfolk 002B,Investigation complete; no suspect identified
f251bddad0ca923c45a086aa2028ec2c1e9651d770ac9e63d7cea61a13c960bd,2014-09,Norfolk Constabulary,Norfolk Constabulary,0.807596,52.571439,On or near RINGMERE CLOSE,E01026489,Breckland 009D,Investigation complete; no suspect identified
6a21b4fa274a46b2a3169e28e3bfcc373805f1182752ec6e4ecaf1f5034daa91,2014-09,Norfolk Constabulary,Norfolk Constabulary,0.400292,52.759085,On or near BIRCHWOOD STREET,E01026689,King's Lynn and West Norfolk 007C,Investigation complete; no suspect identified
46994472b8f35698c9a19204c806fe4a76ef6d9645c90101d2f47cdcb236c994,2014-09,Norfolk Constabulary,Norfolk Constabulary,1.251763,52.631897,On or near FILBY CLOSE,E01026865,Norwich 006C,Investigation complete; no suspect identified
60cf7b2451fce281fe2969425ce3873dbb413ff00ef6e01313fc8c69da167679,2014-09,Norfolk Constabulary,Norfolk Constabulary,1.290145,52.647969,On or near ELM GROVE LANE,E01026800,Norwich 001D,Investigation complete; no suspect identified
d1e4435c94a9893059b519cc5adde501382974a2265583293a6d88366ee3acc8,2014-09,Norfolk Constabulary,Norfolk Constabulary,0.439586,52.789592,On or near WOODLAND GARDENS,E01026691,King's Lynn and West Norfolk 005A,Investigation complete; no suspect identified
1c04e555d6da94fc437b910bbd9c51199192a78275651ab7522a8b1701777c4d,2014-09,Norfolk Constabulary,Norfolk Constabulary,1.241141,52.621180,On or near Pedestrian Subway,E01026860,Norwich 010C,Investigation complete; no suspect identified
