Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
4e1e490b4ce92d78497133bd71fb5d98843adfbd294b008e8a658e15e9b4141f,2014-09,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.025353,51.702457,On or near SHALCROSS DRIVE,E01023299,Broxbourne 010C,Investigation complete; no suspect identified
a4ecd50e471701a78276d5ccc3e7a024b63874eaab5a184b4bf5e38f3ae6bef5,2014-09,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.008518,51.686706,On or near GROVE COURT,E01021817,Epping Forest 008E,Investigation complete; no suspect identified
142e7ef98775505b25b0d4f9ebcd959511aad6efa1ec21d427edfa22e08e7148,2014-09,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.049797,51.708162,On or near CHURCHGATE ROAD,E01023294,Broxbourne 011B,Investigation complete; no suspect identified
71ecd80846689ce90d8b5318f4414580ebc5eff5780ac57c16e723392895410d,2014-09,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.035223,51.709142,On or near WYCLIFFE CLOSE,E01023298,Broxbourne 010B,Investigation complete; no suspect identified
ba0f2aae7c99160f569eae824ac3b7b7a9db3ea5fffe722ca4aa5aa294a18d13,2014-09,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.034030,51.686569,On or near SWAN ROAD,E01023337,Broxbourne 013B,Investigation complete; no suspect identified
cae55836ad02cbd2b524ba583ab796d57e0470b78dbc7e9c7408eb2f02c620df,2014-09,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.039704,51.713974,On or near SAUNDERS CLOSE,E01023303,Broxbourne 008B,Investigation complete; no suspect identified
d5d14a431f3224d8d259f1adab6b944ff24abb804191f126584bf6af9bded0da,2014-09,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.048190,51.704467,On or near CHURCHGATE,E01023294,Broxbourne 011B,Investigation complete; no suspect identified
0171f83fd6b2f81f93154d1dc48d6887e54706bb2a4872e415283544ce5ca74d,2014-09,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.028376,51.703497,On or near OAKDENE,E01023298,Broxbourne 010B,Investigation complete; no suspect identified
eeea867e156615d6226de86203078fec62f5b5c7311e60896cccb77ab8160cea,2014-09,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.064552,51.736840,On or near WEST END ROAD,E01023481,East Hertfordshire 018D,Investigation complete; no suspect identified
1a5a6f11ddda49e401c3516540dc2170e52e34ff29d2ca5693c155ba7b9b2de2,2014-09,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.034495,51.702233,On or near TURNER'S HILL,E01023301,Broxbourne 010E,Investigation complete; no suspect identified
0da98779ce3f15b9127fab687dd6a90142ff42139826e88a2871b5f68cb98f00,2014-09,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.036788,51.709420,On or near SYMONDS COURT,E01023303,Broxbourne 008B,Investigation complete; no suspect identified
d5baa388c740c0119f0d534e2b1cf08bfd5b9745000493c177a6c9da586235e6,2014-09,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.035269,51.712093,On or near DAVISON DRIVE,E01023303,Broxbourne 008B,Investigation complete; no suspect identified
9d76c96298c255e042c6f1c6aec01b19595f04173bfc09f187609e89935c80fe,2014-09,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.037445,51.718001,On or near Supermarket,E01023305,Broxbourne 008D,Investigation complete; no suspect identified
3afd3e80ed076b7b4645c83f779fb3d2728e3ea4ae21570df57262079c35dab6,2014-09,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.065027,51.707065,On or near CLAREMONT,E01023314,Broxbourne 009A,Investigation complete; no suspect identified
9834db5fc4e09f6170b3f564fc4426b6373ef529cbfc6110c219cc828b5ce4d6,2014-09,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.062488,51.700783,On or near BARROW LANE,E01023293,Broxbourne 011A,Investigation complete; no suspect identified
ff3f9e234ca645672d674d29155835ef33466b738ddd4aa8be8d7abf1aca9039,2014-09,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.035385,51.691025,On or near LAMBTON AVENUE,E01023332,Broxbourne 012A,Investigation complete; no suspect identified
d69d533cce2405b64c4fcf950f2072c62122d7debfd957c7af0e841781be0d62,2014-09,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.016172,51.685712,On or near FISHERS CLOSE,E01023338,Broxbourne 013C,Investigation complete; no suspect identified
ecd62187664fd5b174b45332e655f21545b1f289314225b805e2cc9bd99179d9,2014-09,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.055923,51.703372,On or near DARK LANE,E01023296,Broxbourne 011D,Investigation complete; no suspect identified
532ae9867be3e6ac4023245d43409605bdac4bcca3c1c5cf663651c6614cb161,2014-09,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.055923,51.703372,On or near DARK LANE,E01023296,Broxbourne 011D,Investigation complete; no suspect identified
a335b95102356e785a852b016572fa843220d81bd40cf5c6a3e9c88ad445d00a,2014-09,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.055397,51.709883,On or near ANDREW'S LANE,E01023325,Broxbourne 009C,Investigation complete; no suspect identified
29f3711b68f3999494d88ae28ad2063995d0b6017acbae2f4e0a949bcf6b717c,2014-09,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.030653,51.685713,On or near ELEANOR CROSS ROAD,E01023337,Broxbourne 013B,Investigation complete; no suspect identified
7cb5fecb6eda2e0d7ffea158f2f4a4969e166864f4d5cbe7fd1b9ed24a0d9bda,2014-09,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.025405,51.705579,On or near DELAMARE ROAD,E01023299,Broxbourne 010C,Investigation complete; no suspect identified
b610550c2713ab9257d6cdde3a6d6a5fd797798ec946d8e8a28fbc11d49cf4f7,2014-09,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.036438,51.695782,On or near FRIENDS AVENUE,E01023332,Broxbourne 012A,Investigation complete; no suspect identified
e66c6fd1a596ed71a5049f764de5b523e536d6328039979092fde1bd744607e2,2014-09,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.036275,51.716920,On or near Parking Area,E01023305,Broxbourne 008D,Investigation complete; no suspect identified
28395921c5e59846b6edc199eddb9652eefdcda9bb526aa802eaafd930951f9c,2014-09,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.035793,51.690637,On or near HEDWORTH AVENUE,E01023332,Broxbourne 012A,Investigation complete; no suspect identified
a5ef863390a16a3586e1111903311c0f79a59981b74a4210a7b8165dc9118341,2014-09,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.019704,51.683343,On or near LONG CROFT DRIVE,E01023338,Broxbourne 013C,Investigation complete; no suspect identified
2a07dacc1b7bafad0818012e257c1f2f5a133b13c7beb378d7c0be2e63ff61f8,2014-09,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.026581,51.690527,On or near MARSH CLOSE,E01023336,Broxbourne 013A,Investigation complete; no suspect identified
50ba79935cd2cd34a82108854ae330828fd3913dc3dc82776190c670606d3c51,2014-09,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.026134,51.701472,On or near MARSHCROFT DRIVE,E01023299,Broxbourne 010C,Investigation complete; no suspect identified
bb76872e043a9b54f45a108e78fdf2552197363c01bb3ed0e0c60ff5218b68b4,2014-09,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.028491,51.700846,On or near STEWARD CLOSE,E01023299,Broxbourne 010C,Investigation complete; no suspect identified
