Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
704a1ab22c3e3e670e7ebe933e74b39cb167b21fa5ee77cfd3cbaeb3dd1d2553,2013-02,Lancashire Constabulary,Lancashire Constabulary,-2.701648,53.760275,On or near Shopping Area,E01033223,Preston 017F,Suspect charged
d8d2dce16ba3e814ff2134c80e78756164eecc77553f63dd8f9398b0e9e2b979,2013-02,Lancashire Constabulary,Lancashire Constabulary,-2.699830,53.757662,On or near TEMPLE COURT,E01033223,Preston 017F,Suspect charged
5de88de9fce871edc628b0af09e72ee4bf4451a5d181719907b325af17f2d695,2013-02,Lancashire Constabulary,Lancashire Constabulary,-2.699830,53.757662,On or near TEMPLE COURT,E01033223,Preston 017F,Suspect charged
c62ed82603af640722551145da3cc8f22e36a3961029e17b3d373df2b4419e0a,2013-02,Lancashire Constabulary,Lancashire Constabulary,-2.704696,53.760240,On or near BACK SEED STREET,E01033223,Preston 017F,Offender given a caution
c62ed82603af640722551145da3cc8f22e36a3961029e17b3d373df2b4419e0a,2013-02,Lancashire Constabulary,Lancashire Constabulary,-2.704696,53.760240,On or near BACK SEED STREET,E01033223,Preston 017F,Offender given a caution
de336a93b6ec471d51051f38c381807de357db5b7be47b281e46a3242f5fc343,2013-02,Lancashire Constabulary,Lancashire Constabulary,-2.693945,53.759538,On or near CHURCH STREET,E01033223,Preston 017F,Suspect charged
e850a56b2b9ac424465309f5f12fd444a703529829adab939e617ccd2ad3a162,2013-02,Lancashire Constabulary,Lancashire Constabulary,-2.699333,53.758806,On or near CHEAPSIDE,E01033223,Preston 017F,Suspect charged
97638cfd32af6d7038e83915901b7fb55c9c6e0ff432051e06993efdbc10374d,2013-02,Lancashire Constabulary,Lancashire Constabulary,-2.701648,53.760275,On or near Shopping Area,E01033223,Preston 017F,Suspect charged
87e0a2861a30c6d8151d5f864589919ec754eb24dbf38116b2d2dacda5ed9203,2013-02,Lancashire Constabulary,Lancashire Constabulary,-2.697914,53.761079,On or near OLD VICARAGE,E01033223,Preston 017F,Suspect charged
19784663f928210dd9976a8c64a11e1789ac8431da0df411b03d916142792bf3,2013-02,Lancashire Constabulary,Lancashire Constabulary,-2.699941,53.759773,On or near MARKET STREET,E01033223,Preston 017F,Suspect charged
0b8d1b3a7ffe29a1052cbf2cdea8dccc9402fd6a82d1b07b57739f9bd83db6fe,2013-02,Lancashire Constabulary,Lancashire Constabulary,-2.701648,53.760275,On or near Shopping Area,E01033223,Preston 017F,Suspect charged
358f394659b28c0afdfe252d5e2eab37514ba482b2c7eefa92f801a30d691acc,2013-02,Lancashire Constabulary,Lancashire Constabulary,-2.697914,53.761079,On or near OLD VICARAGE,E01033223,Preston 017F,Offender given a caution
b3666ff26f720a0ff0329ac9cce7d86c90f449726fe577673d259a10335ff402,2013-02,Lancashire Constabulary,Lancashire Constabulary,-2.696002,53.761953,On or near Pedestrian Subway,E01033223,Preston 017F,Suspect charged
537eefb479c1fc8acd93d90e83904d216a7c9334cedbf9381c0f61463d3bbb2e,2013-02,Lancashire Constabulary,Lancashire Constabulary,-2.696002,53.761953,On or near Pedestrian Subway,E01033223,Preston 017F,Suspect charged
c3160bc056b45916a84137b97c369594fb3bde22a09074be9424d5a31cf26ebe,2013-02,Lancashire Constabulary,Lancashire Constabulary,-2.700974,53.760792,On or near Nightclub,E01033223,Preston 017F,Suspect charged
