Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
c1e90746ae4eb5f93536dbf2d85434a241494360b71568e6639a84ac7b988b27,2015-03,Cambridgeshire Constabulary,Cambridgeshire Constabulary,-0.284202,52.588720,On or near Parking Area,E01015594,Peterborough 011C,Investigation complete; no suspect identified
c62bc2a00a33ad6a75443ce3dab965ae981e839bdfb64988beccfac8322f59e0,2015-03,Cambridgeshire Constabulary,Cambridgeshire Constabulary,0.129157,52.196751,On or near Supermarket,E01018005,Cambridge 012D,Investigation complete; no suspect identified
7c624740ba364905dc66b80765ac41d8a15bf29bada9de02659859a2cbcb0732,2015-03,Cambridgeshire Constabulary,Cambridgeshire Constabulary,-0.244992,52.575828,On or near Parking Area,E01015599,Peterborough 014A,Investigation complete; no suspect identified
058a7c2466df4b90d2e1cd266c62dded4c8f09177652bb10e5486678807f8f41,2015-03,Cambridgeshire Constabulary,Cambridgeshire Constabulary,-0.240327,52.611614,On or near WOODWARD DRIVE,E01015657,Peterborough 007D,Investigation complete; no suspect identified
33bc37cd07c28ef88d3de7319941e0cf90c4be88f4f6e959d431eb4ef990b215,2015-03,Cambridgeshire Constabulary,Cambridgeshire Constabulary,-0.222818,52.636195,On or near HARRIS CLOSE,E01015631,Peterborough 003B,Investigation complete; no suspect identified
d2a038c65d09f8cb1cc82f83fa23ce09f29bb67781052aa0dd6e9ea531726d55,2015-03,Cambridgeshire Constabulary,Cambridgeshire Constabulary,-0.034373,52.306212,On or near Park/Open Space,E01018277,South Cambridgeshire 021B,Investigation complete; no suspect identified
b98fcb7db01d8a016db59fbcb5e12960f50d1071c11b10473151e267e2fb86d7,2015-03,Cambridgeshire Constabulary,Cambridgeshire Constabulary,-0.280484,52.590941,On or near Pedestrian Subway,E01015594,Peterborough 011C,Investigation complete; no suspect identified
030fb8b2130b69cf526e5ce544809688579f5992b4c02513a9bf734ed295e765,2015-03,Cambridgeshire Constabulary,Cambridgeshire Constabulary,-0.280484,52.590941,On or near Pedestrian Subway,E01015594,Peterborough 011C,Investigation complete; no suspect identified
1abf76403be1c34b7bea6bc5a6d2a0d2525a57052d9e68059ca7b64705ca7ea8,2015-03,Cambridgeshire Constabulary,Cambridgeshire Constabulary,-0.280484,52.590941,On or near Pedestrian Subway,E01015594,Peterborough 011C,Investigation complete; no suspect identified
3ce5f971b262f45f308c5556d78ca972c101a00e417b8726237d6f48caaced85,2015-03,Cambridgeshire Constabulary,Cambridgeshire Constabulary,-0.034373,52.306212,On or near Park/Open Space,E01018277,South Cambridgeshire 021B,Investigation complete; no suspect identified
3e08cc98599890ad48a743befdf83e02582c5170823377798443ec1b453c9a13,2015-03,Cambridgeshire Constabulary,Cambridgeshire Constabulary,-0.252691,52.612301,On or near RYDAL COURT,E01015685,Peterborough 003E,Investigation complete; no suspect identified
c070b40a3d71cce8fd77f14bfd3be177bc501671ad23132bd40c6ab29736ab6e,2015-03,Cambridgeshire Constabulary,Cambridgeshire Constabulary,0.123747,52.203602,On or near Further/Higher Educational Building,E01032797,Cambridge 007G,Investigation complete; no suspect identified
