Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
372c7f29c8b97492f60e7637592be4eeb28546f4e1fb4f8c5814f4ca67db33ff,2013-01,Thames Valley Police,Thames Valley Police,-1.199067,51.724763,On or near TUCKER ROAD,E01028519,Oxford 017C,Investigation complete; no suspect identified
13b61b9d9a0e9da2b87bf79eea6162c744300d7967d2864d60196eb7bbf5794f,2013-01,Thames Valley Police,Thames Valley Police,-0.750181,52.043125,On or near LOWER TWELFTH STREET,E01033499,Milton Keynes 014E,Offender given a caution
65a0a3a03ca0b113bc4dc58ffd3d6ccbcad50a9ef905c4bd7cb8065b7cfb5d27,2013-01,Thames Valley Police,Thames Valley Police,-0.833750,51.725671,On or near Supermarket,E01017929,Wycombe 001A,Offender given penalty notice
8c7e55415f7c84e2caaae252721e9f221d4031440e70458673f72b33811b0e8b,2013-01,Thames Valley Police,Thames Valley Police,-1.256963,51.752189,On or near Nightclub,E01028521,Oxford 008A,Investigation complete; no suspect identified
d2de6c4b4cefbbb2addcf100cbef1b39b6b05ec49ebcd4b110db5738172dd8dd,2013-01,Thames Valley Police,Thames Valley Police,-1.230744,51.748684,On or near NYE BEVAN CLOSE,E01028579,Oxford 011A,Investigation complete; no suspect identified
7f1f358bfc286476a83051764a27db4123bba20c93daac03c11b30496dca9249,2013-01,Thames Valley Police,Thames Valley Police,-0.821726,51.412214,On or near STANLEY ROAD,E01016673,Wokingham 013C,Investigation complete; no suspect identified
40997c76dd0a798eb6df01927f73e72814e1ec27cb0a349244387b27aca6d6aa,2013-01,Thames Valley Police,Thames Valley Police,-0.633559,51.536529,On or near WAVELL GARDENS,E01016451,Slough 001B,Investigation complete; no suspect identified
1c4620f97268870bada98eb838a9ce0a5b6b660bb9408dd6c144ee744601aecf,2013-01,Thames Valley Police,Thames Valley Police,-0.696062,52.009873,On or near TOP MEADOW,E01016828,Milton Keynes 022E,Investigation complete; no suspect identified
13d3c74d1fc097c1433e7a124001e97afe15831432425cc90ad2e14272e166c2,2013-01,Thames Valley Police,Thames Valley Police,-1.224860,51.741192,On or near COWLEY ROAD,E01028532,Oxford 013B,Investigation complete; no suspect identified
037a1d6499bf394d6778f4156aa59ad2f872ee7bfcecffad6cd1585975e47a16,2013-01,Thames Valley Police,Thames Valley Police,-1.242603,51.749822,On or near DAWSON STREET,E01028582,Oxford 011D,Investigation complete; no suspect identified
3c84ce4be7db32d68cf44b30305742be08cbdc8d31cdecc14832ab69d3c684ff,2013-01,Thames Valley Police,Thames Valley Police,-1.416872,51.611954,On or near OXFORD LANE,E01028723,Vale of White Horse 011C,Offender given a caution
e715f974dc4e1907ff1f841f4d2b6cbf7aea7138d43e56930d4f8c76cad04e14,2013-01,Thames Valley Police,Thames Valley Police,-0.801614,51.802045,On or near HASLERIG CLOSE,E01017687,Aylesbury Vale 019A,Suspect charged
bd958da68a1fed84de288dca9330b6d1f237b6e30273e44987a29972c2f0832f,2013-01,Thames Valley Police,Thames Valley Police,-0.957517,51.436484,On or near STANHOPE ROAD,E01016415,Reading 016D,Local resolution
a3f0c152e1d6e8dfb6800728fee1848e0522fe5ac9da94c8c04ee6c431db5229,2013-01,Thames Valley Police,Thames Valley Police,-0.624545,51.534679,On or near LOWER LEES ROAD,E01016452,Slough 001C,Investigation complete; no suspect identified
4889d478845334493be8b9d3f8bda4abe19d0e671870b39ad56b67abecac50f3,2013-01,Thames Valley Police,Thames Valley Police,-0.820132,51.366869,On or near DUKE'S RIDE,E01016230,Bracknell Forest 012D,Investigation complete; no suspect identified
5901cce717367e2da86e18e235253a9a7a6e272945c1326d58a3a4be05b66c80,2013-01,Thames Valley Police,Thames Valley Police,-1.327688,52.061734,On or near WATERPERRY COURT,E01032942,Cherwell 004H,Local resolution
e442b3e78abef7282edcb5cc00824c3a68397ad431043815261586dcbed63e99,2013-01,Thames Valley Police,Thames Valley Police,-1.260927,51.750712,On or near Shopping Area,E01028521,Oxford 008A,Local resolution
c74034f5bcefe1adfb20f074197035d18b71c989b414333980d13cc3470ab5da,2013-01,Thames Valley Police,Thames Valley Police,-0.958223,51.423758,On or near EXWICK SQUARE,E01016368,Reading 017A,Investigation complete; no suspect identified
c17a0f2b86f131eb086dad58d4a33282afa319aca280de15579ff3f5eac5a647,2013-01,Thames Valley Police,Thames Valley Police,-0.844906,51.404766,On or near MOLLY MILLAR'S LANE,E01016634,Wokingham 016D,Suspect charged as part of another case
