Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
bf06b66d662dfd376f65a154a4ba2bc1f331c34e96a4f4be04dea680e5c72cd8,2013-03,Dorset Police,Dorset Police,-2.460716,50.627545,On or near WAVERLEY ROAD,E01020561,Weymouth and Portland 002E,Investigation complete; no suspect identified
32b0bbde8af40510ce53f76f5b10bdc49e48109e744a8f3a708b02b288cb5508,2013-03,Dorset Police,Dorset Police,-1.975509,50.807597,On or near GREENHILL CLOSE,E01020380,East Dorset 007C,Investigation complete; no suspect identified
fcf0cd34c3d46a9fefa4d5eb479c0d47363e0e164a12d394a298339d79718b0a,2013-03,Dorset Police,Dorset Police,-1.834609,50.819902,On or near BOUNDARY LANE,E01020405,East Dorset 004C,Investigation complete; no suspect identified
985597c0e4f3f4722f756ad25b7649a3ff1deab78c22539b47ab8c8624835e7c,2013-03,Dorset Police,Dorset Police,-2.194623,50.780495,On or near BROAD CLOSE,E01020432,North Dorset 008C,Investigation complete; no suspect identified
5de1d662937570a976680f8f322f1c0a14a9615d2da2c1fd3b5e6847d77d38a3,2013-03,Dorset Police,Dorset Police,-2.365094,50.872502,On or near DRUM LANE,E01020448,North Dorset 008E,Investigation complete; no suspect identified
96076ede5622abc1589739c9c0f363372016433dbc07296c7d178be2e1cacabc,2013-03,Dorset Police,Dorset Police,-2.120060,50.681857,On or near BARNES ROAD,E01020486,Purbeck 003D,Investigation complete; no suspect identified
7f3b8da303d632d83cfe0985c4b2a8c8e4d393e73d472ae9cbf58aabf1fb9c3a,2013-03,Dorset Police,Dorset Police,-2.508438,50.625485,On or near LUGGER CLOSE,E01020513,West Dorset 012B,Investigation complete; no suspect identified
a915baa79dc68da33693770ef51bddca895942234f32f9560a875d6b1929a11b,2013-03,Dorset Police,Dorset Police,-2.463281,50.632472,On or near Petrol Station,E01020579,Weymouth and Portland 003D,Investigation complete; no suspect identified
ef58c5effbaaa1ca863f0bfe508d016bbb7b04adeecf394eee7f91d1b3189c4f,2013-03,Dorset Police,Dorset Police,-2.458080,50.616728,On or near RADIPOLE PARK DRIVE,E01020554,Weymouth and Portland 004B,Investigation complete; no suspect identified
8759e9c60b34735f3f799a2459167297f66db8404d16b773fc7741de6531eee0,2013-03,Dorset Police,Dorset Police,-1.788690,50.746349,On or near EMILY CLOSE,E01020352,Christchurch 002B,Investigation complete; no suspect identified
5d7f02ad3b1714ae9e02091f04ad87406267196c6dc00a6811d03c75ecf8c141,2013-03,Dorset Police,Dorset Police,-2.781740,50.737740,On or near Sports/Recreation Area,E01020517,West Dorset 007B,Investigation complete; no suspect identified
