Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
fd9494ae847847e4d1f81ff540dcf08c1348a1435735cf5d668232ef038d91e7,2013-03,South Yorkshire Police,South Yorkshire Police,-1.450307,53.413490,On or near VICKERS ROAD,E01007949,Sheffield 020E,Investigation complete; no suspect identified
83a4bc35bd0b9a20b15d0f6459910bde7b20d8cec4a92b7b38a9708cf079dc21,2013-03,South Yorkshire Police,South Yorkshire Police,-1.467754,53.433191,On or near WHEATA ROAD,E01008056,Sheffield 006B,Investigation complete; no suspect identified
2c600a1da779f8786dff8b2d81ec70049ac47ac59dd350e68b826156304afde0,2013-03,South Yorkshire Police,South Yorkshire Police,-1.472474,53.365590,On or near Parking Area,E01008108,Sheffield 042A,Investigation complete; no suspect identified
8def702bae32ed7bdf432488012e5606193d9754c5da85b7849962ec2784909d,2013-03,South Yorkshire Police,South Yorkshire Police,-1.300289,53.533944,On or near VICTORIA STREET,E01007369,Barnsley 022A,Investigation complete; no suspect identified
08ec58227a00ddda618c9ffe8eee2825b97ce81f9c2e259063b82073207903cd,2013-03,South Yorkshire Police,South Yorkshire Police,-1.145061,53.557511,On or near Sports/Recreation Area,E01007506,Doncaster 010A,Investigation complete; no suspect identified
d4bcda9a5e4fe3cbe4c882408333bb1805f949df606f894a3624a73833091b4f,2013-03,South Yorkshire Police,South Yorkshire Police,-1.237112,53.483851,On or near IVANHOE ROAD,E01007539,Doncaster 035C,Investigation complete; no suspect identified
466a2ae9edad8f521fd60645eb83926127d2016f217ae9f03010c08d4df7f166,2013-03,South Yorkshire Police,South Yorkshire Police,-1.021583,53.433364,On or near DONCASTER ROAD,E01007610,Doncaster 038C,Investigation complete; no suspect identified
f9f5dbffdb240915ad074b4a85b51063ed75a182dabd80e13cc6a52211e09c29,2013-03,South Yorkshire Police,South Yorkshire Police,-1.377602,53.451209,On or near TREEFIELD CLOSE,E01007733,Rotherham 009F,Investigation complete; no suspect identified
91436c4a308491cf7b5be8102f9748b9a0c10600556762b78200819ec42db780,2013-03,South Yorkshire Police,South Yorkshire Police,-1.353634,53.428134,On or near MANSFIELD ROAD,E01007714,Rotherham 017B,Investigation complete; no suspect identified
3b4da12b4c776e0a804868cb4d552060d7a6dd9cfc4b72b7299aeae74a139884,2013-03,South Yorkshire Police,South Yorkshire Police,-1.338653,53.431423,On or near MIDDLE LANE,E01007767,Rotherham 017C,Investigation complete; no suspect identified
9014824b112de7580576c6c4313c626dbdbc1f6f60676e0a23b65b34bd1f2095,2013-03,South Yorkshire Police,South Yorkshire Police,-1.519456,53.415891,On or near QUEENSWOOD CLOSE,E01033275,Sheffield 008F,Investigation complete; no suspect identified
ae455a5a6e70a85163b3beacb646daf9dd66df19a01aa7c4ffc3aa0c37991ad1,2013-03,South Yorkshire Police,South Yorkshire Police,-1.410876,53.529857,On or near SADLER'S GATE,E01007450,Barnsley 023D,Investigation complete; no suspect identified
3f2e5fae519f4cf1f2dabd24f69009b35eeddd05638eca3fc953e03ca344d96c,2013-03,South Yorkshire Police,South Yorkshire Police,-1.079539,53.472144,On or near BOSWELL CLOSE,E01007597,Doncaster 037E,Investigation complete; no suspect identified
315f7c2cde21cb2adb48fa1b3e5b102e58e12ed8849e8e4ff31706bd439bdb71,2013-03,South Yorkshire Police,South Yorkshire Police,-1.457603,53.359106,On or near LICHFORD ROAD,E01007977,Sheffield 051C,Investigation complete; no suspect identified
ba0035447c569e2ad76c827ead7e1a6b06dacf8bc23e4541a630154c02cc34e6,2013-03,South Yorkshire Police,South Yorkshire Police,-1.069920,53.437993,On or near Parking Area,E01007614,Doncaster 039C,Investigation complete; no suspect identified
1f2c1f4a566f184fabe73d2ed70f84a7973ba81f32030d5129cc18371fb03071,2013-03,South Yorkshire Police,South Yorkshire Police,-1.330635,53.465661,On or near BRUNT ROAD,E01007774,Rotherham 006D,Investigation complete; no suspect identified
ec3e82c3546bb38be6196c50a58302e08bf77a815c5a0db43e79923feaeaf8a2,2013-03,South Yorkshire Police,South Yorkshire Police,-1.506470,53.410841,On or near CARLTON ROAD,E01007989,Sheffield 016C,Investigation complete; no suspect identified
33243f493aff68af392d8ee56e83e97617f2a505539a6e9acb4cc5161aab486d,2013-03,South Yorkshire Police,South Yorkshire Police,-1.273509,53.502163,On or near PERTH CLOSE,E01007580,Doncaster 030D,Investigation complete; no suspect identified
942ff5c05a178125e88d3e19b3c6d2cf3d3a52888d78bee028a8e6f96319cb04,2013-03,South Yorkshire Police,South Yorkshire Police,-1.358807,53.421367,On or near TOWN STREET,E01007677,Rotherham 017A,Investigation complete; no suspect identified
efa55528a1cbe3659643070f8073007dcbf8ffd1e02f30cb37c9c122e4b2197e,2013-03,South Yorkshire Police,South Yorkshire Police,-1.385372,53.505469,On or near PLOUGHMANS CROFT,E01007695,Rotherham 001C,Investigation complete; no suspect identified
8cd938bb06ef1226506f8ed64d5a4092d6eea5ee8f9d70c3607263902d7ef4af,2013-03,South Yorkshire Police,South Yorkshire Police,-1.140942,53.491046,On or near PLANTATION ROAD,E01007502,Doncaster 028C,Investigation complete; no suspect identified
