Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
66f4528bd14b66c908170c5c02e939b3ab87074792430a52fd4c239dde90ef08,2013-03,Suffolk Constabulary,Suffolk Constabulary,1.746764,52.478964,On or near SEAGO STREET,E01030250,Waveney 004D,Investigation complete; no suspect identified
d2b3b244b6e4886f8fe9d1227d853b57b3d842691a1ef6dc4e28c68cc66c890b,2013-03,Suffolk Constabulary,Suffolk Constabulary,1.738221,52.492520,On or near CRISP CLOSE,E01030279,Waveney 002D,Investigation complete; no suspect identified
dc4b9b511126828847711670f1967454105ac228646c8c6f1827ec1af35c7bb1,2013-03,Suffolk Constabulary,Suffolk Constabulary,1.153633,52.048141,On or near HARTLEY STREET,E01033130,Ipswich 012G,Investigation complete; no suspect identified
b8e2a494593b038cf871f9328a196f6d63b69f4317f3be408e5d3993454c5b15,2013-03,Suffolk Constabulary,Suffolk Constabulary,0.622193,52.448433,On or near BRANDON CLOSE,E01029927,Forest Heath 001B,Investigation complete; no suspect identified
8bbe4a83ca01d59d1ff58b954c205cefc95c32036dc7bfd70a81c6d87e1ee6cf,2013-03,Suffolk Constabulary,Suffolk Constabulary,1.146834,52.062650,On or near NEWSON STREET,E01030024,Ipswich 006C,Investigation complete; no suspect identified
b2572c170b73b04023bbed55e7987bd5f6bff4f48149c19fb0e0dfc590218580,2013-03,Suffolk Constabulary,Suffolk Constabulary,1.130996,52.071733,On or near DEBEN ROAD,E01030029,Ipswich 003C,Investigation complete; no suspect identified
28726f8b34ff54c0024e5b07cbb206e4ec0ea81057fff7b69c6befa0c0e86dd1,2013-03,Suffolk Constabulary,Suffolk Constabulary,1.126968,52.078829,On or near MEREDITH ROAD,E01030032,Ipswich 001A,Investigation complete; no suspect identified
3da0cc94e5a207440cfdc0ac362b23d326d94d4dd423fb73036ed5a7f0344017,2013-03,Suffolk Constabulary,Suffolk Constabulary,1.137428,52.080619,On or near BUNYAN CLOSE,E01030036,Ipswich 001E,Investigation complete; no suspect identified
c3bc136794109e1a360c31604dda1ca71253026c59cd528613a930c75a107c57,2013-03,Suffolk Constabulary,Suffolk Constabulary,0.992060,52.187323,On or near Parking Area,E01030073,Mid Suffolk 008A,Investigation complete; no suspect identified
ee304fff679cffe7ad13967ba5c212dbc41bdbc2b92f8f11076df803f82c321b,2013-03,Suffolk Constabulary,Suffolk Constabulary,0.851148,52.327896,On or near UP STREET,E01030095,St Edmundsbury 001A,Investigation complete; no suspect identified
93d96d6ec5cf7fa41a97885de692df8be7fcb38e64fe755c6f1491162340b850,2013-03,Suffolk Constabulary,Suffolk Constabulary,0.424868,52.083844,On or near QUEENSWAY,E01030109,St Edmundsbury 012A,Investigation complete; no suspect identified
2e222cb3ef739fe8fe4e8514cae21a0cba03ea495b88ecdca68072c694792f55,2013-03,Suffolk Constabulary,Suffolk Constabulary,1.336279,51.968606,On or near HAMILTON STREET,E01030161,Suffolk Coastal 014B,Investigation complete; no suspect identified
617d74a9b451a84b29b3035596fa99ccced4b112da4f60cdd39c6c5e642b9135,2013-03,Suffolk Constabulary,Suffolk Constabulary,1.493143,52.213474,On or near CHURCH STREET,E01030209,Suffolk Coastal 003C,Investigation complete; no suspect identified
d85511d444ef5ebfc3ffb375fce36a95c36f4a536788d863106cc968d0e9bc73,2013-03,Suffolk Constabulary,Suffolk Constabulary,1.742299,52.492130,On or near MYLODON ROAD,E01030277,Waveney 002C,Investigation complete; no suspect identified
105151465731937654216807ce20db4ff17704e71ef0506bac6e255771b61bd0,2013-03,Suffolk Constabulary,Suffolk Constabulary,1.155254,52.058719,On or near TOWER STREET,E01033129,Ipswich 007H,Investigation complete; no suspect identified
6a7d29f359f5b8fdb50b495a25c5c96f49b659c50462588530093eda37506125,2013-03,Suffolk Constabulary,Suffolk Constabulary,0.491318,52.305013,On or near MAGNOLIA CLOSE,E01033454,Forest Heath 005F,Investigation complete; no suspect identified
c854abb46e6c7b906438447a297d085da2c3eac790404da0e46a83bbbda6af67,2013-03,Suffolk Constabulary,Suffolk Constabulary,0.408410,52.244525,On or near Shopping Area,E01029925,Forest Heath 008A,Investigation complete; no suspect identified
2a547a04dd407f05998a396d6dac00a92fc374dbf415bf9f913254e869c3169d,2013-03,Suffolk Constabulary,Suffolk Constabulary,1.189782,52.040799,On or near Race Track,E01029996,Ipswich 014D,Investigation complete; no suspect identified
1cfa05fc94998f258b69b3f06852847f96184cc3dd77600cf26afe5f097c5a0d,2013-03,Suffolk Constabulary,Suffolk Constabulary,1.135104,52.085780,On or near CARLYLE CLOSE,E01030035,Ipswich 001D,Investigation complete; no suspect identified
fc76349bbe5980c9169bcb60d15a8b2799ff98af33f3baf68c83ff07e1cb460b,2013-03,Suffolk Constabulary,Suffolk Constabulary,1.108705,52.071667,On or near RIVER HILL,E01030042,Mid Suffolk 012A,Investigation complete; no suspect identified
12d98f2cd5b396021b10cb615168e0a929105fca7c709a1e5187cd93e5ba7800,2013-03,Suffolk Constabulary,Suffolk Constabulary,1.084011,52.296933,On or near THE STREET,E01030055,Mid Suffolk 002C,Investigation complete; no suspect identified
aaadf3feb9c825debcf8fcbdd5b605cfdf985f4d58eceaf64de98442ecadc71d,2013-03,Suffolk Constabulary,Suffolk Constabulary,0.995010,52.187455,On or near CROWE STREET,E01030071,Mid Suffolk 010B,Investigation complete; no suspect identified
60bddd30c66d914fff50a49cd2a395fe1d3392eb8d92c4edcedca0714be06ebb,2013-03,Suffolk Constabulary,Suffolk Constabulary,0.429309,52.073429,On or near HOMEFIELD ROAD,E01030114,St Edmundsbury 014F,Investigation complete; no suspect identified
00246039e17bde842e4aa6135f75a042c154b915f83fad699145689e4b1ef261,2013-03,Suffolk Constabulary,Suffolk Constabulary,1.340904,51.963438,On or near GOYFIELD AVENUE,E01030164,Suffolk Coastal 013E,Investigation complete; no suspect identified
62b648bb511764b424faaa2fbf3703ae32d368b193347a366db378c13b1a5182,2013-03,Suffolk Constabulary,Suffolk Constabulary,1.736980,52.509497,On or near CORTON LONG LANE,E01030241,Waveney 001B,Investigation complete; no suspect identified
a760f7473ed708f2a1dbee9c568503e06c4a8455309f807f457a5510d74bbe2a,2013-03,Suffolk Constabulary,Suffolk Constabulary,1.746948,52.491173,On or near ARNHEM COURT,E01030277,Waveney 002C,Investigation complete; no suspect identified
2f0bbc14d961aabfef5735cdb578a81d69bd054d7d2971acd308630cbd85f5c7,2013-03,Suffolk Constabulary,Suffolk Constabulary,1.153147,52.058641,On or near LLOYDS AVENUE,E01033125,Ipswich 007G,Investigation complete; no suspect identified
0b94fe94e91c3cd5ad043f332820e0abc4d4652ea96fbb469a645a93e9419f69,2013-03,Suffolk Constabulary,Suffolk Constabulary,1.198793,52.034439,On or near LESLIE ROAD,E01033128,Ipswich 014F,Investigation complete; no suspect identified
72cd8e15925819cfbc8f1e7e1a051edf265dd4f4d6221aacc478d7a707527492,2013-03,Suffolk Constabulary,Suffolk Constabulary,1.499959,52.123992,On or near ORFORD ROAD,E01033446,Suffolk Coastal 007H,Investigation complete; no suspect identified
9ec4315a377ef70749be1085d525503d509b473e17e19a949d13097874b82a59,2013-03,Suffolk Constabulary,Suffolk Constabulary,0.491318,52.305013,On or near MAGNOLIA CLOSE,E01033454,Forest Heath 005F,Investigation complete; no suspect identified
d4d5d32e17b4d3701a7b4ee22f09966a64784b5fd388b99b8f8ad6dcdfed9110,2013-03,Suffolk Constabulary,Suffolk Constabulary,0.520392,52.347856,On or near DOWNING CLOSE,E01029938,Forest Heath 004A,Investigation complete; no suspect identified
5420d1239ff4e19752fac29dfa6f7f92388665ed2cd39b0fbf3d590c6004a219,2013-03,Suffolk Constabulary,Suffolk Constabulary,1.177937,52.069118,On or near QUEENSGATE DRIVE,E01029997,Ipswich 004A,Investigation complete; no suspect identified
a89e55e5b2fe84f0d8d831ade8ac7149f43ec8158c651be6c2af2d7a2b222992,2013-03,Suffolk Constabulary,Suffolk Constabulary,1.135008,52.060681,On or near YARMOUTH ROAD,E01030023,Ipswich 006B,Investigation complete; no suspect identified
d527be023ae2cac4f737fb5d802e6229799536ef73274cb64c287db7e7b921d0,2013-03,Suffolk Constabulary,Suffolk Constabulary,0.712709,52.246132,On or near Parking Area,E01030091,St Edmundsbury 006A,Investigation complete; no suspect identified
cc6673c65c06d9e14963b9d3d17dd9a415e9d08c2efba012e9dbd485f49725b9,2013-03,Suffolk Constabulary,Suffolk Constabulary,0.430790,52.079459,On or near CLEMENTS CLOSE,E01030113,St Edmundsbury 014E,Investigation complete; no suspect identified
014e89d9bc544ef1019694bb02e283d9a2607b07cf8c703622148faa225dc575,2013-03,Suffolk Constabulary,Suffolk Constabulary,1.353308,51.961862,On or near Parking Area,E01030165,Suffolk Coastal 015C,Investigation complete; no suspect identified
0ee33bf23a0de9e244aa1b36aad9ba5a44d067429568d7185f6205aba772b34f,2013-03,Suffolk Constabulary,Suffolk Constabulary,1.738582,52.460145,On or near PAKEFIELD ROAD,E01030256,Waveney 007C,Investigation complete; no suspect identified
401c5844921aadb27523de9911fba4cc7bed8c0b7452013350cbb302658905fb,2013-03,Suffolk Constabulary,Suffolk Constabulary,1.737445,52.464624,On or near CLEMENT SQUARE,E01030257,Waveney 008A,Investigation complete; no suspect identified
a44c41d42eb10f5c63bf02849f132a78d2bbfa38f3a839a359b15d74dec33103,2013-03,Suffolk Constabulary,Suffolk Constabulary,1.649756,52.515055,On or near STAITH LANE,E01030260,Waveney 001E,Investigation complete; no suspect identified
e672a6fa76a219247ee6cc531f4c6f0fa2e59420095d724f3f4e4dd8e0766fc8,2013-03,Suffolk Constabulary,Suffolk Constabulary,1.417013,52.130268,On or near MAPLE CLOSE,E01033449,Suffolk Coastal 007J,Investigation complete; no suspect identified
ffe6b6cb8fd7d4049bb87ece2b5fb70160d5951aac63ebd4d405ec607f406747,2013-03,Suffolk Constabulary,Suffolk Constabulary,1.180014,52.074314,On or near Sports/Recreation Area,E01030001,Ipswich 004E,Investigation complete; no suspect identified
52f3ed6baa1b0d442a6b39c31d3c06b2d6e4e151e434d44d8a3c466579489ed4,2013-03,Suffolk Constabulary,Suffolk Constabulary,1.133151,52.065623,On or near HAMPTON ROAD,E01030022,Ipswich 006A,Investigation complete; no suspect identified
e1e0e347129d63e75b88f5de4ecd9ce4cb74fbbf541b3202a43ce274744cc3ed,2013-03,Suffolk Constabulary,Suffolk Constabulary,1.138244,52.064372,On or near CHEVALLIER STREET,E01030024,Ipswich 006C,Investigation complete; no suspect identified
a51df5a5e8be176177c064a0ad25c1d9817c35fe4b45fa339a19b44455a3b9d2,2013-03,Suffolk Constabulary,Suffolk Constabulary,1.138314,52.082835,On or near SHENSTONE DRIVE,E01030036,Ipswich 001E,Investigation complete; no suspect identified
f427e8083e57f8994a7b2b27cfbcfd1e67e178322d965a2cadee8e823a847e7f,2013-03,Suffolk Constabulary,Suffolk Constabulary,0.992060,52.187323,On or near Parking Area,E01030073,Mid Suffolk 008A,Investigation complete; no suspect identified
8da1df8bebf38f9703d65c210164a58ebef69d052b5be6899eb0850825f78e1d,2013-03,Suffolk Constabulary,Suffolk Constabulary,0.437252,52.083948,On or near QUEEN STREET,E01030112,St Edmundsbury 012D,Investigation complete; no suspect identified
a0763dc34887b1ec73d8ccc04ad2f05a7006e7aeaa2160cd45f3ef7e7bc17405,2013-03,Suffolk Constabulary,Suffolk Constabulary,0.425541,52.080377,On or near SHAFTESBURY COURT,E01030115,St Edmundsbury 013A,Investigation complete; no suspect identified
bed4947dc1ad95c2c46ebea8b3897ace1d5bfda035fb125fbadf68c878b1e7df,2013-03,Suffolk Constabulary,Suffolk Constabulary,0.527740,52.113948,On or near VALLEY WASH,E01030120,St Edmundsbury 011A,Investigation complete; no suspect identified
