Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
a4ee58779d1bf95db2e38764027214bb24da774ad8b71c2fc932faef6909b0e1,2012-06,Warwickshire Police,Warwickshire Police,-1.502324,52.534808,On or near CAMP HILL DRIVE,E01031073,Nuneaton and Bedworth 002C,Investigation complete; no suspect identified
a69d28b63f31cd8edf57b2fa9b3f48574a081964916410855ef8f3077822fd78,2012-06,Warwickshire Police,Warwickshire Police,-1.519154,52.523235,On or near BEVERLEY AVENUE,E01031081,Nuneaton and Bedworth 004A,Investigation complete; no suspect identified
db412ab661ba97928f9e59285603bddc90383cb83b12494259828a0985c8eb58,2012-06,Warwickshire Police,Warwickshire Police,-1.501691,52.472216,On or near DARK LANE,E01031087,Nuneaton and Bedworth 016B,Investigation complete; no suspect identified
2a3ad6c540a13940ef24809325baa7981cc9e8870814597bc88a7aeb255d8345,2012-06,Warwickshire Police,Warwickshire Police,-1.267746,52.384406,On or near Sports/Recreation Area,E01031171,Rugby 003A,Investigation complete; no suspect identified
6344f157b968d4d73152783877cf05a935ee7cc4d1de5433019df77d82a2f6d1,2012-06,Warwickshire Police,Warwickshire Police,-1.338723,52.249753,On or near Parking Area,E01031224,Stratford-on-Avon 004F,Investigation complete; no suspect identified
91ba7735fc5fc3960c41b045fad9f6512b99b3982d183e3265bc997dce143b45,2012-06,Warwickshire Police,Warwickshire Police,-1.590381,52.201249,On or near LAWRENCE MACKIE GARDENS,E01031252,Stratford-on-Avon 008F,Investigation complete; no suspect identified
28180b484cf6113ca0d2685c461e21cf788774b67b1e53f41a57bf2e520b33c9,2012-06,Warwickshire Police,Warwickshire Police,-1.543222,52.289757,On or near MILVERTON HILL,E01031293,Warwick 009D,Investigation complete; no suspect identified
6000ae460be7d1a2ac34f4b59227682daea3983b68689b68419288761abc29d0,2012-06,Warwickshire Police,Warwickshire Police,-1.550013,52.273547,On or near COLLINS ROAD,E01031315,Warwick 012A,Investigation complete; no suspect identified
3aeb08cd181043175514eb3453e2040162f02d6e2e58551a97715f17786c306d,2012-06,Warwickshire Police,Warwickshire Police,-1.581204,52.287111,On or near WOODCOTE ROAD,E01031323,Warwick 011C,Investigation complete; no suspect identified
0b3a0900009d20c0cbb36b46a14395b14a7c2ed5b3d96debbdda919bbc9b18ec,2012-06,Warwickshire Police,Warwickshire Police,-1.539937,52.578120,On or near ST MARY'S ROAD,E01031010,North Warwickshire 003B,Investigation complete; no suspect identified
2f02c7a18258aac73daa6fef65c9d7340ee5b3bed4849a5d159c3a1eab2238c4,2012-06,Warwickshire Police,Warwickshire Police,-1.481179,52.521439,On or near MEREVALE AVENUE,E01031047,Nuneaton and Bedworth 005E,Investigation complete; no suspect identified
165fd9828de09e2f983a57ee4ebda69f8d474c98ebc70bddfd73140b232b6177,2012-06,Warwickshire Police,Warwickshire Police,-1.494659,52.519285,On or near BERKSHIRE CLOSE,E01031060,Nuneaton and Bedworth 006D,Investigation complete; no suspect identified
0a6d26f66524540c2cf72e4eec74327bb2d6c8754647e6a84b567f2971b497a4,2012-06,Warwickshire Police,Warwickshire Police,-1.508269,52.520008,On or near DANIEL AVENUE,E01031092,Nuneaton and Bedworth 007C,Investigation complete; no suspect identified
290105caaf0272bc4600e748431fb87ac81f7e203544e598427da21f9c84231d,2012-06,Warwickshire Police,Warwickshire Police,-1.435017,52.530802,On or near EASEDALE CLOSE,E01031103,Nuneaton and Bedworth 003D,Investigation complete; no suspect identified
