Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
996f7ec2e65758c6dd3b4d6f02ef106c214b7279041edaadc6bb1f214e3bd9d1,2013-08,Suffolk Constabulary,Suffolk Constabulary,0.517051,52.423382,On or near JUBILEE ROAD,E01029944,Forest Heath 002E,Investigation complete; no suspect identified
12e371c2a217fbd6f74079323f2438b166bf733826c3d568c2498806d9af84eb,2013-08,Suffolk Constabulary,Suffolk Constabulary,0.998888,52.185072,On or near Theatre/Concert Hall,E01030071,Mid Suffolk 010B,Investigation complete; no suspect identified
e495a7cc3ed2674f170bdf65e8188b757a16d5581763349b70df676f62befa40,2013-08,Suffolk Constabulary,Suffolk Constabulary,1.538413,52.092009,On or near Parking Area,E01030199,Suffolk Coastal 007C,Investigation complete; no suspect identified
c57093bf94b5f59fa447a9f37a26b35a49acdf6ba7d62ec4abd68340612ba440,2013-08,Suffolk Constabulary,Suffolk Constabulary,0.646189,52.393790,On or near Park/Open Space,E01029928,Forest Heath 001C,Investigation complete; no suspect identified
b06999e5a7b6a6782c4e8fda9b89ba9af51915019eda49d5e02661173134edbc,2013-08,Suffolk Constabulary,Suffolk Constabulary,1.301433,52.094412,On or near COLLETT'S WALK,E01030185,Suffolk Coastal 008B,Investigation complete; no suspect identified
0048d0af9259bb7920afed822f86abbb7821e24363c9e3bf6c7c105267add6de,2013-08,Suffolk Constabulary,Suffolk Constabulary,0.652565,52.394214,On or near Park/Open Space,E01029928,Forest Heath 001C,Investigation complete; no suspect identified
aa5c3580a8d20851eaa9c7e225abc1292b548aba95515a1bf9bdce61a7ebfb5c,2013-08,Suffolk Constabulary,Suffolk Constabulary,0.492857,52.308901,On or near SCOTTS PINE COURT,E01033454,Forest Heath 005F,Investigation complete; no suspect identified
c078b736f380c44a3a895363bd4a756c094064dd9a928f85bba4af01b5c23ab0,2013-08,Suffolk Constabulary,Suffolk Constabulary,1.340762,51.971114,On or near Supermarket,E01030160,Suffolk Coastal 014A,Investigation complete; no suspect identified
01bf666d550a1c121ea722b8608ae70e33b5963fbec09bb587996e2617b17cfa,2013-08,Suffolk Constabulary,Suffolk Constabulary,1.390265,51.988911,On or near Parking Area,E01030158,Suffolk Coastal 013C,Investigation complete; no suspect identified
3a0cc7a281763b9373f5f5d2acd746c576ae46479bc4e029cacc770265b0ad0c,2013-08,Suffolk Constabulary,Suffolk Constabulary,0.424896,52.082737,On or near CASTLE AVENUE,E01030109,St Edmundsbury 012A,Investigation complete; no suspect identified
578474354a780c01f40a295178e74fe2251e274a769e38dea6e6847361a52bec,2013-08,Suffolk Constabulary,Suffolk Constabulary,0.979951,52.212560,On or near DAGWORTH LANE,E01030056,Mid Suffolk 006B,Investigation complete; no suspect identified
4fa5153d6e01ba59ee601e0cc3699ae8bd7f284c4a1d94e9c21f74a32a2bed83,2013-08,Suffolk Constabulary,Suffolk Constabulary,0.768762,52.041433,On or near A134,E01029880,Babergh 006A,Investigation complete; no suspect identified
5ba1d0c09a77f78afbc503f3f062665ecd93d40e47b5e6a7ae81a73b64c56c77,2013-08,Suffolk Constabulary,Suffolk Constabulary,0.437948,52.083862,On or near MURTON SLADE,E01030112,St Edmundsbury 012D,Investigation complete; no suspect identified
