Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
f0ccf8c696de8f3190868080b0c7228bf6f076de349d3b21c77a5051a5f7fc64,2013-08,Northamptonshire Police,Northamptonshire Police,-1.145567,52.036225,On or near BRIDGEWATER ROAD,E01027265,South Northamptonshire 009A,Investigation complete; no suspect identified
9dd478f7a69d49c44b8a7b5d031bfc80215ada78f7dd996cbf2bcce5ac53ed84,2013-08,Northamptonshire Police,Northamptonshire Police,-0.951320,52.323774,On or near GLEBELANDS,E01027022,Daventry 002E,Investigation complete; no suspect identified
7cfcced0a809973d303dbbef32832c2b082a48de3f11344901065b597cc3affb,2013-08,Northamptonshire Police,Northamptonshire Police,-0.690852,52.301656,On or near MIDLAND ROAD,E01027349,Wellingborough 006A,Investigation complete; no suspect identified
cddcfc364e2551cc75e421d2749952b34ec76fa5b4bcbe156cea95ea6efac7b7,2013-08,Northamptonshire Police,Northamptonshire Police,-1.174546,52.388620,On or near THE HORSEPOOL,E01027030,Daventry 001C,Investigation complete; no suspect identified
715c4bfa50c007d712a6d39079be0bcbd9bc43a64cfa9ac19ac95f12fee2dcd7,2013-08,Northamptonshire Police,Northamptonshire Police,-0.695534,52.297041,On or near CROYLAND ROAD,E01027350,Wellingborough 006B,Investigation complete; no suspect identified
d74f26e03ae970d0aa1bf65539969707986edbe639887594ae8b9ed65526fdf9,2013-08,Northamptonshire Police,Northamptonshire Police,-0.870390,52.238209,On or near Sports/Recreation Area,E01027257,Northampton 025D,Investigation complete; no suspect identified
3c7dcf0b581ed0330266050d0499d9fe8becc6b26f73109ed95dd301a35930f8,2013-08,Northamptonshire Police,Northamptonshire Police,-0.599084,52.288753,On or near WELLINGBOROUGH ROAD,E01027069,East Northamptonshire 009E,Investigation complete; no suspect identified
b61773824526f3202f871f70a3dbb95ccd9435990baac6afbbc2bbd5cbdb09c1,2013-08,Northamptonshire Police,Northamptonshire Police,-0.943262,52.251165,On or near Supermarket,E01027213,Northampton 018A,Investigation complete; no suspect identified
faef0f63862c6dff5b5d08a73a2b60d46d541336f5737398fcf2040fee91647e,2013-08,Northamptonshire Police,Northamptonshire Police,-0.720827,52.473049,On or near VANCOUVER CLOSE,E01026968,Corby 006G,Investigation complete; no suspect identified
123ef9e7b9d8bbb78f67d7a05e5650180e1ee85619602dcc9690bec8a9626b8b,2013-08,Northamptonshire Police,Northamptonshire Police,-0.868995,52.253903,On or near LINDEN ROAD,E01027169,Northampton 012B,Investigation complete; no suspect identified
