Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
90ff1e6e6b8ec16beb7b5d69095d13076577aa59810a1205bda5b0b627be6b1f,2013-08,Lincolnshire Police,Lincolnshire Police,-0.536589,53.236832,On or near EAST BIGHT,E01026167,Lincoln 003G,Investigation complete; no suspect identified
8f7ba9336be25c4ada97da8f86f16ca6f7d1568b2f41f633f1d449c27b6841e4,2013-08,Lincolnshire Police,Lincolnshire Police,0.004293,53.107557,On or near WEST FEN LANE,E01026102,East Lindsey 018D,Investigation complete; no suspect identified
d2817887d124b19d1c712e3e63bd1aa98963101bc0c611dbd9d194d84d13d2ca,2013-08,Lincolnshire Police,Lincolnshire Police,-0.555470,53.224342,On or near Petrol Station,E01026133,Lincoln 008A,Investigation complete; no suspect identified
f37c4389f6d18825836de13e1d79c455cbc84b2103689bca4e874f8b955f56f4,2013-08,Lincolnshire Police,Lincolnshire Police,-0.578764,53.213898,On or near Supermarket,E01026161,Lincoln 010A,Investigation complete; no suspect identified
350bf00293e073ccbb9ebd98c8070ab70e56c07b611022e58928b6a10d2ba55a,2013-08,Lincolnshire Police,Lincolnshire Police,-0.585174,53.182996,On or near SCHOOL LANE,E01026220,North Kesteven 013A,Investigation complete; no suspect identified
78310a46778c4abadab815b71e2f0f5f06e98b12538bc7477b8fd8f996ec9c4f,2013-08,Lincolnshire Police,Lincolnshire Police,-0.555470,53.224342,On or near Petrol Station,E01026133,Lincoln 008A,Investigation complete; no suspect identified
18901966308dafe74241a3eb7182e1df6000f2a950a508e5a0ec6d2381195ee5,2013-08,Lincolnshire Police,Lincolnshire Police,-0.011784,52.965532,On or near LEALAND WAY,E01026029,Boston 009A,Investigation complete; no suspect identified
d5726ff45fdff147d20e5c8d4d168c543060bada7cf716fc6e786b80665d5360,2013-08,Lincolnshire Police,Lincolnshire Police,0.267459,53.335606,On or near NEWSTEAD ROAD,E01026109,East Lindsey 006C,Investigation complete; no suspect identified
0d75a79b0772cd808c663c8c021028fed9014e58ed59f7c7d9d2a0e513cd2d62,2013-08,Lincolnshire Police,Lincolnshire Police,-0.645763,52.910401,On or near DYSART ROAD,E01026323,South Kesteven 004D,Investigation complete; no suspect identified
319d22f65d393c2b3a59f31848399b14a96520fb3df75c64d01d728bb917c074,2013-08,Lincolnshire Police,Lincolnshire Police,-0.533563,53.230260,On or near SPA BUILDINGS,E01026122,Lincoln 004A,Investigation complete; no suspect identified
3e2f688ffcb397f48f78bf1e1ebd195757a48fa0ffd0c3bc4b2c44e41235f79e,2013-08,Lincolnshire Police,Lincolnshire Police,-0.660119,52.901053,On or near KINOULTON COURT,E01026308,South Kesteven 005A,Investigation complete; no suspect identified
3da573d85d72d691c109f8aeba01f9875177076ccae0b1d817d4769e5b732e81,2013-08,Lincolnshire Police,Lincolnshire Police,-0.544673,53.225577,On or near ST MARK'S SQUARE,E01026132,Lincoln 005A,Investigation complete; no suspect identified
f06c9252170ef6ed523e828ee689649dee9dce5a06fb0f5bd309b8b84b2d99b2,2013-08,Lincolnshire Police,Lincolnshire Police,-0.568824,53.201193,On or near THE COTTAGE PADDOCK,E01026170,Lincoln 010B,Investigation complete; no suspect identified
421fa37486533d52b491a1d099bd28e07f34543318414f1557ab558baebff5b0,2013-08,Lincolnshire Police,Lincolnshire Police,-0.429029,53.364555,On or near FAIRFAX CLOSE,E01026414,West Lindsey 008D,Investigation complete; no suspect identified
17ec4b701ee6d4a09f958bd88d509f299c777335df545c6a4102f7d0eebafc53,2013-08,Lincolnshire Police,Lincolnshire Police,-0.641469,53.264008,On or near LINCOLN ROAD,E01026397,West Lindsey 009B,Investigation complete; no suspect identified
2d3e7024366fddbc070a7061d6b3358466cd37015c851e972b7aa7fa719edabe,2013-08,Lincolnshire Police,Lincolnshire Police,0.343049,53.139042,On or near SERENA ROAD,E01026093,East Lindsey 014B,Investigation complete; no suspect identified
6164103890c2f3a25de27dce1adae525b48d9bc1750a30d9df201ee9cbd92994,2013-08,Lincolnshire Police,Lincolnshire Police,-0.023098,52.914995,On or near NIDD'S LANE,E01026019,Boston 007C,Investigation complete; no suspect identified
9279e715b9f1604aa38a0e73b6965525ddf82cbe57ef6fb3d835263c97049ebb,2013-08,Lincolnshire Police,Lincolnshire Police,-0.040153,52.827762,On or near EARLSFIELD,E01026283,South Holland 004C,Investigation complete; no suspect identified
06071b59cb6f9a23e4a612b4c5e1d9867c72358c5b395755184ae2af6d4157f3,2013-08,Lincolnshire Police,Lincolnshire Police,-0.639946,52.909517,On or near WHARF ROAD,E01026323,South Kesteven 004D,Investigation complete; no suspect identified
09445f15b4fcf369c1cb159878200584a96248606be53d458b55a4b4b49ff51e,2013-08,Lincolnshire Police,Lincolnshire Police,-0.197932,52.774142,On or near Park/Open Space,E01026262,South Holland 009A,Investigation complete; no suspect identified
