Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
8525457ce9d38b84946a0669697c1c2ecfa72741f1228457c01ed1779d7cb808,2012-11,Thames Valley Police,Thames Valley Police,-0.641963,51.398859,On or near HIGH FIELDS,E01016605,Windsor and Maidenhead 018C,Investigation complete; no suspect identified
e4b45b6f67143df1cdb548e409ebf5384d00c35ef2b5e8be05f4da9955faf1ef,2012-11,Thames Valley Police,Thames Valley Police,-0.608141,51.483968,On or near THAMES STREET,E01016567,Windsor and Maidenhead 010B,Investigation complete; no suspect identified
dfb8fc59bf849e8b3c476e8993db102beedef9a5332be34f94043198aabecc8f,2012-11,Thames Valley Police,Thames Valley Police,-0.607726,51.485303,On or near THAMES STREET,E01016567,Windsor and Maidenhead 010B,Investigation complete; no suspect identified
dcfebcfbb3a9151fdcd72b341682b458f749c83837d5dd0cc63860a13352ca66,2012-11,Thames Valley Police,Thames Valley Police,-0.619963,51.485466,On or near Parking Area,E01016547,Windsor and Maidenhead 012B,Investigation complete; no suspect identified
0ef2cd368642eedb4cc14f8460adcd4fef721c05b8040742471bbb8cd2faffab,2012-11,Thames Valley Police,Thames Valley Police,-0.575977,51.485488,On or near DEEP FIELD,E01016564,Windsor and Maidenhead 011A,Investigation complete; no suspect identified
c28dfb3ff5662f7d5b93fd3e529fc4960cfcb7128ca771ec35148e93074bdd3b,2012-11,Thames Valley Police,Thames Valley Police,-0.771125,51.427755,On or near BLAMIRE DRIVE,E01016188,Bracknell Forest 002E,Investigation complete; no suspect identified
9455981eb550cc6a994fa599c6aed5952fe7f2e7f956c026d1e0cbe4af3838bd,2012-11,Thames Valley Police,Thames Valley Police,-0.609250,51.489161,On or near HIGH STREET,E01016567,Windsor and Maidenhead 010B,Investigation complete; no suspect identified
1a7a7e50363d287f697bd075cf612cdf18b1a559454aa3b2b9c94981705c563a,2012-11,Thames Valley Police,Thames Valley Police,-0.587157,51.458800,On or near HARTLEY COPSE,E01016589,Windsor and Maidenhead 016E,Investigation complete; no suspect identified
ddd5f23c3f7012f3758ef8421711dfbf4740a514bead9b1e2df1d742c70e4d16,2012-11,Thames Valley Police,Thames Valley Police,-0.615446,51.475764,On or near OSBORNE ROAD,E01016545,Windsor and Maidenhead 012A,Investigation complete; no suspect identified
e490a8bc7a7aa4fd1ff09b7eb038bd33cafaf52afb09ba7e8aa982004b1881a0,2012-11,Thames Valley Police,Thames Valley Police,-0.745254,51.390262,On or near INCHWOOD,E01016221,Bracknell Forest 011E,Investigation complete; no suspect identified
3245d5a0ba16e00063b4f6e98b8a84cea1b8848798d1f4842920c002e2773832,2012-11,Thames Valley Police,Thames Valley Police,-0.770183,51.420542,On or near FARADAY PLACE,E01016241,Bracknell Forest 004C,Investigation complete; no suspect identified
f0dbbb11b40148053351555f58861458b7839d4532a785cc7496a3266cceb7da,2012-11,Thames Valley Police,Thames Valley Police,-0.765034,51.393844,On or near BYWOOD,E01016219,Bracknell Forest 011C,Investigation complete; no suspect identified
97e83bed0e3e6ac3acc1c336afa76eca16ad0d635e20325046d1f7b0b149fc46,2012-11,Thames Valley Police,Thames Valley Police,-0.770591,51.399406,On or near GREAT HOLLANDS SQUARE,E01016210,Bracknell Forest 009B,Investigation complete; no suspect identified
272b6f1cd68ee03beec59f668c8e8390530b690628c06e05a610f36d0af62e09,2012-11,Thames Valley Police,Thames Valley Police,-0.749346,51.407796,On or near RECTORY CLOSE,E01016233,Bracknell Forest 007B,Investigation complete; no suspect identified
dcff7ba0437ff2a87c1ccafb248d734db6e43daaf91a038378ae461daed752f8,2012-11,Thames Valley Police,Thames Valley Police,-0.616350,51.475397,On or near ALMA ROAD,E01016550,Windsor and Maidenhead 012C,Investigation complete; no suspect identified
da7427deb4ae6410e21d5555a6dde6a0599d5e360bd3c3e7808789f1c96ad76c,2012-11,Thames Valley Police,Thames Valley Police,-0.606945,51.475951,On or near GLOUCESTER PLACE,E01016546,Windsor and Maidenhead 015A,Investigation complete; no suspect identified
