Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
28be48457ca95750e817292a57f8de5698b3a9f4c7c0b599a4d1744a7ac3e12c,2012-11,Lincolnshire Police,Lincolnshire Police,-0.660119,52.901053,On or near KINOULTON COURT,E01026308,South Kesteven 005A,Investigation complete; no suspect identified
6afe49b6b3528462723658de4b9f0a29486b0e9117e58aa528246e1d52c1f26f,2012-11,Lincolnshire Police,Lincolnshire Police,-0.621931,52.923801,On or near MELBOURNE ROAD,E01026327,South Kesteven 003C,Investigation complete; no suspect identified
273557bc5b3f60c3d7a999c572e756797fac490992568aace0dd2afdbcff2250,2012-11,Lincolnshire Police,Lincolnshire Police,-0.590854,52.787659,On or near HONEY POT LANE,E01026331,South Kesteven 009B,Investigation complete; no suspect identified
2e6ecc61e5b8e3342c48a772d425ce75b6127b241487d50ea9022226a6cba439,2012-11,Lincolnshire Police,Lincolnshire Police,-0.664884,52.935142,On or near MARRATTS LANE,E01026340,South Kesteven 002B,Investigation complete; no suspect identified
9fe6dad5b41798112ecd2b4b0a37d91b7c19887812e11f6a6c4684f7e8de9230,2012-11,Lincolnshire Police,Lincolnshire Police,-0.771050,53.394293,On or near HIGH STREET,E01026383,West Lindsey 004E,Investigation complete; no suspect identified
46843821c988b842ba8b7e743467792142cd3c3c73c23bd1e646e3a347c376cf,2012-11,Lincolnshire Police,Lincolnshire Police,0.252527,53.350957,On or near LINKS CLOSE,E01026074,East Lindsey 005C,Investigation complete; no suspect identified
27c2067a556d9350544daf79af0fd2ea0b53f8c40f494e694f359804155e94d5,2012-11,Lincolnshire Police,Lincolnshire Police,-0.000570,53.364259,On or near ASHLEY ROAD,E01026081,East Lindsey 004A,Investigation complete; no suspect identified
d7de29c1295d7c96abd5e61d4c53f9d4cfcc9cc6cee25ed0e9bc8a9cb5672446,2012-11,Lincolnshire Police,Lincolnshire Police,-0.531086,53.228638,On or near CONNINGSBY STREET,E01026126,Lincoln 004D,Investigation complete; no suspect identified
ea75dabb0709bb7755db6c34a8ad1a9faf66adbc6ac171214e6a2b6324bd6092,2012-11,Lincolnshire Police,Lincolnshire Police,-0.609818,53.214561,On or near BAWTRY CLOSE,E01026129,Lincoln 007C,Investigation complete; no suspect identified
b8beaee8c3be59b272e3517cf729893cbd01674bfd7979d4f0e8ccec1e93083c,2012-11,Lincolnshire Police,Lincolnshire Police,-0.553854,53.193155,On or near HEYSHAM CLOSE,E01026137,Lincoln 011A,Investigation complete; no suspect identified
78aa3b5456d3fb67779ce65b8898e2f37a694731f4d37330086a651be9f0286c,2012-11,Lincolnshire Police,Lincolnshire Police,-0.527516,53.103798,On or near THE RISE,E01026195,North Kesteven 006C,Investigation complete; no suspect identified
b5f54d9836ce1845c0d2eaae314a6fc42de5309600c4f2ab15afa7d8294efa63,2012-11,Lincolnshire Police,Lincolnshire Police,-0.408821,53.009017,On or near SUMMERFIELD COURT,E01026230,North Kesteven 010B,Investigation complete; no suspect identified
fd6975d601ffc9d9d7361ca50d41ecca18760cedd894f5517a520e6b8f96914d,2012-11,Lincolnshire Police,Lincolnshire Police,-0.409557,53.001161,On or near CHURCH LANE,E01026235,North Kesteven 010E,Investigation complete; no suspect identified
