Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
62c0e333668394eeadd3f2f1e92b7a56ab0a1fb91056ef943d4179d0b9ea56e0,2014-02,Cumbria Constabulary,Cumbria Constabulary,-3.586852,54.537805,On or near LOW ROAD,E01019292,Copeland 005B,Investigation complete; no suspect identified
0e3bc23a13d9d1c4b49b5eee5320de3c301a84d0c311bcf7cfb7bd9cbc040369,2014-02,Cumbria Constabulary,Cumbria Constabulary,-3.515590,54.517643,On or near BUCKLE AVENUE,E01019267,Copeland 004F,Investigation complete; no suspect identified
6f3a921f168a721084910e79da49667157b7d1ade085d790d1eca221168c8b03,2014-02,Cumbria Constabulary,Cumbria Constabulary,-3.528845,54.482055,On or near BANK LANE,E01019274,Copeland 006D,Investigation complete; no suspect identified
e7205638fa059a5eae62eaf1fed9dbf241f50d3d3dc54ac0c52b5ad0802a785b,2014-02,Cumbria Constabulary,Cumbria Constabulary,-3.260479,54.251793,On or near MILL PARK,E01019293,Copeland 008E,Investigation complete; no suspect identified
d8d2d0d2b0a135a6f7f12df8d3be4d03606ea4424fddb89e6d3583526ebee636,2014-02,Cumbria Constabulary,Cumbria Constabulary,-3.260479,54.251793,On or near MILL PARK,E01019293,Copeland 008E,Investigation complete; no suspect identified
b1c224d163b94ffc33dd2054259ad66ce31bd5fa32c79e0532437d76e5868b29,2014-02,Cumbria Constabulary,Cumbria Constabulary,-3.260479,54.251793,On or near MILL PARK,E01019293,Copeland 008E,Investigation complete; no suspect identified
0a7c071e1451e7e6d04ab27944d5ae041125184d6c81ed0372c8f9af1803d2a8,2014-02,Cumbria Constabulary,Cumbria Constabulary,-3.579303,54.527631,On or near NEWLANDS AVENUE,E01019295,Copeland 005D,Investigation complete; no suspect identified
e3af04c0a93a7b758a818e113958332401a8cf5cfc135c099f5edf71f45fe36d,2014-02,Cumbria Constabulary,Cumbria Constabulary,-3.557786,54.535586,On or near ULLSWATER AVENUE,E01019284,Copeland 003C,Investigation complete; no suspect identified
ad612157931f3951e6e754452f2fbe662e9ec9c3facd5806a018efbfa9de8f1b,2014-02,Cumbria Constabulary,Cumbria Constabulary,-3.590845,54.546283,On or near JAMES STREET,E01019280,Copeland 002B,Investigation complete; no suspect identified
6f89c1e87ed255d3df858833e05486f0e9ad07bb8b4a6ce2066e6eb8c2b7ce28,2014-02,Cumbria Constabulary,Cumbria Constabulary,-3.590845,54.546283,On or near JAMES STREET,E01019280,Copeland 002B,Investigation complete; no suspect identified
