Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
2edb2ff7a8659f4ff432a8d31309981e16663d4b9eaf9b4c1eaab94177ad54e8,2014-02,Norfolk Constabulary,Norfolk Constabulary,1.278865,52.623118,On or near RUTLAND STREET,E01026856,Norwich 011E,Investigation complete; no suspect identified
baef6d970486ff71f75d24c06be317c5b4f57364c8eeccb70325f67cd0c14301,2014-02,Norfolk Constabulary,Norfolk Constabulary,1.294981,52.641494,On or near ALBANY ROAD,E01026846,Norwich 003F,Investigation complete; no suspect identified
9d3540143ea4b0a8cca2bdc8d2851713410e8bfb43590d40110dd32eb8c0438c,2014-02,Norfolk Constabulary,Norfolk Constabulary,0.929472,52.666866,On or near LISBON ROAD,E01026433,Breckland 005E,Investigation complete; no suspect identified
8da34bf465510b827e5053cde59d61a5e5e2e08d5bcd5c1300136e89baad7ecc,2014-02,Norfolk Constabulary,Norfolk Constabulary,1.301948,52.628790,On or near ST VEDAST STREET,E01033438,Norwich 014A,Investigation complete; no suspect identified
64f639e878026476b18ef5020030edf9775b2819358d04b9a7c317c6acfeb2cc,2014-02,Norfolk Constabulary,Norfolk Constabulary,1.300215,52.637571,On or near STEWARD STREET,E01026841,Norwich 003A,Investigation complete; no suspect identified
83bbb4e478dfa2f0c212ca34830beeaa1b928e2c1c7d29dbfc3978113a6dcc57,2014-02,Norfolk Constabulary,Norfolk Constabulary,1.730930,52.603953,On or near ST PETERS' PLAIN,E01026624,Great Yarmouth 006C,Investigation complete; no suspect identified
53e8d475f1ac4340464fe9d47923dc3a767441a41dbb87c7b5676622bbf05701,2014-02,Norfolk Constabulary,Norfolk Constabulary,1.294868,52.630561,On or near ST ANDREWS STREET,E01026823,Norwich 007B,Investigation complete; no suspect identified
9decce12e14b4d31d96f2ee3d0b486fa6b8ad7ea991558fc597e97a3bffdd4b8,2014-02,Norfolk Constabulary,Norfolk Constabulary,0.824068,52.548251,On or near Park/Open Space,E01026491,Breckland 010E,Investigation complete; no suspect identified
2fec6421fd687a91d70f1fa9dd88cdfaba48348f4462daf387f2ecbb893c3bb2,2014-02,Norfolk Constabulary,Norfolk Constabulary,1.275643,52.635178,On or near WEST END STREET,E01026825,Norwich 007D,Investigation complete; no suspect identified
4cc12be6d02f35fe1ebbf0a0e0448cda76dacee29f949900982dfa17dd7b3402,2014-02,Norfolk Constabulary,Norfolk Constabulary,1.237955,52.638265,On or near PETO COURT,E01026793,Norwich 005C,Investigation complete; no suspect identified
91a3ca3c90c5299b595ced72de3935fac3a2a49473a6fba3fafa2dc753c1397a,2014-02,Norfolk Constabulary,Norfolk Constabulary,1.268432,52.655819,On or near SCEPTRE CLOSE,E01026531,Broadland 011B,Investigation complete; no suspect identified
2f8723dc225662c38e0e73c80ad7af366f0d0cd18fb74c908b75f32bd3510e6d,2014-02,Norfolk Constabulary,Norfolk Constabulary,1.248452,52.525153,On or near SAXLINGHAM LANE,E01026942,South Norfolk 009G,Investigation complete; no suspect identified
a7d3936ea09aaefce90b16c9c88b82f9ded09d5edd3851d55c2c33d109b8f765,2014-02,Norfolk Constabulary,Norfolk Constabulary,1.324882,52.633391,On or near NEWBEGIN CLOSE,E01026808,Norwich 004F,Investigation complete; no suspect identified
e66e217be9addef6b4084278b4462d715e847477263566c0103ab54382c55de0,2014-02,Norfolk Constabulary,Norfolk Constabulary,1.119106,52.373355,On or near PURSEHOUSE WAY,E01033541,South Norfolk 015H,Investigation complete; no suspect identified
