Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
61c22a264fd81f224393730c5c25d81d0f56357b13d7d8206994186296391bc3,2014-02,Cheshire Constabulary,Cheshire Constabulary,-2.153030,53.256113,On or near WARDOUR CLOSE,E01018645,Cheshire East 019B,Investigation complete; no suspect identified
6bda9b44514b138eb469769f722d72850b1bfb286c5d4e24b929085aacf87bcd,2014-02,Cheshire Constabulary,Cheshire Constabulary,-2.900222,53.212441,On or near Hospital,E01018377,Cheshire West and Chester 028F,Investigation complete; no suspect identified
9fc1a11685b372fc6dbe9256940309c444f5c0a08602709d0d282ca1227db091,2014-02,Cheshire Constabulary,Cheshire Constabulary,-2.912288,53.261601,On or near BIRCH GROVE,E01018526,Cheshire West and Chester 016A,Investigation complete; no suspect identified
c692f3e531c749fdbbae0151a2af0c5612fd0afb6afb1b3ad938626e843b26f6,2014-02,Cheshire Constabulary,Cheshire Constabulary,-2.463644,53.270438,On or near SMITHY LANE,E01018706,Cheshire West and Chester 017C,Investigation complete; no suspect identified
fd815209bc890addaf88b4a5652fc6646362cdf04b3ed176a2dfc2a4328b456a,2014-02,Cheshire Constabulary,Cheshire Constabulary,-2.760330,53.361914,On or near MCKEAGNEY GARDENS,E01012443,Halton 008D,Investigation complete; no suspect identified
7c0ea4171620ea986807cb2d3f940dc5294d31df5882acd72b756b70656b534f,2014-02,Cheshire Constabulary,Cheshire Constabulary,-2.147638,53.248633,On or near TARN MOUNT,E01018634,Cheshire East 019A,Investigation complete; no suspect identified
1f6ea4938ff560c5b5132cd7a055a8e0b1d80701f2c1ebb0d0b79d9332df4a11,2014-02,Cheshire Constabulary,Cheshire Constabulary,-2.460951,53.378250,On or near OUGHTRINGTON LANE,E01012514,Warrington 021B,Investigation complete; no suspect identified
39d680c0b7c08fe5dcef62b5d9d182ce5f431ffe8bc563c75feb3ff63c06f5ee,2014-02,Cheshire Constabulary,Cheshire Constabulary,-2.476888,53.088772,On or near FIELD LANE,E01018511,Cheshire East 044B,Investigation complete; no suspect identified
7ed3f005c45babb26e1993fa2787aaf05d072ffa25ef62333289e437dcf8ddab,2014-02,Cheshire Constabulary,Cheshire Constabulary,-2.870812,53.199922,On or near PANTON ROAD,E01018344,Cheshire West and Chester 036B,Investigation complete; no suspect identified
bd4a7962c31f2f1d09fea6305b5b23f1a041c053c53adfe1ede675f84b43e16d,2014-02,Cheshire Constabulary,Cheshire Constabulary,-2.455608,53.101234,On or near GODDARD STREET,E01018466,Cheshire East 036D,Investigation complete; no suspect identified
c317370849b786a30e63b24f963c8d2f8dba4e17421d923d50546f78640dfbb9,2014-02,Cheshire Constabulary,Cheshire Constabulary,-2.479273,53.099190,On or near MALBANK ROAD,E01018482,Cheshire East 037A,Investigation complete; no suspect identified
64a6444c0ff14629b60e593a7984678e6cda861c782cd074a6414886d39449b6,2014-02,Cheshire Constabulary,Cheshire Constabulary,-2.732354,53.361235,On or near MARKET STREET,E01012441,Halton 007D,Investigation complete; no suspect identified
f839de29525aa821be704479a5438979c658f527fe24543f16d11e50cb83a457,2014-02,Cheshire Constabulary,Cheshire Constabulary,-2.451607,53.045786,On or near KILN LANE,E01018516,Cheshire East 049D,Investigation complete; no suspect identified
75a0f4d959e67c107957757890c40227bd25f1e4838788061394efd70c31bfcd,2014-02,Cheshire Constabulary,Cheshire Constabulary,-2.883743,53.271740,On or near LUDLOW DRIVE,E01018550,Cheshire West and Chester 011B,Investigation complete; no suspect identified
dbe3d03c9f1102627e030c8ac7521e345f34f74de54bf5ee29dd2bdaacd57f5e,2014-02,Cheshire Constabulary,Cheshire Constabulary,-2.892408,53.270219,On or near HARLECH WAY,E01018553,Cheshire West and Chester 011E,Investigation complete; no suspect identified
9d5f99e135b4db54d110f2ed40c5ff65282b58826ea7f34e2ac8b54250f6cbfb,2014-02,Cheshire Constabulary,Cheshire Constabulary,-2.708433,53.339563,On or near SEA LANE,E01012404,Halton 011D,Investigation complete; no suspect identified
5b8659d07d11d348082c779bebad9fa66c5a3470cd1b861abd093e45f642c142,2014-02,Cheshire Constabulary,Cheshire Constabulary,-2.732476,53.371895,On or near BIRCHFIELD ROAD,E01012426,Halton 005D,Investigation complete; no suspect identified
ab3860fb83f55fcfb72a18494f353bb902126f7263516fc3c6540a28822ce693,2014-02,Cheshire Constabulary,Cheshire Constabulary,-2.161376,53.259302,On or near A537,E01018647,Cheshire East 019D,Investigation complete; no suspect identified
94898164285a2c89649ea35b831b2281335b2c809a75bc889cb6d15644d53c98,2014-02,Cheshire Constabulary,Cheshire Constabulary,-2.678275,53.337653,On or near GREENBRIDGE ROAD,E01012444,Halton 010D,Investigation complete; no suspect identified
85961e040189f4cf5f4ca02df497ecb9fa867aeee65a63ddfb964695bbc5038c,2014-02,Cheshire Constabulary,Cheshire Constabulary,-2.213404,53.330618,On or near THISTLEWOOD DRIVE,E01018584,Cheshire East 005B,Investigation complete; no suspect identified
21a2bdd42598b2f7efed21f574dd4b8979d512d3e832fb52aff4f285f06d40b7,2014-02,Cheshire Constabulary,Cheshire Constabulary,-2.912698,53.208337,On or near WORDSWORTH CRESCENT,E01018310,Cheshire West and Chester 029B,Investigation complete; no suspect identified
