Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
f9638e392ed78bd3a89bf45c93e80ad743e0d3b6ece420016ae8be793b962e96,2014-02,Kent Police,Kent Police,,,No location,,,Suspect charged
f27e64757d91133de0ee1f217db4d2dc29be96e2221f26e029f923fd33d489f2,2014-02,Kent Police,Kent Police,1.270864,51.197927,On or near GREEN LANE,E01024205,Dover 008C,Investigation complete; no suspect identified
075f46be3d9238eb4fac33f51e11f6c600d51a46bcbeffa3c762a079dfd69926,2014-02,Kent Police,Kent Police,1.289289,51.149088,On or near MANSION GARDENS,E01024254,Dover 010E,Investigation complete; no suspect identified
2f6b68c97d386b44fc84fadda7aa91c3dffa3b5e9af80afb3350925529d0ea2b,2014-02,Kent Police,Kent Police,1.441751,51.358193,On or near CHARLOTTE STREET,E01024705,Thanet 010B,Investigation complete; no suspect identified
f83644408a0f11ea6d66615d238475b7008b5801ba48b021ed6afad94e4e1e4a,2014-02,Kent Police,Kent Police,1.180815,51.083207,On or near MOUNT PLEASANT ROAD,E01024507,Shepway 014B,Investigation complete; no suspect identified
d632f6db14e15ddacad6414533f2ee3354772ecc0102718fad764c358ae8f661,2014-02,Kent Police,Kent Police,1.393083,51.381805,On or near WHARFEDALE ROAD,E01024664,Thanet 004B,Investigation complete; no suspect identified
b9ebab4c867129870c3d5afc6e7567c058e131c0c9c8736f6a5a8ffa04e1a0ae,2014-02,Kent Police,Kent Police,1.311927,51.126707,On or near Shopping Area,E01033211,Dover 012F,Investigation complete; no suspect identified
a0f75848b282b2f5498ac0fff454fb8011b7467d5fecc30fb3e02682cbc9def5,2014-02,Kent Police,Kent Police,1.417078,51.335564,On or near CHURCH HILL,E01024670,Thanet 015D,Investigation complete; no suspect identified
cd9ff30fec0629d42e2d60a8918fc9fb375d6f13032ab70e04811c110fbb2dde,2014-02,Kent Police,Kent Police,1.315457,51.128892,On or near TASWELL STREET,E01033209,Dover 012E,Investigation complete; no suspect identified
fe7cc2842c5a54f3ac3d68c91a2e97ce1c311acd48d1b941835418bab46dd33a,2014-02,Kent Police,Kent Police,1.315457,51.128892,On or near TASWELL STREET,E01033209,Dover 012E,Investigation complete; no suspect identified
c32e66052e626a72fefef646bf18fb008249f9a5ef749d8664ef63a2ff9567d0,2014-02,Kent Police,Kent Police,1.345237,51.272101,On or near MANWOOD ROAD,E01024242,Dover 002B,Investigation complete; no suspect identified
7b7d80f24adf99efc88e2cadf59d0e822064b89d4442a3559ddff5f120157b0a,2014-02,Kent Police,Kent Police,1.101135,51.275122,On or near DISCOVERY WALK,E01024049,Canterbury 014B,Investigation complete; no suspect identified
292e87e75a5966431a52b06c6267d6e83e78de37ed975f6e1a50d68325fdfcad,2014-02,Kent Police,Kent Police,1.435877,51.356107,On or near INVERNESS TERRACE,E01024707,Thanet 010D,Investigation complete; no suspect identified
3c91c5679fc2bf9c5a19667d74c94f116487da45746c554ba9bc96a2638af77d,2014-02,Kent Police,Kent Police,1.435877,51.356107,On or near INVERNESS TERRACE,E01024707,Thanet 010D,Investigation complete; no suspect identified
3c82ecfb5ace6337253635341a039aa6684525c1d0e412236d9d957a707be1d0,2014-02,Kent Police,Kent Police,1.310798,51.121720,On or near SNARGATE STREET,E01024249,Dover 013E,Investigation complete; no suspect identified
a76afa7f58730c0d8d5b2ea91e9dbc0af49248365b5f6113a4c6ecf6a5cf4c80,2014-02,Kent Police,Kent Police,1.423883,51.385594,On or near STOCKBURY GARDENS,E01024654,Thanet 002B,Investigation complete; no suspect identified
0ad825c709b0c4f7d68421e2e176d3d9c1b31877781c6b140161ddd996b9f268,2014-02,Kent Police,Kent Police,1.311329,51.265807,On or near THE STREET,E01024245,Dover 002E,Investigation complete; no suspect identified
fa7877ef344b3a0a5d32c5aded8e9da298bd91f4c617bb814c257fc3b18d2817,2014-02,Kent Police,Kent Police,0.872507,51.156801,On or near PENNINE WAY,E01024022,Ashford 004H,Investigation complete; no suspect identified
d9c0f8b2fa76d9c0ec03ff9076a23186091717ac1de0422aa2366592bab818b1,2014-02,Kent Police,Kent Police,1.403769,51.386532,On or near Supermarket,E01024656,Thanet 002D,Investigation complete; no suspect identified
4d3ead31b95303801c8161f3caab4b5ff3e4d21330094a16a87c5c8a430dac27,2014-02,Kent Police,Kent Police,1.301133,51.123289,On or near CLARENDON STREET,E01024214,Dover 013A,Investigation complete; no suspect identified
bb2d53684f3dcc8b4fd923ad74ba7ce8dd9ebcf8b52e3bf17600b5492ef25e2a,2014-02,Kent Police,Kent Police,1.409816,51.334067,On or near CRESCENT ROAD,E01024648,Thanet 016B,Investigation complete; no suspect identified
84f06fa937f9fb11df791a57eeaabd8eb0872aee6a5daa870bf323ef8509676e,2014-02,Kent Police,Kent Police,1.294232,51.128746,On or near NORTHBOURNE AVENUE,E01024248,Dover 011H,Investigation complete; no suspect identified
d64307f6c15786cd6137e0288c0120ccd3b901b1399725c735bc2d51b82b34fa,2014-02,Kent Police,Kent Police,1.402725,51.229775,On or near BRIDGE ROAD,E01024230,Dover 004B,Investigation complete; no suspect identified
0fffb32fe51d618256a3f91ec1510b89ea9fc7e19454550d6dae58192ed905eb,2014-02,Kent Police,Kent Police,1.279770,51.131842,On or near Parking Area,E01024240,Dover 011F,Investigation complete; no suspect identified
