Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
a502acab565baf4a7b4147e129aaaa27c93e253d2655a9651699948ba5f77100,2014-02,Surrey Police,Surrey Police,-0.447158,51.219602,On or near STATION ROAD,E01030491,Guildford 018B,Investigation complete; no suspect identified
4f0dd51d43a774d8ba44d06ed3f5bed8bddf2d29fb95626e222c75f9ed630377,2014-02,Surrey Police,Surrey Police,-0.568920,51.207468,On or near SOMERSWEY,E01030480,Guildford 017E,Investigation complete; no suspect identified
1ffc9e4d7beb7348eef4cf80e18fa9166d3c262fa2bc9037db14307b9fb6165c,2014-02,Surrey Police,Surrey Police,-0.727344,51.270014,On or near AVONDALE,E01030429,Guildford 004D,Investigation complete; no suspect identified
e4af23968172b1e39066ca09e073a21b209c226221d9f992a0ef83cb2f1beb5c,2014-02,Surrey Police,Surrey Police,-0.727664,51.270872,On or near WELLESLEY CLOSE,E01030429,Guildford 004D,Investigation complete; no suspect identified
461c0d57e3f041fd026ba1b62279435ce7dc2902c385514c5db0691009001e0c,2014-02,Surrey Police,Surrey Police,-0.724622,51.249257,On or near LONGACRE,E01030433,Guildford 010D,Investigation complete; no suspect identified
24ce1105a6d24e243bcd880e50d29329e41b75a945b1936ab2870aba743cfa84,2014-02,Surrey Police,Surrey Police,-0.733956,51.238577,On or near PHILLIPS CLOSE,E01030422,Guildford 014B,Investigation complete; no suspect identified
0fa00a76166e59f8243a16117d3d098e9b6d5134cfaea8235079d3aff7b35504,2014-02,Surrey Police,Surrey Police,-0.730230,51.239166,On or near YEOMANS CLOSE,E01030422,Guildford 014B,Investigation complete; no suspect identified
f51811a917512a9757f3806cb691c89f945bf30c34fe19f14c81ddfa61c8f64e,2014-02,Surrey Police,Surrey Police,-0.637456,51.201425,On or near HURTMORE ROAD,E01030478,Guildford 017C,Investigation complete; no suspect identified
51174c9c6a6565f89803c3b05f26f43cb88cedbf9ad43e356ebf72ad78d167f0,2014-02,Surrey Police,Surrey Police,-0.576676,51.236824,On or near Shopping Area,E01030452,Guildford 015A,Investigation complete; no suspect identified
07ac74208b2695a9fe40cbeb5ea7ee59ef512ae2bbccb7a871655a3cdf056510,2014-02,Surrey Police,Surrey Police,-0.680680,51.255137,On or near GUILDFORD ROAD,E01030465,Guildford 002A,Investigation complete; no suspect identified
aa2c09b8c8762326ad05b675612c236bfc10e7668fed0db3e1bc5725dd456f8a,2014-02,Surrey Police,Surrey Police,-0.656140,51.257322,On or near SANDY LANE,E01030466,Guildford 002B,Investigation complete; no suspect identified
5cac09c7634ea0954bd7cb4415b722489f992e059979aa4487636868a6c1dc1d,2014-02,Surrey Police,Surrey Police,-0.655024,51.295050,On or near THOMPSONS CLOSE,E01030473,Guildford 002C,Investigation complete; no suspect identified
a319fc57ade5fb89cbf05affe42949a964ecbefcf1f62c3b5bed1e43f33248b0,2014-02,Surrey Police,Surrey Police,-0.630597,51.248807,On or near BAIRD DRIVE,E01030503,Guildford 005E,Investigation complete; no suspect identified
199eed0f8b8067f1f44401f0af9b6010995112a1670cba598c748090b1bbe2aa,2014-02,Surrey Police,Surrey Police,-0.415120,51.266843,On or near CALVERT ROAD,E01030446,Guildford 003F,Investigation complete; no suspect identified
9910358ebb1ceb83c877d7f2e59a19189a23b41eeaa918cf66bd3da7417d85bd,2014-02,Surrey Police,Surrey Police,-0.427267,51.265424,On or near Conference/Exhibition Centre,E01030442,Guildford 003B,Investigation complete; no suspect identified
