Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
c439fe48c1814596f6564ebc85eea77a0c4b84cbc1036670b79adb4fba6feba1,2013-07,Dorset Police,Dorset Police,,,No location,,,Suspect charged
e1f3b60adc4d1d1b62bbcfd3c4ec355e438e0a5533fb9b1d4bb6e62375edd3ee,2013-07,Dorset Police,Dorset Police,-2.087209,50.720339,On or near FIR AVENUE,E01020476,Purbeck 003A,Investigation complete; no suspect identified
0b4382ff78b0cdd9a0f08e70f766132c4560c080b6a8edab7b6bdc92a2776b3b,2013-07,Dorset Police,Dorset Police,-2.408031,50.836984,On or near Park/Open Space,E01020539,West Dorset 004D,Investigation complete; no suspect identified
a4842534bf59f5c139eed0b3322d708f39dbcc6fe1296e474ee1630236544fce,2013-07,Dorset Police,Dorset Police,-2.435964,50.546947,On or near EASTON STREET,E01020562,Weymouth and Portland 009A,Investigation complete; no suspect identified
ba62c933980ad03b36a4f09ccf4b9deeec8a9ea7b46ab20f0f3ab5dadfc6d6d4,2013-07,Dorset Police,Dorset Police,-2.159188,50.704516,On or near Park/Open Space,E01020476,Purbeck 003A,Investigation complete; no suspect identified
94c9911c03e92eb897f088ca26fe7fcf44edcedd0c3b597bc9b62b3e26126366,2013-07,Dorset Police,Dorset Police,-1.833595,50.837553,On or near ASHLEY DRIVE SOUTH,E01020405,East Dorset 004C,Investigation complete; no suspect identified
e675813cbde084a0a8509a7df23306b224132c5e284082661876146bc22b0fad,2013-07,Dorset Police,Dorset Police,-2.511309,50.947984,On or near LONG STREET,E01020544,West Dorset 001C,Investigation complete; no suspect identified
f4111e61461fa54e5ff6a8ee508b5f59dd5fab5137f847f5d6343fd295232329,2013-07,Dorset Police,Dorset Police,-1.977506,50.608167,On or near MARSH WAY,E01020483,Purbeck 006F,Investigation complete; no suspect identified
209f5a2e47393a1b3c1e079048c133d89bb9458452607669df2a79d9e60b4cba,2013-07,Dorset Police,Dorset Police,-2.452577,50.608827,On or near ST ALBAN STREET,E01020554,Weymouth and Portland 004B,Investigation complete; no suspect identified
608594b9c77f05ba3282f0b04ddca14cff04d1b4e1a516d1d1df48a13b480dcf,2013-07,Dorset Police,Dorset Police,-2.517851,50.957667,On or near STONEDENE,E01020543,West Dorset 001B,Investigation complete; no suspect identified
86d26f822c1359d72ca0ab2c222c662bcb2836a34fd49f694ee71cfcce6b8580,2013-07,Dorset Police,Dorset Police,-2.468324,50.712955,On or near HERMITAGE COURT,E01032641,West Dorset 009F,Investigation complete; no suspect identified
18d0692453ad634598cce4586b97186918fa2f453b5bc8ec6807494ab3ddee29,2013-07,Dorset Police,Dorset Police,-1.887684,50.850809,On or near GREYCOT CLOSE,E01020411,East Dorset 003A,Investigation complete; no suspect identified
5ff5c642b3bed91280b60898544a1f42cce1dd95a034090cad0d15a653abad14,2013-07,Dorset Police,Dorset Police,-1.756708,50.742025,On or near HILLARY ROAD,E01020348,Christchurch 005C,Investigation complete; no suspect identified
