Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
27a1021b6ab363cd4b4c76c4bf59428e223d9484fc5bbb50545b4c663bef91a2,2013-07,Essex Police,Essex Police,0.907864,51.726119,On or near BUCKERIDGE WAY,E01021907,Maldon 006E,Investigation complete; no suspect identified
a613837053af10303c806298aa2a3e0dfebdab292c91bc77d0d64029ee04e022,2013-07,Essex Police,Essex Police,0.189821,51.702672,On or near MILL LANE,E01021800,Epping Forest 003C,Investigation complete; no suspect identified
e72008d76be9ab77a3f63b2b40fb39facb34c6b983bda7ece95e2dad5f0e59da,2013-07,Essex Police,Essex Police,0.283224,51.475413,On or near FLINT STREET,E01016012,Thurrock 015C,Investigation complete; no suspect identified
13598451fd60d8d0048f7f1bd6324260b607357b7f5f98cbf230f5b7114f2fa5,2013-07,Essex Police,Essex Police,0.362115,51.871779,On or near Parking Area,E01022069,Uttlesford 008D,Investigation complete; no suspect identified
3975fb1dcaf8e7d918eab6fafcff2d6e90b4e5047fb6b10679f23fcf6250136e,2013-07,Essex Police,Essex Police,0.107435,51.695968,On or near HALF MOON LANE,E01021757,Epping Forest 006B,Investigation complete; no suspect identified
e73f781aa2872e1929c43c20f1d1180b068a1d1476dfe0b41a77707fa5645202,2013-07,Essex Police,Essex Police,1.152103,51.794810,On or near WELLESLEY ROAD,E01022043,Tendring 014B,Investigation complete; no suspect identified
90a668b1232dacb408e1e460bc0aa073fd483a98eff55aa6b946140987da8d1b,2013-07,Essex Police,Essex Police,0.316688,51.493525,On or near BRANDON CLOSE,E01015939,Thurrock 020A,Investigation complete; no suspect identified
60c9b704de82593ac1fd7fced060aac6ab2788c888dbfd6070ff12713794f561,2013-07,Essex Police,Essex Police,0.465367,51.525270,On or near HERD LANE,E01015945,Thurrock 002A,Investigation complete; no suspect identified
6b6b63fd9d0d275bef3bf70ffdb7e7a96d5a087f09fe84c6a8a0187f93663a63,2013-07,Essex Police,Essex Police,0.946975,51.922296,On or near CROWN LANE NORTH,E01021971,Tendring 005A,Investigation complete; no suspect identified
86b28d1124d0f7ad6f1ebc68c75affb82d967925e737e9774b07a7742bbc5423,2013-07,Essex Police,Essex Police,0.783196,51.534390,On or near BRIDGE CLOSE,E01015915,Southend-on-Sea 017B,Investigation complete; no suspect identified
f6e58b1c59fa71968fde3fe9ebdf8bf222b1b132832b6b67d7eeca25e37f515e,2013-07,Essex Police,Essex Police,0.678375,51.731127,On or near CHEQUERS LANE,E01021890,Maldon 004B,Investigation complete; no suspect identified
73936649900dce14caf063ed2e49b7761f19a2c55f001d7ea290c210256fa4a1,2013-07,Essex Police,Essex Police,0.264910,51.489437,On or near Sports/Recreation Area,E01016012,Thurrock 015C,Investigation complete; no suspect identified
f8497201d326215c00da98a08ac86929fe076b50b27b88fa932a4bebb2255d8a,2013-07,Essex Police,Essex Police,0.247561,51.493746,On or near CLARE COURT,E01015925,Thurrock 008D,Investigation complete; no suspect identified
eca0103ef74bc5929d773ebb765b76f92b3c8163f81bbff2fc81b4664f6c5d9b,2013-07,Essex Police,Essex Police,0.282805,51.516609,On or near LITTLE BELHUS CLOSE,E01015973,Thurrock 006D,Investigation complete; no suspect identified
ab953d94f181e7b9d7519ce06b5ebc853b8e7b3c3f3efb67b732494d6d0b6be4,2013-07,Essex Police,Essex Police,0.684702,51.545167,On or near LONDON ROAD,E01015832,Southend-on-Sea 012F,Investigation complete; no suspect identified
b2576d6f7eb4b50b27a02994f2418f98a4f6fcd6b27a509ad794936447a527c6,2013-07,Essex Police,Essex Police,0.823664,51.660811,On or near LAVENDER DRIVE,E01021904,Maldon 006B,Investigation complete; no suspect identified
e36868dd59882e3415c17d8dfb1a279dfa32f5bd31408eb1fdea010826c1fe4f,2013-07,Essex Police,Essex Police,0.916151,51.885012,On or near BARRACK STREET,E01021687,Colchester 011E,Investigation complete; no suspect identified
187678add4120ad55fc39caa87202dad61ddc538341e80b0231a2083f241d1f2,2013-07,Essex Police,Essex Police,0.548841,51.892854,On or near CAMBERTON ROAD,E01021354,Braintree 008A,Investigation complete; no suspect identified
3cc52a0aa005c5573e6291c52b1efc55058206692e407fb26d53d41e7c165a52,2013-07,Essex Police,Essex Police,0.109372,51.693748,On or near BROADOAKS,E01021758,Epping Forest 006C,Investigation complete; no suspect identified
76edd58683bf865f79932169674fedd5fd707eb0accb17ac46348096e1ad6a2a,2013-07,Essex Police,Essex Police,0.925623,51.890326,On or near WEGGS WILLOW,E01021706,Colchester 022H,Investigation complete; no suspect identified
5eeaf519645bb249d24dc1e9f04434a73ee31d4bd4540785a6c2072303073ce5,2013-07,Essex Police,Essex Police,0.603720,51.592024,On or near BIRCH CLOSE,E01021925,Rochford 005C,Investigation complete; no suspect identified
