Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
58938e1f387c3ecf37212914bb57f5deebf5d3f7f007f15f0f28f8670225e2a4,2013-07,Greater Manchester Police,Greater Manchester Police,-2.244773,53.417451,On or near SAMLESBURY CLOSE,E01005173,Manchester 043B,Investigation complete; no suspect identified
75df0533b68719820f7ec58e9defd22d3d0c9c833c9db724c54a0c4422c845b9,2013-07,Greater Manchester Police,Greater Manchester Police,-2.236001,53.417396,On or near EVERSLEY ROAD,E01005173,Manchester 043B,Investigation complete; no suspect identified
17696cfe0cdfc950a6b08261fa3c27a7bf5cda9b1030fa349f4548cb8a962fec,2013-07,Greater Manchester Police,Greater Manchester Police,-2.230141,53.415970,On or near ELM GROVE,E01005176,Manchester 043E,Investigation complete; no suspect identified
d104931108a0b64a04d9f1fb1def79a98b6d8e4b1a3e43ee1a583c63229b7cac,2013-07,Greater Manchester Police,Greater Manchester Police,-2.278001,53.388489,On or near BALMER DRIVE,E01005074,Manchester 051C,Investigation complete; no suspect identified
c9c5edd4bab1f66613afef87375000bc50a016215264abf00f19a25abdf07fca,2013-07,Greater Manchester Police,Greater Manchester Police,-2.226542,53.412588,On or near WELTON AVENUE,E01005168,Manchester 045B,Investigation complete; no suspect identified
b7381f8c2063e1a2780097c0fdcad77f030b332d0d9c39a95f53d18370900111,2013-07,Greater Manchester Police,Greater Manchester Police,-2.207085,53.436452,On or near TALBOT ROAD,E01005118,Manchester 034A,Investigation complete; no suspect identified
0c716a8975d0fa72db3dc59dbf73b3565089a47e2ea14e714a033634ff04a610,2013-07,Greater Manchester Police,Greater Manchester Police,-2.226814,53.455265,On or near OUNDLE CLOSE,E01005288,Manchester 025E,Investigation complete; no suspect identified
f375ed1be06b5cc275819ce1f3173b5decb9d0b8d688c6b2184534a5e1011921,2013-07,Greater Manchester Police,Greater Manchester Police,-2.199402,53.457543,On or near Shopping Area,E01005232,Manchester 020C,Investigation complete; no suspect identified
cf06728163fc7012a0d76b283b50afac43c7328587b8be816cc41e4f664f5db8,2013-07,Greater Manchester Police,Greater Manchester Police,-2.307150,53.398098,On or near ALBERBURY AVENUE,E01005069,Manchester 047A,Investigation complete; no suspect identified
cc8d0dd73102a78bdd4f74b929cf1bb10f9579820f723437796bd374fe904534,2013-07,Greater Manchester Police,Greater Manchester Police,-2.219269,53.431864,On or near ASHDENE ROAD,E01005305,Manchester 036A,Investigation complete; no suspect identified
9c2b061d353d239d2605ff016f2b40fd23226c7138cdcff2833a3274e889a7f7,2013-07,Greater Manchester Police,Greater Manchester Police,-2.223214,53.472224,On or near BILLING AVENUE,E01005065,Manchester 018D,Investigation complete; no suspect identified
832bb48796fca82203d1ae872cdbf5757b1e01b5540beff345c4e0007056872f,2013-07,Greater Manchester Police,Greater Manchester Police,-2.256170,53.408555,On or near BRETT STREET,E01005268,Manchester 046C,Investigation complete; no suspect identified
23c72c9490ed5467a7fb645f1b94ae45cf9e2b51dac612f5f9f2f2aad4b218cc,2013-07,Greater Manchester Police,Greater Manchester Police,-2.273324,53.376554,On or near DEVOKE ROAD,E01005316,Manchester 053D,Investigation complete; no suspect identified
c6a49df351e92ecd4c197581bc8bb244f8a3106a72c0a05806b3d87246e6e289,2013-07,Greater Manchester Police,Greater Manchester Police,-2.252158,53.376375,On or near LITHERLAND AVENUE,E01005293,Manchester 052C,Investigation complete; no suspect identified
add669672b73321e1adfe7a2e7c18253e3e0cde34e8b315818e254cc109c78cb,2013-07,Greater Manchester Police,Greater Manchester Police,-2.210606,53.436158,On or near SENIOR AVENUE,E01005311,Manchester 036D,Investigation complete; no suspect identified
a9e8b8205bd0fad93590b5e512c2eeb871a48e42770a0bdc6ffeb90f44df96b3,2013-07,Greater Manchester Police,Greater Manchester Police,-2.232346,53.414770,On or near WILMSLOW ROAD,E01005177,Manchester 043F,Investigation complete; no suspect identified
1f4846e91dd02bac7ff0e568a0dabae6d3d688daf798780d3b3797163274b9ca,2013-07,Greater Manchester Police,Greater Manchester Police,-2.290482,53.401897,On or near Sports/Recreation Area,E01005117,Manchester 048E,Investigation complete; no suspect identified
b2a8b03aff11c09497f7bd59a233f983fbc0de6644e8637235c5afac3ecd3c38,2013-07,Greater Manchester Police,Greater Manchester Police,-2.239376,53.369993,On or near IRVIN DRIVE,E01005317,Manchester 052E,Investigation complete; no suspect identified
3c80c86439ff2967cf01c42e819f15793e345cc91a4559b44b0051ec7d1f0546,2013-07,Greater Manchester Police,Greater Manchester Police,-2.277697,53.445603,On or near Petrol Station,E01005159,Manchester 029D,Investigation complete; no suspect identified
2f7c1b562c4146e1ee5baafa7554ceb250649dc4cec4112ca438dc0866dc8f37,2013-07,Greater Manchester Police,Greater Manchester Police,-2.230963,53.417865,On or near WARBURTON STREET,E01005176,Manchester 043E,Investigation complete; no suspect identified
141a709bb4caa6e68b19a7926c5621757d1e753f8977eef82ca98a9c5e15c5b1,2013-07,Greater Manchester Police,Greater Manchester Police,-2.252723,53.448768,On or near DEMESNE ROAD,E01005179,Manchester 030B,Investigation complete; no suspect identified
d762423dd18b065c1d64723251bf7bccf354e92b886774ce802e605549552afd,2013-07,Greater Manchester Police,Greater Manchester Police,-2.276646,53.376546,On or near LIVINGSTON AVENUE,E01005316,Manchester 053D,Investigation complete; no suspect identified
ff1a61944b64ae2b3b07cdc75d98c9062738e248fc3239130b662feb4b47b915,2013-07,Greater Manchester Police,Greater Manchester Police,-2.190299,53.435887,On or near Sports/Recreation Area,E01005216,Manchester 034D,Investigation complete; no suspect identified
f639e54822febcc0c14d79745e96c6c16e4fff3b11c77036d63497f4cb44512d,2013-07,Greater Manchester Police,Greater Manchester Police,-2.190942,53.454995,On or near PATEY STREET,E01005233,Manchester 027D,Investigation complete; no suspect identified
9cfef93dab49c62e298117dca5b3b8f5fdd3f176599fa9b3186cdbdc54ead784,2013-07,Greater Manchester Police,Greater Manchester Police,-2.260823,53.401965,On or near CROMBIE AVENUE,E01005269,Manchester 046D,Investigation complete; no suspect identified
7de456fef2b0c09b57cc75c5214aaa01d68d9f51ccb42d58aa1a5aa20e48b9e2,2013-07,Greater Manchester Police,Greater Manchester Police,-2.256908,53.381354,On or near CRAWLEY AVENUE,E01005291,Manchester 050E,Investigation complete; no suspect identified
c6c71966c9898b427af1d577e7f67fc9a1c1ac07e71f0edcfc2e579ea8b5cbc3,2013-07,Greater Manchester Police,Greater Manchester Police,-2.219696,53.429886,On or near STEPHENS ROAD,E01005308,Manchester 040E,Investigation complete; no suspect identified
bb1888ae54993047233fed4009690f838dd7ae46742711b95edb24ea57c9c8c6,2013-07,Greater Manchester Police,Greater Manchester Police,-2.273992,53.412713,On or near RAYMOND ROAD,E01005264,Manchester 044C,Investigation complete; no suspect identified
3b19a33619665af47887ed1c53158f58f4ec8a339562b2beef382a39dbf925f1,2013-07,Greater Manchester Police,Greater Manchester Police,-2.288395,53.442386,On or near EDGE LANE,E01005151,Manchester 029B,Investigation complete; no suspect identified
9b827c4d33a86437a36b4c5305d12ef684e38cb00db8ea6f3af2af64094036c7,2013-07,Greater Manchester Police,Greater Manchester Police,-2.248933,53.462466,On or near BOSTON STREET,E01005208,Manchester 019A,Investigation complete; no suspect identified
77237e61857819f13d95994a878395dcf314bde6bf341a1c6c84de9531d7c22d,2013-07,Greater Manchester Police,Greater Manchester Police,-2.276802,53.407601,On or near THE PINES,E01005265,Manchester 044D,Investigation complete; no suspect identified
11139fb6e4b19d1c9c04f8b4f83e0ac90db53b1af27b0d98bea15060a85ec31c,2013-07,Greater Manchester Police,Greater Manchester Police,-2.257511,53.421496,On or near ROSEGARTH AVENUE,E01005079,Manchester 042C,Investigation complete; no suspect identified
d50eb99d5fbba48d58f0b8816867f3d9122fd283fd238ba1a45a38dd61b06909,2013-07,Greater Manchester Police,Greater Manchester Police,-2.226173,53.411079,On or near WINGATE DRIVE,E01005168,Manchester 045B,Investigation complete; no suspect identified
e63a3b47cc35c6098a07b828b73d4910c1a98ce7f16a21762d43b00fbc8c93c8,2013-07,Greater Manchester Police,Greater Manchester Police,-2.292319,53.402126,On or near BIDEFORD DRIVE,E01005117,Manchester 048E,Investigation complete; no suspect identified
8c449194c7b3de90132681077367c9bf447ff5f60a7520adcd3a2f64b3ac298b,2013-07,Greater Manchester Police,Greater Manchester Police,-2.209313,53.454830,On or near WILLESDEN AVENUE,E01005236,Manchester 022D,Investigation complete; no suspect identified
e41c0a646399ddfe425cd897958fd8f77c350d21f32eb19edc883f786a31c1b4,2013-07,Greater Manchester Police,Greater Manchester Police,-2.255784,53.371837,On or near PENDEEN CLOSE,E01005317,Manchester 052E,Investigation complete; no suspect identified
eaf328eafa3584d4a9057324e1d4a7398fabff560b6e4f798f4df19da0d71407,2013-07,Greater Manchester Police,Greater Manchester Police,-2.220938,53.437353,On or near MITFORD ROAD,E01005309,Manchester 036B,Investigation complete; no suspect identified
b49b21f961e12060ae062893db6b7a6ed348c20efd71298ae304a8b74cbbc584,2013-07,Greater Manchester Police,Greater Manchester Police,-2.199909,53.450019,On or near REYNELL ROAD,E01005238,Manchester 027F,Investigation complete; no suspect identified
db172479d1c0a5331dc8d09556579abfe7e6417a8891c20537eeb20a364cb3c1,2013-07,Greater Manchester Police,Greater Manchester Police,-2.230613,53.450404,On or near BOSCOMBE STREET,E01005241,Manchester 025A,Investigation complete; no suspect identified
79332d8833ab594becd5ab46627964270cda9e28a7c0b29de752086a96d3f56f,2013-07,Greater Manchester Police,Greater Manchester Police,-2.253214,53.440291,On or near CAISTOR CLOSE,E01005181,Manchester 030D,Investigation complete; no suspect identified
690fab1173a8c0e1bc920e52d546e4724f478fe8d1ff895afb50f6c7d7ae1615,2013-07,Greater Manchester Police,Greater Manchester Police,-2.216010,53.456813,On or near HOPE ROAD,E01005231,Manchester 022C,Investigation complete; no suspect identified
25a5fa5763b2c9c801748d41e0d029d9b83539032229c7fee4bc8b9481ecba47,2013-07,Greater Manchester Police,Greater Manchester Police,-2.236824,53.419282,On or near BARLOW MOOR ROAD,E01005172,Manchester 043A,Investigation complete; no suspect identified
81dbcdbdfe62b2bcb97e92f49438ec5ca0975864931911e41a527266360d5b5b,2013-07,Greater Manchester Police,Greater Manchester Police,-2.219575,53.412277,On or near Supermarket,E01005168,Manchester 045B,Investigation complete; no suspect identified
af1d5eedb417990d804a33458038ffc0ee239fc892614f96d9da9b1020545257,2013-07,Greater Manchester Police,Greater Manchester Police,-2.219180,53.458389,On or near UPPER BROOK STREET,E01005231,Manchester 022C,Investigation complete; no suspect identified
aa1b0975ad1ccf3249b34b69a125ea940b02316804732bec5a47e617d8945714,2013-07,Greater Manchester Police,Greater Manchester Police,-2.248342,53.428248,On or near HIGH MARSH CRESCENT,E01033670,Manchester 039E,Investigation complete; no suspect identified
68e07f705b5526cd67462a6e9961580e875c5d4eba5aaf7b0db37d2db74c09ed,2013-07,Greater Manchester Police,Greater Manchester Police,-2.231972,53.448289,On or near BARNSTON AVENUE,E01005180,Manchester 030C,Investigation complete; no suspect identified
5e09fb535e6f736bc53b1d999b939cb4868ffbc5cab99ea9692229d3f6c08d28,2013-07,Greater Manchester Police,Greater Manchester Police,-2.234439,53.434226,On or near ASHFORD ROAD,E01005274,Manchester 038A,Investigation complete; no suspect identified
