Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
ef117c2367b11eebe1b1866d8430e1a5c7cf1d985faeec47560fbe5baf22539f,2014-05,Dorset Police,Dorset Police,-1.893704,50.758120,On or near FLETCHER ROAD,E01015336,Bournemouth 007B,Investigation complete; no suspect identified
17b6a11bdc2891c18dbdf12841919dd3abfb569de861cfb8f8469fbd8ad9ae48,2014-05,Dorset Police,Dorset Police,-1.927932,50.736743,On or near HILDA ROAD,E01015385,Poole 007F,Investigation complete; no suspect identified
ff63c75299e3b85b709cbe4267ca46289bdf30610a5e9148e140d35698c7258e,2014-05,Dorset Police,Dorset Police,-1.903843,50.722248,On or near SEAMOOR ROAD,E01015371,Bournemouth 023A,Investigation complete; no suspect identified
37117467be021f58aa6895a61e250404de7d8da73155a3728a4accf69417ca03,2014-05,Dorset Police,Dorset Police,-1.959045,50.727604,On or near HATHERDEN AVENUE,E01015456,Poole 011D,Investigation complete; no suspect identified
0f97aaa1fae8673d2a89501b52794a2e35707482a824f41a8ef93a747350e2b5,2014-05,Dorset Police,Dorset Police,-1.900678,50.765688,On or near HYDE ROAD,E01015305,Bournemouth 001C,Investigation complete; no suspect identified
e48d663f12f12d78b16c0267515eb7bb52410059f40a44b6b415ecb980171a78,2014-05,Dorset Police,Dorset Police,-1.857764,50.753828,On or near CHARMINSTER ROAD,E01015343,Bournemouth 004A,Investigation complete; no suspect identified
25b44fca5ae8949657c2723075a2a8f5deb3d5e6868f4c3767fe074eaa0d016b,2014-05,Dorset Police,Dorset Police,-1.932583,50.734489,On or near BERESFORD CLOSE,E01015392,Poole 010C,Investigation complete; no suspect identified
bae43cb4157b76084a9113804dd8b2b1d944780c9dc51ea49eaf3fba0e5e5732,2014-05,Dorset Police,Dorset Police,-1.864726,50.723612,On or near HOLDENHURST ROAD,E01015287,Bournemouth 017D,Investigation complete; no suspect identified
0de3c60f0238e26edc97d5f0538bb9d5fd37923df3840cabc12a2830ac01ba9e,2014-05,Dorset Police,Dorset Police,-1.983731,50.712385,On or near FISHERMANS ROAD,E01032662,Poole 015I,Investigation complete; no suspect identified
59c73244a67c4eedad0351280b889cf0838bc406c479138f1605b40dfd76bc4d,2014-05,Dorset Police,Dorset Police,-2.027415,50.719172,On or near NAPIER ROAD,E01015427,Poole 014A,Investigation complete; no suspect identified
bcf059e7bcbccc0751cc4fd6865d82a396ac53234154fb56bbc5d8db4329ad76,2014-05,Dorset Police,Dorset Police,-1.915059,50.748164,On or near BASCOTT ROAD,E01015359,Bournemouth 005E,Investigation complete; no suspect identified
94b55a92ea92d38a1b11c9a9b2684484b12b2ffe3ebc2a7c42d5ca9e139ff066,2014-05,Dorset Police,Dorset Police,-1.918644,50.740217,On or near ASPEN WAY,E01015382,Poole 007C,Investigation complete; no suspect identified
0203f48cc94166958c83d7f5c4d9508881e8f592f8a4f52ab189aec3281c943c,2014-05,Dorset Police,Dorset Police,-1.988197,50.748923,On or near MARSHAL ROAD,E01015421,Poole 006E,Investigation complete; no suspect identified
1a08de0dd3eb58813e379575cd9e81f78f96f8a3f1831a62ce77660ae0cae451,2014-05,Dorset Police,Dorset Police,-1.850254,50.734916,On or near RICHMOND PARK ROAD,E01015329,Bournemouth 015E,Investigation complete; no suspect identified
895500be645bf202e1bc069e5d719dda1474db7e22a9723c41aafd2150585cb3,2014-05,Dorset Police,Dorset Police,-1.875668,50.716097,On or near Theatre/Concert Hall,E01015285,Bournemouth 021A,Investigation complete; no suspect identified
1a2391a4c5626bfb252d0136184067d8a5c04e9118ec46b3ba684d8a098e02df,2014-05,Dorset Police,Dorset Police,-1.883909,50.717356,On or near ST MICHAEL'S ROAD,E01015367,Bournemouth 024A,Investigation complete; no suspect identified
2a4e761f8976e2279693d3d1fa0ae4b509aeee70ae7a3802f8ff8fff5a57cc64,2014-05,Dorset Police,Dorset Police,-1.934871,50.771324,On or near THE ORCHARD,E01015435,Poole 002B,Investigation complete; no suspect identified
11d85fb6d1e715ffbb26287533bd1602ef7558b55b921f42a7313e2ce1401f84,2014-05,Dorset Police,Dorset Police,-1.889788,50.717217,On or near DURLEY CHINE ROAD SOUTH,E01015367,Bournemouth 024A,Investigation complete; no suspect identified
828115b1381f9927c2e3e8d990330e5f813c1b915950d4121b97f3f4f03f8fe6,2014-05,Dorset Police,Dorset Police,-1.874690,50.721887,On or near Supermarket,E01015283,Bournemouth 017A,Investigation complete; no suspect identified
a76487c637c441c3dfd3f724913fe3a84fe4de89e96c857ec818179c8e484645,2014-05,Dorset Police,Dorset Police,-1.853313,50.735657,On or near MYRTLE ROAD,E01015329,Bournemouth 015E,Investigation complete; no suspect identified
38b096997bfca45edcd854b032348c2c91387f207060292e071ccb450ddf9792,2014-05,Dorset Police,Dorset Police,-1.890631,50.714206,On or near Parking Area,E01015368,Bournemouth 024B,Investigation complete; no suspect identified
d84f2ff4d18d6415eb44553f2d237474d000f951a8ca6418c68733d4b269f96f,2014-05,Dorset Police,Dorset Police,-1.973748,50.734200,On or near DINGLEY ROAD,E01015451,Poole 012E,Investigation complete; no suspect identified
4910d87b272eebb2496aa8f3c1ce024c24e1f99904594cb48b2810efeba8108d,2014-05,Dorset Police,Dorset Police,-1.885466,50.758480,On or near BROUGHTON AVENUE,E01015335,Bournemouth 003D,Investigation complete; no suspect identified
68156b7549ee6660acf9b8c66f2d949958165b74917f47049ceb581813669ec0,2014-05,Dorset Police,Dorset Police,-2.004101,50.750560,On or near CHAFFINCH CLOSE,E01015419,Poole 006C,Investigation complete; no suspect identified
704e8ca43edb84960f54807d7f70ff184a479fad4e0f07b4ae49d9deb9ad850e,2014-05,Dorset Police,Dorset Police,-1.946120,50.743237,On or near Petrol Station,E01015443,Poole 008E,Investigation complete; no suspect identified
40a5db7e2dc961926c5b060a6eac038c16e70cee2bbdb7dde1f57c7df1737600,2014-05,Dorset Police,Dorset Police,-2.002669,50.746999,On or near CLOVER DRIVE,E01015418,Poole 006B,Investigation complete; no suspect identified
bc15e39ac4394c354c2de89f43bb32e595b3d7a6e1e332e267744b15ef36cba1,2014-05,Dorset Police,Dorset Police,-1.989842,50.749229,On or near MILNE ROAD,E01015421,Poole 006E,Investigation complete; no suspect identified
75d0cdeb1a92d418d6f28020b546b68a0893cfc00cf1e91d1c318bac38bdf3fb,2014-05,Dorset Police,Dorset Police,-1.970856,50.712715,On or near Sports/Recreation Area,E01032661,Poole 015H,Investigation complete; no suspect identified
c675cf4180cd49a782935fca773e6634330fd58a25bac5fdde80873e08cfa30e,2014-05,Dorset Police,Dorset Police,-1.838170,50.729810,On or near SHELLEY ROAD EAST,E01015277,Bournemouth 016E,Investigation complete; no suspect identified
abd88004ceb16e48234d898864526553452830b6391e368d48eae3bb3225a128,2014-05,Dorset Police,Dorset Police,-1.868694,50.723194,On or near STAFFORD ROAD,E01015285,Bournemouth 021A,Investigation complete; no suspect identified
c89664a0b34b1d3604ff708f7cb587295c2a7e65327b180f8851cb7119dde673,2014-05,Dorset Police,Dorset Police,-1.977112,50.721107,On or near CRANES MEWS,E01015468,Poole 015D,Investigation complete; no suspect identified
e8c6591a4fcc337a292e3d121e6bffca33659b6d71154c6c13c09c92d1449255,2014-05,Dorset Police,Dorset Police,-1.925740,50.715870,On or near CANFORD CLIFFS ROAD,E01015402,Poole 018A,Investigation complete; no suspect identified
9d670202d074821274f1fb24cf5943cb548f469da565ce368a69127adfb745d9,2014-05,Dorset Police,Dorset Police,-1.862194,50.751234,On or near CLAREMONT ROAD,E01015322,Bournemouth 010A,Investigation complete; no suspect identified
bcd989a2443b7a2017c57f8c761ce95109f4a59ae6b44629d440f2b7bad8db4e,2014-05,Dorset Police,Dorset Police,-1.918577,50.705506,On or near WESTERN ROAD,E01015404,Poole 018C,Investigation complete; no suspect identified
9baf6b6d6a8c29681e8efb2759d02de39f244cd7bc29df93f7c4d5025084aae1,2014-05,Dorset Police,Dorset Police,-1.873620,50.719413,On or near UPPER HINTON ROAD,E01015285,Bournemouth 021A,Investigation complete; no suspect identified
bd2df1e37062431d351b1fc4e65ce8dd4d55a6480e77e99f6b0516794acacf9d,2014-05,Dorset Police,Dorset Police,-1.901846,50.769547,On or near LAKE ROAD,E01015303,Bournemouth 001B,Investigation complete; no suspect identified
4933b8ab52abfcb6f38a966711d0997b8eacfc64e29f47e1820040ae2783a7b1,2014-05,Dorset Police,Dorset Police,-1.886065,50.721872,On or near BRADBURNE ROAD,E01033242,Bournemouth 017F,Investigation complete; no suspect identified
fd15d7c4772a211c9e22c18132dd5142e6974eb682958a398e98e0961ccd86ff,2014-05,Dorset Police,Dorset Police,,,No location,,,Investigation complete; no suspect identified
924e7d95bf58013f888453545b2b2f47aebb3898fb57e9a6b4f2c98d1b8ac446,2014-05,Dorset Police,Dorset Police,-1.930818,50.759613,On or near ENGLANDS WAY,E01015308,Bournemouth 002C,Investigation complete; no suspect identified
