Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
76ff7bea4d8aab045f051bdf7588b526f44ddf7b471d59e1a3057e44caf980c5,2014-05,Suffolk Constabulary,Suffolk Constabulary,1.198281,52.027878,On or near MANSBROOK BOULEVARD,E01033127,Ipswich 014E,Investigation complete; no suspect identified
718db13e006ba39b45fd8e37a1bb1fa87b5437e6946e8ec77d3fe4b807b5d8c9,2014-05,Suffolk Constabulary,Suffolk Constabulary,0.625900,52.444942,On or near WARREN CLOSE,E01029927,Forest Heath 001B,Investigation complete; no suspect identified
5f2e0052a4ceef78460a95066dc6e90609d1972a5fa40b6c60b39c082b889fca,2014-05,Suffolk Constabulary,Suffolk Constabulary,1.326112,51.966403,On or near DARSHAM CLOSE,E01030169,Suffolk Coastal 014D,Investigation complete; no suspect identified
bfb782b3d3f58e3199d84577e4085b69950633a145d2920699d78346e251b25e,2014-05,Suffolk Constabulary,Suffolk Constabulary,0.428364,52.093115,On or near CHAPELWENT ROAD,E01030110,St Edmundsbury 012B,Investigation complete; no suspect identified
4a282effa2d5af5479e85ba912b03ea31b8cb2cdb916aba62a98f8aa4e6fdb8c,2014-05,Suffolk Constabulary,Suffolk Constabulary,1.184038,52.069124,On or near SHETLAND CLOSE,E01030001,Ipswich 004E,Investigation complete; no suspect identified
79ce7242c8c251a23c3b169a27edb3376bb50ddebc85caeae1e96f5c3563543b,2014-05,Suffolk Constabulary,Suffolk Constabulary,1.175655,52.057334,On or near SPRINGHURST CLOSE,E01029960,Ipswich 007C,Investigation complete; no suspect identified
502dd8a45cd8a7667761a8e99b78a50e400a0a6a348b8fa2cd4f8599a27acad7,2014-05,Suffolk Constabulary,Suffolk Constabulary,0.975766,52.189597,On or near SWAN CLOSE,E01030072,Mid Suffolk 009C,Investigation complete; no suspect identified
fc19e7d293f4b4375a9429ad012f570a48368be93915f1065dda29d848b811f9,2014-05,Suffolk Constabulary,Suffolk Constabulary,0.548997,52.171088,On or near NUNNERY GREEN,E01030150,St Edmundsbury 010C,Investigation complete; no suspect identified
4be39640897edaf24762a9007f1c06552aee9043550476ce170a946f9398517e,2014-05,Suffolk Constabulary,Suffolk Constabulary,1.152097,52.053668,On or near GREYFRIARS ROAD,E01033124,Ipswich 007F,Investigation complete; no suspect identified
70f61bc33ea586ecd29bdebabb13e11ccbc2bced2b5efc09757ab4d985fb3ead,2014-05,Suffolk Constabulary,Suffolk Constabulary,1.175489,52.055198,On or near CLIFFORD ROAD,E01029961,Ipswich 007D,Investigation complete; no suspect identified
5b94879090d5d8c0b0514befe5e51136f6ffcebd042848020df3cb90090dcd1b,2014-05,Suffolk Constabulary,Suffolk Constabulary,1.359032,52.156409,On or near SIMON'S CROSS,E01030220,Suffolk Coastal 005D,Investigation complete; no suspect identified
29de20d82eadf10b3e6b490a3470cd3abb969c50c98c04622f8534467971f7ed,2014-05,Suffolk Constabulary,Suffolk Constabulary,0.995524,52.186606,On or near MARRIOTT'S WALK,E01030071,Mid Suffolk 010B,Investigation complete; no suspect identified
91d922af3c1be889034b66feca1309530237ddea70a832ec42eb2b80d3b4e3c5,2014-05,Suffolk Constabulary,Suffolk Constabulary,1.132061,52.068395,On or near CHESSINGTON GARDENS,E01030026,Ipswich 006E,Investigation complete; no suspect identified
87bd266f2933defef22f93580171fc3385fc3af27bb26b265844192d9234ce22,2014-05,Suffolk Constabulary,Suffolk Constabulary,0.721012,52.238881,On or near HARRINGTON CLOSE,E01030093,St Edmundsbury 006B,Investigation complete; no suspect identified
8423761974adaebaca0eae3f5ca6e082e0eb8fc40f1356ce888916accfecb24e,2014-05,Suffolk Constabulary,Suffolk Constabulary,1.744853,52.469310,On or near GROSVENOR ROAD,E01030258,Waveney 007D,Investigation complete; no suspect identified
bacef2c0b59e7942029a7a697b0edd702147589d8c8e8531d0b909229b5864fd,2014-05,Suffolk Constabulary,Suffolk Constabulary,1.146312,52.122212,On or near Park/Open Space,E01030046,Mid Suffolk 012D,Investigation complete; no suspect identified
7f9a5578d5f3d2272c0566398b16a05ae44baa139ef47e0af07f527300b3a9d0,2014-05,Suffolk Constabulary,Suffolk Constabulary,1.137322,52.065584,On or near BROOKS HALL ROAD,E01030022,Ipswich 006A,Investigation complete; no suspect identified
a2d3bb8985027943cb75efb009f6017b6cb816b76b7df26052a8f30396e95dd3,2014-05,Suffolk Constabulary,Suffolk Constabulary,0.716695,52.254781,On or near Petrol Station,E01030137,St Edmundsbury 006D,Investigation complete; no suspect identified
