Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
e7387379366a4dff2f1332851239f6f295563bf8af397106650acf9dfabfbd5e,2014-03,Dorset Police,Dorset Police,-2.015687,50.806205,On or near Parking Area,E01020410,East Dorset 005D,Investigation complete; no suspect identified
1e1bd5c8ec1bb2a12a5affc7eaae223af36a0ec4079746887f3d4b33e25b05a7,2014-03,Dorset Police,Dorset Police,-2.272272,51.037352,On or near SCHOOL LANE,E01020443,North Dorset 001A,Investigation complete; no suspect identified
b1baddc420958797848046b00dde6dad8ba83ded9949e4e291c22c81f4d9742b,2014-03,Dorset Police,Dorset Police,-2.468478,50.654583,On or near OLD STATION ROAD,E01020571,Weymouth and Portland 001D,Investigation complete; no suspect identified
c2dc36954dbf221968d646a56c51003852586b0e8e0dbba15077ee605d1a1108,2014-03,Dorset Police,Dorset Police,-2.453434,50.609804,On or near NEW STREET,E01020554,Weymouth and Portland 004B,Investigation complete; no suspect identified
b02af84136da77e7912e6d62ddb8bbe5a4035f6f27ba5cad49cfcf70e715b14f,2014-03,Dorset Police,Dorset Police,-2.443550,50.558186,On or near ST MARTIN'S ROAD,E01033200,Weymouth and Portland 008E,Investigation complete; no suspect identified
b5bb050f350d67525b3db79129d6d673b9bc606f38078d83bc4d4960ced96276,2014-03,Dorset Police,Dorset Police,-1.840491,50.830863,On or near LAUREL CLOSE,E01020406,East Dorset 004D,Investigation complete; no suspect identified
2b9336ff3d45b83e1fef84570e4bfa877691605f631f4a4b68ef2a06fa540b9b,2014-03,Dorset Police,Dorset Police,-2.449489,50.708821,On or near COBURG ROAD,E01020526,West Dorset 009C,Investigation complete; no suspect identified
65d8f21c2840d8b45a415c77d6a81947c83eb1b1ae4ec442d12324ac65e052f4,2014-03,Dorset Police,Dorset Police,-1.817646,50.775750,On or near Park/Open Space,E01020365,Christchurch 001D,Investigation complete; no suspect identified
6053ce1dd9b6a8d32e8a2ec64f4954c3ef663412de373855106e99902bac19b0,2014-03,Dorset Police,Dorset Police,-2.494543,50.698414,On or near PARK FARM CLOSE,E01020549,West Dorset 011D,Investigation complete; no suspect identified
83781dbb4c66867089b4fe292af52898965172339a0c73a800cd9c704ba12807,2014-03,Dorset Police,Dorset Police,-1.885898,50.855070,On or near CHURCH ROAD,E01020411,East Dorset 003A,Investigation complete; no suspect identified
eb3879e07fd35a3922bece288dbf56276b8d3698786e7ff07753fcdb1dde682b,2014-03,Dorset Police,Dorset Police,-2.482569,50.611926,On or near CANTERBURY CLOSE,E01020516,West Dorset 012E,Investigation complete; no suspect identified
a9d13d5f1cd28657d3f8804c47e3e0df7822cb47f277cd206c7f2c98a4104935,2014-03,Dorset Police,Dorset Police,-2.506501,50.743776,On or near DORCHESTER ROAD,E01020529,West Dorset 004C,Investigation complete; no suspect identified
f8f580f897b13eda1bde8afba5e1ec73b01a173e8280120cd645dc2da7268726,2014-03,Dorset Police,Dorset Police,-2.494543,50.698414,On or near PARK FARM CLOSE,E01020549,West Dorset 011D,Investigation complete; no suspect identified
a48a4e71a5bca4de0f7b545f66433a972a6958d43ee5fb8c258a456264ea1cd6,2014-03,Dorset Police,Dorset Police,-1.977506,50.608167,On or near MARSH WAY,E01020483,Purbeck 006F,Investigation complete; no suspect identified
1235dda849449bdf582bcf1b9274bf5c2dd8bc1139fcbe9f211e7eac392d5849,2014-03,Dorset Police,Dorset Police,-1.872443,50.876584,On or near BUGDENS LANE,E01020420,East Dorset 002E,Investigation complete; no suspect identified
1b9e71e4f6cb4279bb858f59bc0a74f2644bce2ffc6fe2bcf8731e82f5bbf590,2014-03,Dorset Police,Dorset Police,-1.887621,50.823939,On or near Supermarket,E01020422,East Dorset 006B,Investigation complete; no suspect identified
1735a2205e7ed25b4ef4b86e958182ad1ed8c275bea4af0313e9f1e5df8e9c6c,2014-03,Dorset Police,Dorset Police,-2.248116,50.880552,On or near Park/Open Space,E01020444,North Dorset 005A,Investigation complete; no suspect identified
d1bfeabab80c9b831704a283c8d79e2944d74a0265de8b1488c67a84c89498c6,2014-03,Dorset Police,Dorset Police,-1.959683,50.611058,On or near REMPSTONE ROAD,E01020479,Purbeck 006B,Investigation complete; no suspect identified
37795f7ecd39f41311dfb52ac97fe96017432503036951e4ec89086e7bbdf9ca,2014-03,Dorset Police,Dorset Police,-2.434275,50.939403,On or near RUE LANE,E01020433,North Dorset 004A,Investigation complete; no suspect identified
b401d2a7d764019e15b9078a44e73f0dfeedf265984a959c7c51bdaf16f171cd,2014-03,Dorset Police,Dorset Police,-2.244424,50.897475,On or near HONEYSUCKLE GARDENS,E01020444,North Dorset 005A,Investigation complete; no suspect identified
9ba1fa59e834a1a38540475387fe9354132c1fa21a0fbfb86eccf86500589d8f,2014-03,Dorset Police,Dorset Police,-2.471768,50.613031,On or near QUEENSLAND ROAD,E01020574,Weymouth and Portland 003A,Investigation complete; no suspect identified
66e1ced562f4a03b87c2b2a9de79cab8255f22dc7555d8c54e2d8aa3e7746d1a,2014-03,Dorset Police,Dorset Police,-2.101416,50.706524,On or near OAK COURT,E01020476,Purbeck 003A,Investigation complete; no suspect identified
4cb84ebec88f3ebf4050bde953227826fa714490b59a986e8f511543d71fe033,2014-03,Dorset Police,Dorset Police,-2.111793,50.687153,On or near MILL LANE,E01020486,Purbeck 003D,Investigation complete; no suspect identified
6302d8018bd7c4aa148837aff0fe75ed6509f90865be56e60833dd83387001b6,2014-03,Dorset Police,Dorset Police,-2.453203,50.618114,On or near LENNOX STREET,E01020555,Weymouth and Portland 004C,Investigation complete; no suspect identified
8e8161818e63fc831449caf52e7e4d95026dc9600b18c97fc2ccaf64ca48dcbc,2014-03,Dorset Police,Dorset Police,-2.456085,50.607770,On or near LOWER ST EDMUND STREET,E01020554,Weymouth and Portland 004B,Investigation complete; no suspect identified
f0583f98e4b25c6c9be22c61d2195f377311ece66bfd49f80e15ab875c7f9262,2014-03,Dorset Police,Dorset Police,-1.956759,50.608656,On or near INSTITUTE ROAD,E01020482,Purbeck 006E,Investigation complete; no suspect identified
