12 months ending,Police force area,Region,Offence,Rolling year total number of offences
31/03/2003,North Wales,Wales,Public order offences,1465
31/03/2003,North Wales,Wales,Robbery,224
31/03/2003,North Wales,Wales,Sexual offences,689
31/03/2003,North Wales,Wales,Shoplifting,4020
31/03/2003,North Wales,Wales,Theft from the person,561
31/03/2003,North Wales,Wales,Vehicle offences,9067
31/03/2003,North Wales,Wales,Violence with injury,6366
31/03/2003,North Wales,Wales,Violence without injury,3626
31/03/2003,North Yorkshire,Yorkshire and the Humber,All other theft offences,9991
31/03/2003,North Yorkshire,Yorkshire and the Humber,Bicycle theft,2331
31/03/2003,North Yorkshire,Yorkshire and the Humber,Criminal damage and arson,13121
31/03/2003,North Yorkshire,Yorkshire and the Humber,Domestic burglary,4766
31/03/2003,North Yorkshire,Yorkshire and the Humber,Drug offences,1582
31/03/2003,North Yorkshire,Yorkshire and the Humber,Fraud offences to 2012/13,1897
31/03/2003,North Yorkshire,Yorkshire and the Humber,Homicide,3
31/03/2003,North Yorkshire,Yorkshire and the Humber,Miscellaneous crimes against society,858
31/03/2003,North Yorkshire,Yorkshire and the Humber,Non-domestic burglary,6745
31/03/2003,North Yorkshire,Yorkshire and the Humber,Possession of weapons offences,294
31/03/2003,North Yorkshire,Yorkshire and the Humber,Public order offences,1834
31/03/2003,North Yorkshire,Yorkshire and the Humber,Robbery,356
31/03/2003,North Yorkshire,Yorkshire and the Humber,Sexual offences,501
31/03/2003,North Yorkshire,Yorkshire and the Humber,Shoplifting,4604
31/03/2003,North Yorkshire,Yorkshire and the Humber,Theft from the person,1341
31/03/2003,North Yorkshire,Yorkshire and the Humber,Vehicle offences,10697
31/03/2003,North Yorkshire,Yorkshire and the Humber,Violence with injury,2009
31/03/2003,North Yorkshire,Yorkshire and the Humber,Violence without injury,4309
31/03/2003,Northamptonshire,East Midlands,All other theft offences,9159
31/03/2003,Northamptonshire,East Midlands,Bicycle theft,1053
31/03/2003,Northamptonshire,East Midlands,Criminal damage and arson,15637
31/03/2003,Northamptonshire,East Midlands,Domestic burglary,4871
31/03/2003,Northamptonshire,East Midlands,Drug offences,979
31/03/2003,Northamptonshire,East Midlands,Fraud offences to 2012/13,3627
31/03/2003,Northamptonshire,East Midlands,Homicide,9
31/03/2003,Northamptonshire,East Midlands,Miscellaneous crimes against society,957
31/03/2003,Northamptonshire,East Midlands,Non-domestic burglary,6510
31/03/2003,Northamptonshire,East Midlands,Possession of weapons offences,325
31/03/2003,Northamptonshire,East Midlands,Public order offences,1195
31/03/2003,Northamptonshire,East Midlands,Robbery,1015
31/03/2003,Northamptonshire,East Midlands,Sexual offences,678
31/03/2003,Northamptonshire,East Midlands,Shoplifting,3948
31/03/2003,Northamptonshire,East Midlands,Theft from the person,937
31/03/2003,Northamptonshire,East Midlands,Vehicle offences,13974
31/03/2003,Northamptonshire,East Midlands,Violence with injury,5118
31/03/2003,Northamptonshire,East Midlands,Violence without injury,3517
31/03/2003,Northumbria,North East,All other theft offences,19122
31/03/2003,Northumbria,North East,Bicycle theft,2387
31/03/2003,Northumbria,North East,Criminal damage and arson,41867
31/03/2003,Northumbria,North East,Domestic burglary,11179
31/03/2003,Northumbria,North East,Drug offences,6040
31/03/2003,Northumbria,North East,Fraud offences to 2012/13,3841
31/03/2003,Northumbria,North East,Homicide,19
31/03/2003,Northumbria,North East,Miscellaneous crimes against society,2731
31/03/2003,Northumbria,North East,Non-domestic burglary,11525
31/03/2003,Northumbria,North East,Possession of weapons offences,1246
31/03/2003,Northumbria,North East,Public order offences,5072
31/03/2003,Northumbria,North East,Robbery,1442
31/03/2003,Northumbria,North East,Sexual offences,1650
31/03/2003,Northumbria,North East,Shoplifting,10911
31/03/2003,Northumbria,North East,Theft from the person,2965
31/03/2003,Northumbria,North East,Vehicle offences,23610
31/03/2003,Northumbria,North East,Violence with injury,7893
31/03/2003,Northumbria,North East,Violence without injury,11996
31/03/2003,Nottinghamshire,East Midlands,All other theft offences,20739
31/03/2003,Nottinghamshire,East Midlands,Bicycle theft,2608
31/03/2003,Nottinghamshire,East Midlands,Criminal damage and arson,23876
31/03/2003,Nottinghamshire,East Midlands,Domestic burglary,16418
31/03/2003,Nottinghamshire,East Midlands,Drug offences,2352
31/03/2003,Nottinghamshire,East Midlands,Fraud offences to 2012/13,5095
31/03/2003,Nottinghamshire,East Midlands,Homicide,18
31/03/2003,Nottinghamshire,East Midlands,Miscellaneous crimes against society,1690
31/03/2003,Nottinghamshire,East Midlands,Non-domestic burglary,16772
31/03/2003,Nottinghamshire,East Midlands,Possession of weapons offences,694
31/03/2003,Nottinghamshire,East Midlands,Public order offences,2381
31/03/2003,Nottinghamshire,East Midlands,Robbery,2799
31/03/2003,Nottinghamshire,East Midlands,Sexual offences,1163
31/03/2003,Nottinghamshire,East Midlands,Shoplifting,9578
31/03/2003,Nottinghamshire,East Midlands,Theft from the person,3924
31/03/2003,Nottinghamshire,East Midlands,Vehicle offences,37698
31/03/2003,Nottinghamshire,East Midlands,Violence with injury,10641
31/03/2003,Nottinghamshire,East Midlands,Violence without injury,2957
31/03/2003,South Wales,Wales,All other theft offences,17388
31/03/2003,South Wales,Wales,Bicycle theft,1717
31/03/2003,South Wales,Wales,Criminal damage and arson,30697
31/03/2003,South Wales,Wales,Domestic burglary,8060
31/03/2003,South Wales,Wales,Drug offences,3872
31/03/2003,South Wales,Wales,Fraud offences to 2012/13,3132
31/03/2003,South Wales,Wales,Homicide,11
31/03/2003,South Wales,Wales,Miscellaneous crimes against society,2024
31/03/2003,South Wales,Wales,Non-domestic burglary,10555
31/03/2003,South Wales,Wales,Possession of weapons offences,846
31/03/2003,South Wales,Wales,Public order offences,4546
31/03/2003,South Wales,Wales,Robbery,784
31/03/2003,South Wales,Wales,Sexual offences,846
31/03/2003,South Wales,Wales,Shoplifting,6988
31/03/2003,South Wales,Wales,Theft from the person,2536
31/03/2003,South Wales,Wales,Vehicle offences,33702
31/03/2003,South Wales,Wales,Violence with injury,10646
31/03/2003,South Wales,Wales,Violence without injury,5022
31/03/2003,South Yorkshire,Yorkshire and the Humber,All other theft offences,18187
31/03/2003,South Yorkshire,Yorkshire and the Humber,Bicycle theft,1787
31/03/2003,South Yorkshire,Yorkshire and the Humber,Criminal damage and arson,29777
31/03/2003,South Yorkshire,Yorkshire and the Humber,Domestic burglary,17836
31/03/2003,South Yorkshire,Yorkshire and the Humber,Drug offences,3448
31/03/2003,South Yorkshire,Yorkshire and the Humber,Fraud offences to 2012/13,2791
31/03/2003,South Yorkshire,Yorkshire and the Humber,Homicide,25
31/03/2003,South Yorkshire,Yorkshire and the Humber,Miscellaneous crimes against society,2300
31/03/2003,South Yorkshire,Yorkshire and the Humber,Non-domestic burglary,16632
31/03/2003,South Yorkshire,Yorkshire and the Humber,Possession of weapons offences,895
31/03/2003,South Yorkshire,Yorkshire and the Humber,Public order offences,1788
31/03/2003,South Yorkshire,Yorkshire and the Humber,Robbery,2112
31/03/2003,South Yorkshire,Yorkshire and the Humber,Sexual offences,885
31/03/2003,South Yorkshire,Yorkshire and the Humber,Shoplifting,8214
31/03/2003,South Yorkshire,Yorkshire and the Humber,Theft from the person,2681
31/03/2003,South Yorkshire,Yorkshire and the Humber,Vehicle offences,32498
31/03/2003,South Yorkshire,Yorkshire and the Humber,Violence with injury,4999
31/03/2003,South Yorkshire,Yorkshire and the Humber,Violence without injury,5202
31/03/2003,Staffordshire,West Midlands,All other theft offences,15101
31/03/2003,Staffordshire,West Midlands,Bicycle theft,1235
31/03/2003,Staffordshire,West Midlands,Criminal damage and arson,22992
31/03/2003,Staffordshire,West Midlands,Domestic burglary,6458
31/03/2003,Staffordshire,West Midlands,Drug offences,2264
31/03/2003,Staffordshire,West Midlands,Fraud offences to 2012/13,2766
31/03/2003,Staffordshire,West Midlands,Homicide,7
31/03/2003,Staffordshire,West Midlands,Miscellaneous crimes against society,1847
31/03/2003,Staffordshire,West Midlands,Non-domestic burglary,8714
31/03/2003,Staffordshire,West Midlands,Possession of weapons offences,500
31/03/2003,Staffordshire,West Midlands,Public order offences,3032
31/03/2003,Staffordshire,West Midlands,Robbery,900
31/03/2003,Staffordshire,West Midlands,Sexual offences,1290
31/03/2003,Staffordshire,West Midlands,Shoplifting,5889
31/03/2003,Staffordshire,West Midlands,Theft from the person,1478
31/03/2003,Staffordshire,West Midlands,Vehicle offences,17006
31/03/2003,Staffordshire,West Midlands,Violence with injury,9798
31/03/2003,Staffordshire,West Midlands,Violence without injury,7349
31/03/2003,Suffolk,East,All other theft offences,6639
31/03/2003,Suffolk,East,Bicycle theft,1439
31/03/2003,Suffolk,East,Criminal damage and arson,11434
31/03/2003,Suffolk,East,Domestic burglary,2284
31/03/2003,Suffolk,East,Drug offences,1689
31/03/2003,Suffolk,East,Fraud offences to 2012/13,1682
31/03/2003,Suffolk,East,Homicide,5
31/03/2003,Suffolk,East,Miscellaneous crimes against society,1057
31/03/2003,Suffolk,East,Non-domestic burglary,3964
31/03/2003,Suffolk,East,Possession of weapons offences,360
31/03/2003,Suffolk,East,Public order offences,1528
31/03/2003,Suffolk,East,Robbery,249
31/03/2003,Suffolk,East,Sexual offences,634
31/03/2003,Suffolk,East,Shoplifting,3289
31/03/2003,Suffolk,East,Theft from the person,575
31/03/2003,Suffolk,East,Vehicle offences,7152
31/03/2003,Suffolk,East,Violence with injury,3672
31/03/2003,Suffolk,East,Violence without injury,2663
31/03/2003,Surrey,South East,All other theft offences,11939
31/03/2003,Surrey,South East,Bicycle theft,1085
31/03/2003,Surrey,South East,Criminal damage and arson,13614
31/03/2003,Surrey,South East,Domestic burglary,4140
31/03/2003,Surrey,South East,Drug offences,1934
31/03/2003,Surrey,South East,Fraud offences to 2012/13,3135
31/03/2003,Surrey,South East,Homicide,14
31/03/2003,Surrey,South East,Miscellaneous crimes against society,707
31/03/2003,Surrey,South East,Non-domestic burglary,5587
31/03/2003,Surrey,South East,Possession of weapons offences,317
31/03/2003,Surrey,South East,Public order offences,1422
31/03/2003,Surrey,South East,Robbery,605
31/03/2003,Surrey,South East,Sexual offences,688
31/03/2003,Surrey,South East,Shoplifting,3680
31/03/2003,Surrey,South East,Theft from the person,805
31/03/2003,Surrey,South East,Vehicle offences,11661
31/03/2003,Surrey,South East,Violence with injury,4622
31/03/2003,Surrey,South East,Violence without injury,2497
31/03/2003,Sussex,South East,All other theft offences,22567
31/03/2003,Sussex,South East,Bicycle theft,2329
31/03/2003,Sussex,South East,Criminal damage and arson,25453
31/03/2003,Sussex,South East,Domestic burglary,8209
31/03/2003,Sussex,South East,Drug offences,2665
31/03/2003,Sussex,South East,Fraud offences to 2012/13,4744
31/03/2003,Sussex,South East,Homicide,23
31/03/2003,Sussex,South East,Miscellaneous crimes against society,1636
31/03/2003,Sussex,South East,Non-domestic burglary,9112
31/03/2003,Sussex,South East,Possession of weapons offences,726
31/03/2003,Sussex,South East,Public order offences,1903
31/03/2003,Sussex,South East,Robbery,1319
31/03/2003,Sussex,South East,Sexual offences,1373
31/03/2003,Sussex,South East,Shoplifting,6988
31/03/2003,Sussex,South East,Theft from the person,2830
31/03/2003,Sussex,South East,Vehicle offences,22914
31/03/2003,Sussex,South East,Violence with injury,6074
31/03/2003,Sussex,South East,Violence without injury,10022
31/03/2003,Thames Valley,South East,All other theft offences,36892
31/03/2003,Thames Valley,South East,Bicycle theft,5264
31/03/2003,Thames Valley,South East,Criminal damage and arson,33576
31/03/2003,Thames Valley,South East,Domestic burglary,13809
31/03/2003,Thames Valley,South East,Drug offences,4903
31/03/2003,Thames Valley,South East,Fraud offences to 2012/13,7144
31/03/2003,Thames Valley,South East,Homicide,28
31/03/2003,Thames Valley,South East,Miscellaneous crimes against society,2459
31/03/2003,Thames Valley,South East,Non-domestic burglary,15623
31/03/2003,Thames Valley,South East,Possession of weapons offences,929
31/03/2003,Thames Valley,South East,Public order offences,3520
31/03/2003,Thames Valley,South East,Robbery,2406
31/03/2003,Thames Valley,South East,Sexual offences,1956
31/03/2003,Thames Valley,South East,Shoplifting,11350
31/03/2003,Thames Valley,South East,Theft from the person,5018
31/03/2003,Thames Valley,South East,Vehicle offences,42187
31/03/2003,Thames Valley,South East,Violence with injury,10743
31/03/2003,Thames Valley,South East,Violence without injury,10716
31/03/2003,Warwickshire,West Midlands,All other theft offences,5913
31/03/2003,Warwickshire,West Midlands,Bicycle theft,1001
31/03/2003,Warwickshire,West Midlands,Criminal damage and arson,8507
31/03/2003,Warwickshire,West Midlands,Domestic burglary,3070
31/03/2003,Warwickshire,West Midlands,Drug offences,751
31/03/2003,Warwickshire,West Midlands,Fraud offences to 2012/13,1411
31/03/2003,Warwickshire,West Midlands,Homicide,4
31/03/2003,Warwickshire,West Midlands,Miscellaneous crimes against society,406
31/03/2003,Warwickshire,West Midlands,Non-domestic burglary,4367
31/03/2003,Warwickshire,West Midlands,Possession of weapons offences,162
31/03/2003,Warwickshire,West Midlands,Public order offences,716
31/03/2003,Warwickshire,West Midlands,Robbery,354
31/03/2003,Warwickshire,West Midlands,Sexual offences,325
31/03/2003,Warwickshire,West Midlands,Shoplifting,2235
31/03/2003,Warwickshire,West Midlands,Theft from the person,394
31/03/2003,Warwickshire,West Midlands,Vehicle offences,9566
31/03/2003,Warwickshire,West Midlands,Violence with injury,2228
31/03/2003,Warwickshire,West Midlands,Violence without injury,2786
31/03/2003,West Mercia,West Midlands,All other theft offences,15000
31/03/2003,West Mercia,West Midlands,Bicycle theft,1484
31/03/2003,West Mercia,West Midlands,Criminal damage and arson,21118
31/03/2003,West Mercia,West Midlands,Domestic burglary,6239
31/03/2003,West Mercia,West Midlands,Drug offences,2053
31/03/2003,West Mercia,West Midlands,Fraud offences to 2012/13,3186
31/03/2003,West Mercia,West Midlands,Homicide,9
31/03/2003,West Mercia,West Midlands,Miscellaneous crimes against society,1561
31/03/2003,West Mercia,West Midlands,Non-domestic burglary,10136
31/03/2003,West Mercia,West Midlands,Possession of weapons offences,432
31/03/2003,West Mercia,West Midlands,Public order offences,3568
31/03/2003,West Mercia,West Midlands,Robbery,728
31/03/2003,West Mercia,West Midlands,Sexual offences,1066
31/03/2003,West Mercia,West Midlands,Shoplifting,5895
31/03/2003,West Mercia,West Midlands,Theft from the person,1125
31/03/2003,West Mercia,West Midlands,Vehicle offences,14983
31/03/2003,West Mercia,West Midlands,Violence with injury,10134
31/03/2003,West Mercia,West Midlands,Violence without injury,6360
31/03/2003,West Midlands,West Midlands,All other theft offences,44695
31/03/2003,West Midlands,West Midlands,Bicycle theft,3301
31/03/2003,West Midlands,West Midlands,Criminal damage and arson,56988
31/03/2003,West Midlands,West Midlands,Domestic burglary,26942
31/03/2003,West Midlands,West Midlands,Drug offences,8828
31/03/2003,West Midlands,West Midlands,Fraud offences to 2012/13,13181
31/03/2003,West Midlands,West Midlands,Homicide,66
31/03/2003,West Midlands,West Midlands,Miscellaneous crimes against society,6657
31/03/2003,West Midlands,West Midlands,Non-domestic burglary,29589
31/03/2003,West Midlands,West Midlands,Possession of weapons offences,2734
