Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
f48477dbe15b32c0b4e8e1ea7858d9ef1a47549993aab52de207bd7f122b3e43,2014-04,Hertfordshire Constabulary,Hertfordshire Constabulary,,,No location,,,Offender given a caution
192c90d33129496d5ff95abf518d319ea5f66966fed4f3c7b965333e4ce9f3e2,2014-04,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.031895,51.697109,On or near ACTON CLOSE,E01023333,Broxbourne 012B,Investigation complete; no suspect identified
4c5c8d20227e564336f8f64e557bc27d2bb19d3177fe8fe7dc2b6960200914ed,2014-04,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.040375,51.710155,On or near Petrol Station,E01023303,Broxbourne 008B,Investigation complete; no suspect identified
442b2314ef02221bb15c60b10bb97f1fd462fd32352f6fbec550cb5b08a87c11,2014-04,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.030653,51.685713,On or near ELEANOR CROSS ROAD,E01023337,Broxbourne 013B,Investigation complete; no suspect identified
1ef1a1532b7cf1a571e6d738821572f3bd7847f21a5bf676b2793f69fc043987,2014-04,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.034808,51.703353,On or near Police Station,E01023301,Broxbourne 010E,Investigation complete; no suspect identified
0959467cb50722139d5b284d941a8be7dbebc9b628354eae60694d64e5e85ec7,2014-04,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.032025,51.724448,On or near WINNIPEG WAY,E01023310,Broxbourne 006D,Investigation complete; no suspect identified
96c17a87f8090dd16bf8e713105bdb88f666db6a8170162700ff5049ee8a1560,2014-04,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.053394,51.712044,On or near WHEATCROFT,E01023326,Broxbourne 009D,Investigation complete; no suspect identified
b833dfba93bd9b2924c600c4a4594d12f72717b2af3c8bc02c51b1c53855c0cf,2014-04,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.036275,51.716920,On or near Parking Area,E01023305,Broxbourne 008D,Investigation complete; no suspect identified
58468824d62275bdcae43ed90506b36a62968bef147b84fdca7fe515987ca073,2014-04,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.048723,51.713612,On or near GREENBANK,E01023310,Broxbourne 006D,Investigation complete; no suspect identified
c0155b13f6cb23666220d118176dae3176a4bc610d66d9e69d45a5150c20c5e1,2014-04,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.032214,51.685082,On or near Supermarket,E01023337,Broxbourne 013B,Investigation complete; no suspect identified
1dcf4a83d2176180bdb1951e613c26545a30c34e877b227c711d55cacd349b72,2014-04,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.038537,51.684064,On or near CREASY COURT,E01023339,Broxbourne 013D,Investigation complete; no suspect identified
9502d400099059b43af3bf1e55d4cda75b92c5601cb5cf70daa4540e8a5030bf,2014-04,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.028060,51.686784,On or near YORK ROAD,E01023336,Broxbourne 013A,Investigation complete; no suspect identified
79b181ee576b159600f4feab2135663341985cb3823afb4630248f7949bd14af,2014-04,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.023875,51.685554,On or near ELEANOR CROSS ROAD,E01023338,Broxbourne 013C,Investigation complete; no suspect identified
9094f795aec61d75f54980774f696222b680271b32d1c7c299028ec81d58490c,2014-04,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.034495,51.702233,On or near TURNER'S HILL,E01023301,Broxbourne 010E,Investigation complete; no suspect identified
6ed03d569f6709bc896983f4dcb7fae7188dfb0706ee042418bb6bfc4a09a618,2014-04,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.028040,51.687908,On or near KING EDWARD ROAD,E01023336,Broxbourne 013A,Investigation complete; no suspect identified
0da41563a2821f56157a611d6569d5b5f76f166a6d41373f91f581a75ebf09a4,2014-04,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.029726,51.707063,On or near LONG MOOR,E01023298,Broxbourne 010B,Investigation complete; no suspect identified
