Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
c87189660cb23b1275062de43d1ca48a3c6aa686491baf6f5ebe7da65175fe1c,2014-04,Dorset Police,Dorset Police,-2.332063,50.724035,On or near WATERY LANE,E01020538,West Dorset 011C,Investigation complete; no suspect identified
c6fda18cf04ecc6a633a6e613a425fcd6e6d6eea212a953aab07b6d576642047,2014-04,Dorset Police,Dorset Police,-2.452793,50.644546,On or near BRISBANE ROAD,E01020552,Weymouth and Portland 001B,Investigation complete; no suspect identified
a5d4b806a904c31dae3d242e7d34c71b3ec991073d9e7bf4d0c2657477d787a3,2014-04,Dorset Police,Dorset Police,-2.029608,50.760223,On or near KILN CLOSE,E01020388,East Dorset 012G,Investigation complete; no suspect identified
f4537d308db9d00dcd598c7646aa8554c814b8b82bd3d5614ee4d997dc75d232,2014-04,Dorset Police,Dorset Police,-1.957890,50.608000,On or near MOUNT PLEASANT LANE,E01020481,Purbeck 006D,Investigation complete; no suspect identified
e35c27cc1bac4ff370a48d28c8fce2fdbb90d757600cf66406cdc604ddd87162,2014-04,Dorset Police,Dorset Police,-1.774774,50.730946,On or near Ferry Terminal,E01020367,Christchurch 006D,Investigation complete; no suspect identified
16906c69bb1828cc940c678519380c79733f8a3f3a63b4911ca5b9cc2dc8b243,2014-04,Dorset Police,Dorset Police,-1.885025,50.852074,On or near JOYS ROAD,E01020411,East Dorset 003A,Investigation complete; no suspect identified
23d175eb09f2f8050cd72ae40ee29c2960c11562cce6cc1b775eac8495abdcc9,2014-04,Dorset Police,Dorset Police,-2.421971,50.650399,On or near SUNNYFIELDS,E01020558,Weymouth and Portland 002B,Investigation complete; no suspect identified
3a9c37ac86a282c76af2695d7f5427fef07a51b385d8dce924261812e3bf7659,2014-04,Dorset Police,Dorset Police,-2.282600,50.779452,On or near HOPSFIELD,E01020430,North Dorset 008A,Investigation complete; no suspect identified
81350118653b130726394335a15de4988734d832d57ce7caa0c0ae749aceb550,2014-04,Dorset Police,Dorset Police,-1.830144,50.778656,On or near BRACKLEY CLOSE,E01020365,Christchurch 001D,Investigation complete; no suspect identified
ec296ae16660010006bda311cd322c67a676e4bec7ca2228953d27d07689b3a0,2014-04,Dorset Police,Dorset Police,-1.876274,50.809063,On or near PICKARD ROAD,E01020394,East Dorset 008E,Investigation complete; no suspect identified
