Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
1f7d973a0203c13f4c48978d0bffc0f7c2f20a2102738b5998fe9e53ce4aaa63,2014-04,Norfolk Constabulary,Norfolk Constabulary,1.409048,52.711951,On or near NORWICH ROAD,E01026744,North Norfolk 014A,Investigation complete; no suspect identified
1454aa31c88616243534d77c421c7b5e4e79bba8faf82669b243868f1fe08f03,2014-04,Norfolk Constabulary,Norfolk Constabulary,1.225351,52.641370,On or near NOTYKIN STREET,E01026791,Norwich 005A,Investigation complete; no suspect identified
224760fa46e9342eb9cf9110cb09a8a54402c29ea771b4656c89a50aa98dc13d,2014-04,Norfolk Constabulary,Norfolk Constabulary,1.262164,52.628058,On or near RIPLEY CLOSE,E01026862,Norwich 010E,Investigation complete; no suspect identified
234a0ea729dbbd2d3c9b4aa7b56d58c8f18f1b6e0b13bbb01157e33546045b08,2014-04,Norfolk Constabulary,Norfolk Constabulary,0.191675,52.683910,On or near LYNN ROAD,E01026720,King's Lynn and West Norfolk 013D,Investigation complete; no suspect identified
41de49ecc25445dc6d15f6268278fbfce19ef58ee856158b872ef72957d05b7c,2014-04,Norfolk Constabulary,Norfolk Constabulary,0.795408,52.612761,On or near Park/Open Space,E01026496,Breckland 008E,Investigation complete; no suspect identified
e5076997d747b31d1e710b1dd2b309d2b6a6182960f393a3ab48f1e01f3406f1,2014-04,Norfolk Constabulary,Norfolk Constabulary,0.849985,52.469446,On or near TOP DRIFTWAY,E01026491,Breckland 010E,Investigation complete; no suspect identified
e275fc570e0f5a1636f6bc5fb9da8229a2caa4c4756fbc79ef5cd316329e06dc,2014-04,Norfolk Constabulary,Norfolk Constabulary,1.258387,52.537246,On or near OLIVE AVENUE,E01026919,South Norfolk 009D,Investigation complete; no suspect identified
b0524b7079f58898780e199e5b5210748a4e4e4eda42f6f5a18c28a6caffaeed,2014-04,Norfolk Constabulary,Norfolk Constabulary,0.485757,52.938731,On or near Parking Area,E01026683,King's Lynn and West Norfolk 001D,Investigation complete; no suspect identified
cb67fd5cc38c5bb38cc6efbe3b5105554a8b0688a9e76278f3dd123b0effd899,2014-04,Norfolk Constabulary,Norfolk Constabulary,0.412923,52.767451,On or near ADA COXON CLOSE,E01026688,King's Lynn and West Norfolk 007B,Investigation complete; no suspect identified
3c3ab21aac46580be17ffb488a5cc9cf8b39fc4784d30867bff28f27234f9a65,2014-04,Norfolk Constabulary,Norfolk Constabulary,0.412923,52.767451,On or near ADA COXON CLOSE,E01026688,King's Lynn and West Norfolk 007B,Investigation complete; no suspect identified
9b39a6dd1705edb653d23143c2580ddd45061875e4a9c3acdefb647b6467abe5,2014-04,Norfolk Constabulary,Norfolk Constabulary,0.412923,52.767451,On or near ADA COXON CLOSE,E01026688,King's Lynn and West Norfolk 007B,Investigation complete; no suspect identified
bd31050c3605bd33fe17f7f79f6e5b6f1b5dc06583499ee8b5e17dd09fbe28ff,2014-04,Norfolk Constabulary,Norfolk Constabulary,0.412923,52.767451,On or near ADA COXON CLOSE,E01026688,King's Lynn and West Norfolk 007B,Investigation complete; no suspect identified
9d60c03a80106fc1678c3f08966ccb6db37ee9c0436f98ce74d66c90c19db56c,2014-04,Norfolk Constabulary,Norfolk Constabulary,0.412923,52.767451,On or near ADA COXON CLOSE,E01026688,King's Lynn and West Norfolk 007B,Investigation complete; no suspect identified
325578caf98572ba904f47b3d8447cb7754e60617bc23794901b75b68af75cf2,2014-04,Norfolk Constabulary,Norfolk Constabulary,0.412923,52.767451,On or near ADA COXON CLOSE,E01026688,King's Lynn and West Norfolk 007B,Investigation complete; no suspect identified
563f0fde3900f8a923a2290d507ecdc31e86d295d9a2085c734b9eb6c235f853,2014-04,Norfolk Constabulary,Norfolk Constabulary,0.412923,52.767451,On or near ADA COXON CLOSE,E01026688,King's Lynn and West Norfolk 007B,Investigation complete; no suspect identified
2509c8b144a7be4912517e32d29a528ebfddc0a1969e2354f3e502f43fb3fb2c,2014-04,Norfolk Constabulary,Norfolk Constabulary,0.412923,52.767451,On or near ADA COXON CLOSE,E01026688,King's Lynn and West Norfolk 007B,Investigation complete; no suspect identified
86e2c1dcb267d27bf44603675d0f954c3c3793a3f2385e9202f985634b0148f7,2014-04,Norfolk Constabulary,Norfolk Constabulary,1.122563,52.499037,On or near BUNWELL STREET,E01026878,South Norfolk 011B,Investigation complete; no suspect identified
1ab6976b1c2228abf001afacee4626160de635a27da9f8d95af4e1093a5011d6,2014-04,Norfolk Constabulary,Norfolk Constabulary,1.293650,52.642278,On or near TRAVERSE STREET,E01026846,Norwich 003F,Investigation complete; no suspect identified
d104aa45cab58a0e1778ab3f71fd2b866f9ef37cb909be54d9bdcc6533133031,2014-04,Norfolk Constabulary,Norfolk Constabulary,1.333997,52.647111,On or near BARNES CLOSE,E01026805,Norwich 004C,Investigation complete; no suspect identified
0817678d21ed7a26e3697a38b982355ecf2ad02914fbaca4e9296b056931146e,2014-04,Norfolk Constabulary,Norfolk Constabulary,1.330589,52.640219,On or near SKELTON ROAD,E01026804,Norwich 004B,Investigation complete; no suspect identified
2c263edc1e988f9f0170ad41554fc4fa6bfd2b0fb33c402c2fddc7287f40b64e,2014-04,Norfolk Constabulary,Norfolk Constabulary,1.109226,52.570777,On or near CHURCH STREET,E01026870,South Norfolk 005A,Investigation complete; no suspect identified
4272a5447a758158e1b479dc56d19dccba922e4667884dd5dbcb71a030f46f0d,2014-04,Norfolk Constabulary,Norfolk Constabulary,0.866325,52.569195,On or near BOSCOMBE ROAD,E01033041,Breckland 010G,Investigation complete; no suspect identified
23acfb1942dc028793cc325229258ac05567da3d23b9a251367d9e331463b05d,2014-04,Norfolk Constabulary,Norfolk Constabulary,1.212498,52.647745,On or near WHITE GATES,E01026925,South Norfolk 001F,Investigation complete; no suspect identified
77452fc40040f80d2fa610743b274ef219d79e777ec66c8a75244f714f482d64,2014-04,Norfolk Constabulary,Norfolk Constabulary,0.404874,52.760197,On or near TOWNSHEND TERRACE,E01026689,King's Lynn and West Norfolk 007C,Investigation complete; no suspect identified
e86554faa6f5e6937a5aace964f0b8f2fc6ff8563aec5d44eaff69a0e76844fa,2014-04,Norfolk Constabulary,Norfolk Constabulary,0.203913,52.696289,On or near ORCHARD DRIVE,E01026720,King's Lynn and West Norfolk 013D,Investigation complete; no suspect identified
849f07e25cec6f98a904b34a4b27371b5a9cbee88f848cae49abb669b58951bb,2014-04,Norfolk Constabulary,Norfolk Constabulary,0.189722,52.676213,On or near BURRETT ROAD,E01026720,King's Lynn and West Norfolk 013D,Investigation complete; no suspect identified
3d6c041c34656a99704f67f47d69bba722bd811306e2e74ef89dda52b26249e0,2014-04,Norfolk Constabulary,Norfolk Constabulary,1.290679,52.624175,On or near Pedestrian Subway,E01026822,Norwich 007A,Investigation complete; no suspect identified
