Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
9a91aae78875a25ab5cc511a0ece53bd3095efd548420aa3fb7c0017b7bcc75b,2013-09,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.033990,51.701856,On or near Supermarket,E01023301,Broxbourne 010E,Investigation complete; no suspect identified
082d9f423770471bbfb34bdbc907918e2d802271107152d6e72ae63551ec30ce,2013-09,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.033877,51.689094,On or near A121,E01023336,Broxbourne 013A,Investigation complete; no suspect identified
ca4f822b76179db958553a7f8700c4e8e86e282c4cf7bf1584b031f510000416,2013-09,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.066645,51.717658,On or near GLOVER CLOSE,E01023312,Broxbourne 007B,Investigation complete; no suspect identified
80f5ad827269637cf28830633c03a03088540347d58fdd4d0de4c12148a6e5a5,2013-09,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.066645,51.717658,On or near GLOVER CLOSE,E01023312,Broxbourne 007B,Investigation complete; no suspect identified
96774402f476cbf9c17c279bc352b38c75b33a3bd015cf3b18cfbc1a28b74f1f,2013-09,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.033877,51.689094,On or near A121,E01023336,Broxbourne 013A,Investigation complete; no suspect identified
d275e70d8460864dc7c9d923edf48834173e6f20ede933b7ce706b6c2b6dbda7,2013-09,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.052899,51.714805,On or near MORETON CLOSE,E01023309,Broxbourne 006C,Investigation complete; no suspect identified
4fbb67cfd768c23e9f6c028d21218e2b935f2474ce5ea75db00f9bec3b9404db,2013-09,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.034185,51.711049,On or near HIGH STREET,E01023302,Broxbourne 008A,Investigation complete; no suspect identified
ec8042c4c8d64072f624d377cd7e46fb6bfac0d2cbee83522a159106cc2545c2,2013-09,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.056389,51.690116,On or near LIEUTENANT ELLIS WAY,E01023293,Broxbourne 011A,Investigation complete; no suspect identified
e10532660801b3b2f0213c9cd9a8c8b3fcdbef9c856b34b32382815b5b93095e,2013-09,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.014917,51.686293,On or near STATION ROAD,E01023338,Broxbourne 013C,Investigation complete; no suspect identified
3f15b0b7aee1853c3387eff1480886070a217ddfb5973ce4506e3fb3b392e70f,2013-09,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.050946,51.703316,On or near RIPLEY WAY,E01023296,Broxbourne 011D,Investigation complete; no suspect identified
8bab698855c60121d1a72e673c8679e6d199467eabbc0e905de42efd7e80a74b,2013-09,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.040850,51.715585,On or near MYLNE CLOSE,E01023305,Broxbourne 008D,Investigation complete; no suspect identified
ca3ca77d7bc57d264b949005e13bbddc52b5e895219c4758a8800179509628ff,2013-09,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.027671,51.716380,On or near CHESHUNT WASH,E01023305,Broxbourne 008D,Investigation complete; no suspect identified
e691b193b947feee4809922cfda7c4f7d2cf5f98ccaa8f46c21e5de39f189052,2013-09,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.032025,51.724448,On or near WINNIPEG WAY,E01023310,Broxbourne 006D,Investigation complete; no suspect identified
d0a003ff715161adc6b5f813232cc45ab63164e8c9df427ceb0fd754a71b88df,2013-09,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.020957,51.685451,On or near QUEENS WAY,E01023338,Broxbourne 013C,Investigation complete; no suspect identified
fd359f3d753e195496a3120b51419b37a8c36ffd371ff96fef35f8695ec49f3b,2013-09,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.056688,51.707809,On or near CUSSONS CLOSE,E01023295,Broxbourne 011C,Investigation complete; no suspect identified
583f2788bba53f784963ccdee82b482320a93cdda81c1025b6dc573312e3e22b,2013-09,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.035824,51.693254,On or near RAYDON ROAD,E01023332,Broxbourne 012A,Investigation complete; no suspect identified
1efe81c7b24b66f277d93af4db71a0db68e7dd9b97ee86e1dc0d613d3dc8646d,2013-09,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.028491,51.700846,On or near STEWARD CLOSE,E01023299,Broxbourne 010C,Investigation complete; no suspect identified
93196bcff673646c7073f5f853467e1d928f178460f64bdd118fc8ceab18b0fb,2013-09,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.026496,51.700795,On or near SOUTHMEAD CRESCENT,E01023299,Broxbourne 010C,Investigation complete; no suspect identified
f1364baf1c312f7874cf643792cbdfe366e096201bb7650a6bfa77d837162173,2013-09,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.030300,51.691857,On or near TRINITY LANE,E01023335,Broxbourne 012D,Investigation complete; no suspect identified
ce995c9ba6368bec0b62595e1a991526d3bf3deac6928f4156290b9d92ddb7f4,2013-09,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.036202,51.682523,On or near M25,E01023337,Broxbourne 013B,Investigation complete; no suspect identified
4e33e38575cd123a6c0f73e43190a76b8fd8872257e1244936cb87e91d47f44c,2013-09,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.036240,51.703026,On or near Parking Area,E01023297,Broxbourne 010A,Investigation complete; no suspect identified
c5c312ec50b8f50550a7f331d8f28d473f0ac6ee4a3d09ff4bc4a089bf4a4615,2013-09,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.034575,51.692370,On or near THEOBALD'S GROVE,E01023332,Broxbourne 012A,Investigation complete; no suspect identified
ea93504df471619c41e3ae1ef4c6af9f842512edeeeebe56efe9eacc201471ec,2013-09,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.034601,51.695104,On or near CROSSBROOK STREET,E01023333,Broxbourne 012B,Investigation complete; no suspect identified
cea1ea9fcc577b9a04d0e26f8f3b29c7ae0398acd8eb3f55404a7f62ac58e571,2013-09,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.041100,51.708449,On or near CHURCH LANE,E01023303,Broxbourne 008B,Investigation complete; no suspect identified
bb3e6f6dea118858e4fba470179a4a37b99761ae79c1b92609180255a98419e2,2013-09,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.091604,51.709757,On or near CUFFLEY HILL,E01023311,Broxbourne 007A,Investigation complete; no suspect identified
8e1dd4347eced8ed7f0f61b5393405e663d5fde411463983b52d860027f3b2de,2013-09,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.034030,51.686569,On or near SWAN ROAD,E01023337,Broxbourne 013B,Investigation complete; no suspect identified
