Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
1a524273e0441b200f7fd403d8031d8463dc9409cdfdf0ade213b9688aa6fc1c,2013-09,Suffolk Constabulary,Suffolk Constabulary,0.531278,52.415489,On or near COVEY WAY,E01029944,Forest Heath 002E,Investigation complete; no suspect identified
1e6654b3beb81b4355292100e425117b61aa9708d8320a3b3e637fd3bca7b1a6,2013-09,Suffolk Constabulary,Suffolk Constabulary,0.742542,52.027406,On or near DOVE HOUSE MEADOW,E01029887,Babergh 008B,Investigation complete; no suspect identified
1e09f6207daa5d35660fbb629bd313bae49f4e9478c22226f803ca2d2e08a19d,2013-09,Suffolk Constabulary,Suffolk Constabulary,1.741841,52.514128,On or near WHEATACRE DRIVE,E01030241,Waveney 001B,Investigation complete; no suspect identified
eb8c3db98b0a509b5fb2d3b26d0ead00adc8dc3c154ff750c5b22d58e5a809e0,2013-09,Suffolk Constabulary,Suffolk Constabulary,0.491947,52.306286,On or near LARKSPUR CLOSE,E01033454,Forest Heath 005F,Investigation complete; no suspect identified
be1fb669f368d59c6178ed50a88de15b255cbdd1519995434d11f050e3d8b36c,2013-09,Suffolk Constabulary,Suffolk Constabulary,0.646189,52.393790,On or near Park/Open Space,E01029928,Forest Heath 001C,Investigation complete; no suspect identified
cde954166a600a136193b315f7ee9d28847d68b92e09d2ee09ca87381b39a680,2013-09,Suffolk Constabulary,Suffolk Constabulary,1.175800,52.043956,On or near SEVERN ROAD,E01029992,Ipswich 011D,Investigation complete; no suspect identified
bff6f43edd597cd6542dd2e52d08712e04ff04d55e6c1bf28d8c04a203e78b12,2013-09,Suffolk Constabulary,Suffolk Constabulary,0.462221,52.077755,On or near TIBERIUS CLOSE,E01030107,St Edmundsbury 014C,Investigation complete; no suspect identified
2534394d5e4845d24f9bbdc480d619943e8572ccd81f612ab43a8bc73830c4ef,2013-09,Suffolk Constabulary,Suffolk Constabulary,1.084613,52.037009,On or near CHARLOTTE'S,E01029879,Babergh 005C,Investigation complete; no suspect identified
6c32f295cdfb68f9045a3d0874d4a8c86567cb339d8ea55de0dc2c094f791d3b,2013-09,Suffolk Constabulary,Suffolk Constabulary,0.994641,52.191754,On or near A1308,E01030076,Mid Suffolk 010D,Investigation complete; no suspect identified
1c04a8c0dd9e654304bdc65b32270aa46bb8bc863ff3daaa1a68da65ddbff42f,2013-09,Suffolk Constabulary,Suffolk Constabulary,1.193445,52.033262,On or near WYVERN ROAD,E01033128,Ipswich 014F,Investigation complete; no suspect identified
