Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
cc091b90bf24d702bce492f78d4dc1604f7da7635a6d1fc933f3a6455c4648e2,2013-09,Lancashire Constabulary,Lancashire Constabulary,-2.316645,53.693863,On or near Supermarket,E01025365,Rossendale 008C,Investigation complete; no suspect identified
e6abfc4bbc1de0ea500ed1c3a6a29219b999d1d49ce1da09a84130fe76b2ed0f,2013-09,Lancashire Constabulary,Lancashire Constabulary,-2.316645,53.693863,On or near Supermarket,E01025365,Rossendale 008C,Investigation complete; no suspect identified
a666525eeb6340afbd9d4639b389833959e1c4eb6282865aa703896ca53803dc,2013-09,Lancashire Constabulary,Lancashire Constabulary,-2.323571,53.704396,On or near BEACONSFIELD STREET,E01025366,Rossendale 002C,Investigation complete; no suspect identified
89fae92cf9dcc0172d5b1e11ccec34f4a8e6a5fdf5f322e64642948bfa3919e7,2013-09,Lancashire Constabulary,Lancashire Constabulary,-2.316645,53.693863,On or near Supermarket,E01025365,Rossendale 008C,Investigation complete; no suspect identified
aab2a61c8f4e88b406c1356dbdbae8713311c75db822466149bfef2522c54349,2013-09,Lancashire Constabulary,Lancashire Constabulary,-2.321221,53.702146,On or near HOPE STREET,E01025366,Rossendale 002C,Investigation complete; no suspect identified
30ae08c823f35074bb336dd55b7a3c4644bdfbe206ba3d877cc45e40e734383c,2013-09,Lancashire Constabulary,Lancashire Constabulary,-2.324468,53.700897,On or near LYNDALE AVENUE,E01025363,Rossendale 002A,Investigation complete; no suspect identified
a45b7aebfe511903a3bff7746dc4b3a023e16c70e604951e2eef58664a0b6fea,2013-09,Lancashire Constabulary,Lancashire Constabulary,-2.324876,53.698721,On or near WHITECROFT AVENUE,E01025363,Rossendale 002A,Investigation complete; no suspect identified
7f73c2ea8d3105d878f772dad529079f7c4ba2adbc66fe05e135f5460d235a46,2013-09,Lancashire Constabulary,Lancashire Constabulary,-2.320029,53.704711,On or near SOUTH VIEW,E01025398,Rossendale 002G,Investigation complete; no suspect identified
5bc8f6f3d5047666eb72438a3e6b67f5673e1ad76370d25ea7ed64c148c2f47a,2013-09,Lancashire Constabulary,Lancashire Constabulary,-2.321060,53.704852,On or near PICCADILLY STREET,E01025398,Rossendale 002G,Investigation complete; no suspect identified
6dd2f6661d55489369693dd4487d7a363334e0dc9134db4496757f975dad62f5,2013-09,Lancashire Constabulary,Lancashire Constabulary,-2.321414,53.705552,On or near EAST GATE,E01025398,Rossendale 002G,Investigation complete; no suspect identified
1511f48d473f30d9d8496f82c66b14c74c30ef85c9a782040922bc64c092c92e,2013-09,Lancashire Constabulary,Lancashire Constabulary,-2.317270,53.704422,On or near ROSEWOOD AVENUE,E01025398,Rossendale 002G,Investigation complete; no suspect identified
94dafccdc7d8d6dbef8dbb400f81760eddd66134f614dcadff7e683b4b277b0f,2013-09,Lancashire Constabulary,Lancashire Constabulary,-2.321119,53.706668,On or near SHEEP GREEN,E01025396,Rossendale 002E,Investigation complete; no suspect identified
32f8ff8243a64a447117b0de73c59300be6582e199902c6807d88992726510f9,2013-09,Lancashire Constabulary,Lancashire Constabulary,-2.321414,53.705552,On or near EAST GATE,E01025398,Rossendale 002G,Investigation complete; no suspect identified
6ee99b09d7bfd9584aaa7fbc990b1a40082f20df31e7b072af603a3fe8f8223b,2013-09,Lancashire Constabulary,Lancashire Constabulary,-2.321060,53.704852,On or near PICCADILLY STREET,E01025398,Rossendale 002G,Investigation complete; no suspect identified
b1f282049b10c43f4e5850bccaef61b2e1ec8dcedd69eb1bba74789d874203d5,2013-09,Lancashire Constabulary,Lancashire Constabulary,-2.325291,53.709389,On or near SPRING LANE,E01025396,Rossendale 002E,Investigation complete; no suspect identified
74ecb0de4f1c8231e6529e5ccff208a99574a5e139d7e4ac560e3673999c289b,2013-09,Lancashire Constabulary,Lancashire Constabulary,-2.324466,53.704519,On or near DALE STREET,E01025397,Rossendale 002F,Investigation complete; no suspect identified
e28f6037fc15b4a3f35589cadf9f4b9b3c62ceee88f402f84e47eefd50875f09,2013-09,Lancashire Constabulary,Lancashire Constabulary,-2.324816,53.708716,On or near LOWER LANE,E01025396,Rossendale 002E,Investigation complete; no suspect identified
c0caf2634eeca5ed6db10aa6fa9d5cceed43d27a58a94bffd07aafcd10e02154,2013-09,Lancashire Constabulary,Lancashire Constabulary,-2.326889,53.706445,On or near JOHN STREET,E01025397,Rossendale 002F,Investigation complete; no suspect identified
abc8e399b878e90baee86362a6f64d822cbe4d321d23484f2c6030eb456fc08d,2013-09,Lancashire Constabulary,Lancashire Constabulary,-2.331876,53.701039,On or near WATERSIDE ROAD,E01025397,Rossendale 002F,Investigation complete; no suspect identified
d0c5e1d167f78a8bb2f067220bf048648a265abd556daf5fddb45b18869f5608,2013-09,Lancashire Constabulary,Lancashire Constabulary,-2.326000,53.710969,On or near CROSS STREET SOUTH,E01025396,Rossendale 002E,Investigation complete; no suspect identified
07588aa5e45c0582979ed0bb5afe49e8bc0832d36382c3b2872dc40847080ebf,2013-09,Lancashire Constabulary,Lancashire Constabulary,-2.326889,53.706445,On or near JOHN STREET,E01025397,Rossendale 002F,Investigation complete; no suspect identified
fa058594284a646214ad9eadfacff3436e04321084799b1941e111d245047c66,2013-09,Lancashire Constabulary,Lancashire Constabulary,-2.326589,53.710662,On or near STATION ROAD,E01025395,Rossendale 002D,Investigation complete; no suspect identified
