Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
11be20a7f888d6f8dedd5c8f596a37153d0f183dcbe3eaf1779a209a547ffcee,2013-09,Northamptonshire Police,Northamptonshire Police,-1.075672,52.340608,On or near SPENCER COURT,E01027027,Daventry 004E,Investigation complete; no suspect identified
e7ddd1a9c5f5fc5ec7be28748f4dd3d38ee9588135addbca4554f66b5b451aa1,2013-09,Northamptonshire Police,Northamptonshire Police,-0.837584,52.273611,On or near HUXLOE RISE,E01027248,Northampton 004D,Investigation complete; no suspect identified
af1171fb044c7adb3b1382362203133719cb6371fe6299fc2a0dd0a9d34bc5f7,2013-09,Northamptonshire Police,Northamptonshire Police,-0.838156,52.241610,On or near FAIRGROUND WAY,E01027140,Northampton 011A,Investigation complete; no suspect identified
c631c7ec0782b8fae0da0f05538b2f797872e423d89b2afd9475e118009ae5d7,2013-09,Northamptonshire Police,Northamptonshire Police,-0.912595,52.211292,On or near BARN OWL CLOSE,E01027163,Northampton 030B,Investigation complete; no suspect identified
32b1f8982dd02a22a3ac75471043dee10d351fd99ae905c12a8fda09721d7a7a,2013-09,Northamptonshire Police,Northamptonshire Police,-0.880801,52.256883,On or near BROOKFIELD ROAD,E01027189,Northampton 015D,Investigation complete; no suspect identified
e60d25bb5e872bc89035b036d60d0ee6f5273ed2c429ac1e4c62ec1c2af2ff69,2013-09,Northamptonshire Police,Northamptonshire Police,-0.796752,52.422825,On or near ROCK HILL,E01027126,Kettering 003D,Investigation complete; no suspect identified
7bfe5d0342c124d86e7468971dc8e3b36f330f5cdebe5ffc5f5c4216d2a2e370,2013-09,Northamptonshire Police,Northamptonshire Police,-0.894298,52.236116,On or near GUILDHALL ROAD,E01027223,Northampton 025A,Investigation complete; no suspect identified
6435825434d35494c3ae40a48b997d5d9bb20b4d9fefe904753353d85b495366,2013-09,Northamptonshire Police,Northamptonshire Police,-0.895435,52.228655,On or near Supermarket,E01032981,Northampton 028F,Investigation complete; no suspect identified
ecc070cfb068d781239a54969b08ceaf7715f7f034516e4caf6febfda2bc4e28,2013-09,Northamptonshire Police,Northamptonshire Police,-0.739877,52.394703,On or near NORTHAMPTON ROAD,E01027115,Kettering 007D,Investigation complete; no suspect identified
0d851cf82c3b54b8b9314adad3f39311afeab546f5d0467276a9ed5b38ac377d,2013-09,Northamptonshire Police,Northamptonshire Police,-0.684883,52.496966,On or near FRANKLIN FIELDS,E01026958,Corby 003B,Investigation complete; no suspect identified
