Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
869344ba7c42a28b5ea8e35cb17ce9c8c39cf1025d0357d35b3611ed73df6f7b,2013-09,Cambridgeshire Constabulary,Cambridgeshire Constabulary,0.121038,52.234583,On or near STANLEY AVENUE,E01033121,South Cambridgeshire 006H,Investigation complete; no suspect identified
30aa0b75cd621e7a461cfaf4847e1abc5563325493e98bac4640a9a277068240,2013-09,Cambridgeshire Constabulary,Cambridgeshire Constabulary,0.142063,52.153842,On or near MACAULAY AVENUE,E01018294,South Cambridgeshire 012C,Investigation complete; no suspect identified
7c2494a3378897c2584eb176bb3314d44e1c33d71179d4a6036af40e34a546c9,2013-09,Cambridgeshire Constabulary,Cambridgeshire Constabulary,-0.281684,52.628918,On or near LIVERMORE GREEN,E01015682,Peterborough 002D,Investigation complete; no suspect identified
791a1681ce24647450d88e6cd2b576ecea718646a5c7eed73f09b440e34c74d6,2013-09,Cambridgeshire Constabulary,Cambridgeshire Constabulary,0.132753,52.285877,On or near COOLIDGE CLOSE,E01018236,South Cambridgeshire 002D,Investigation complete; no suspect identified
bb0dd19b103d611851a027ce31c5c74679efa59ffaeb803f16afee34b9b56f0e,2013-09,Cambridgeshire Constabulary,Cambridgeshire Constabulary,-0.241376,52.572870,On or near DEAN'S COURT,E01015599,Peterborough 014A,Investigation complete; no suspect identified
09ee20f8b6b26bc176d69818c219477ed78ffe7a9f5913cd792be3a4d656502d,2013-09,Cambridgeshire Constabulary,Cambridgeshire Constabulary,-0.185089,52.156174,On or near CHURCH END,E01018246,South Cambridgeshire 013B,Investigation complete; no suspect identified
6123308734331496097ca523ba9932d34fe259eedb1a8d77592a8a9ccc6d281b,2013-09,Cambridgeshire Constabulary,Cambridgeshire Constabulary,-0.069712,52.219109,On or near Supermarket,E01033114,South Cambridgeshire 020B,Investigation complete; no suspect identified
34d6f2273069314d06a0fb72da9b04790171c6619fd017b696b03c514a92e523,2013-09,Cambridgeshire Constabulary,Cambridgeshire Constabulary,0.116062,52.232505,On or near ICENI WAY,E01033121,South Cambridgeshire 006H,Investigation complete; no suspect identified
83fb186c2ce568ce79a07c7bc22601b18cadbbb23b0c076351f88909274e843a,2013-09,Cambridgeshire Constabulary,Cambridgeshire Constabulary,0.073424,52.193671,On or near GRANTCHESTER ROAD,E01018225,South Cambridgeshire 009B,Investigation complete; no suspect identified
f484e2b2b50beff1a6884d47eacdf8085f5e3d302c8369405aef2fcdf140f69b,2013-09,Cambridgeshire Constabulary,Cambridgeshire Constabulary,0.119698,52.207074,On or near Supermarket,E01032797,Cambridge 007G,Investigation complete; no suspect identified
