Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
f2f35e6b5635255e2e72f52127a8b4140ff3553aee8059c524947d070b87c6f5,2014-06,Norfolk Constabulary,Norfolk Constabulary,1.727728,52.610081,On or near PRIORY PLAIN,E01026597,Great Yarmouth 005C,Investigation complete; no suspect identified
91c08d574162dfa9ee6f181cb47ce4cb5d99bb25e083bc63d3cf956f4aba4a01,2014-06,Norfolk Constabulary,Norfolk Constabulary,1.727318,52.604733,On or near YARMOUTH WAY,E01026625,Great Yarmouth 006D,Investigation complete; no suspect identified
16f3366f59e212fa3977d2412f83ac00876422f3f1933b300326dbf09e73836d,2014-06,Norfolk Constabulary,Norfolk Constabulary,1.296348,52.638641,On or near WALL LANE,E01026826,Norwich 007E,Investigation complete; no suspect identified
ea23ff7437d2eed5bf9ceb9fd3e155f7f1e4c47e14e39406df7fb4b3c3344d83,2014-06,Norfolk Constabulary,Norfolk Constabulary,0.832163,52.570179,On or near DALE CLOSE,E01026488,Breckland 009C,Investigation complete; no suspect identified
6a6b862de3daec875c77ca52f18e287e90835f9e4f67dca67cf093a144cf52c0,2014-06,Norfolk Constabulary,Norfolk Constabulary,1.735752,52.609216,On or near PAGET ROAD,E01026598,Great Yarmouth 005D,Investigation complete; no suspect identified
f26c77ec5772b479f8d9f9f1752f3c5552f14b15cf02818227d177d59e053532,2014-06,Norfolk Constabulary,Norfolk Constabulary,0.832163,52.570179,On or near DALE CLOSE,E01026488,Breckland 009C,Investigation complete; no suspect identified
821db118b7ee409265b7e2111191591977a8c2980199f98084cb5dfc92950ad2,2014-06,Norfolk Constabulary,Norfolk Constabulary,1.330917,52.643555,On or near PORSON ROAD,E01026805,Norwich 004C,Investigation complete; no suspect identified
04d59eeabcf2cbe77e5219a183b44bfc974ef48cb3329e521910821791ea0593,2014-06,Norfolk Constabulary,Norfolk Constabulary,1.278392,52.643663,On or near HAVERS ROAD,E01026829,Norwich 002B,Investigation complete; no suspect identified
d05b143ed69238391bf5463d1a107989b7588deca10de6c4e299c5d26c69209e,2014-06,Norfolk Constabulary,Norfolk Constabulary,1.324231,52.589727,On or near CHURCH CLOSE,E01026937,South Norfolk 006G,Investigation complete; no suspect identified
98a97d0113829216cfe2ab03a01a6f26cbdceabc043ee634382dd672d566b6d3,2014-06,Norfolk Constabulary,Norfolk Constabulary,1.267271,52.458863,On or near MILL ROAD,E01026903,South Norfolk 012D,Investigation complete; no suspect identified
ea27cc29e2268250ec6bf28f9a8567cf0afb58a256c1763086cbce20f78e5581,2014-06,Norfolk Constabulary,Norfolk Constabulary,1.274165,52.650013,On or near PETERSON ROAD,E01026834,Norwich 002G,Investigation complete; no suspect identified
8fdd164c302b61baded94ce89e976b7b6fb0af417d7fc894e53dad13132f5997,2014-06,Norfolk Constabulary,Norfolk Constabulary,0.231270,52.730376,On or near CHALK ROAD,E01026719,King's Lynn and West Norfolk 013C,Investigation complete; no suspect identified
3dd54cdf361f39e2cbe19ca798452259f92863a5734215a351d56b9edd4686b1,2014-06,Norfolk Constabulary,Norfolk Constabulary,1.295289,52.646180,On or near AFGHAN PLACE,E01026843,Norwich 003C,Investigation complete; no suspect identified
263768cd2d8af0f85a3d1a4186067ad4ead82dde2281d439945f7b5f29f7f6e9,2014-06,Norfolk Constabulary,Norfolk Constabulary,1.304487,52.638351,On or near OLD ALLOTMENT COURT,E01026848,Norwich 015A,Investigation complete; no suspect identified
421efcb0f1768c8e7f7df678328a2955e7e9ab252c0c8383931c6b678f44b8ec,2014-06,Norfolk Constabulary,Norfolk Constabulary,1.286485,52.626981,On or near Pedestrian Subway,E01033437,Norwich 011H,Investigation complete; no suspect identified
0b7569f9d23f1ef7154733a4a6d8bd4dffa3fb5aca0de959b2d33573c3231e7e,2014-06,Norfolk Constabulary,Norfolk Constabulary,1.292488,52.632912,On or near DUKE STREET,E01026823,Norwich 007B,Investigation complete; no suspect identified
408980973a93a6fed67283370b8e98720d08085cc9fd317efb15142c974c0977,2014-06,Norfolk Constabulary,Norfolk Constabulary,1.312047,52.613389,On or near BRACONDALE MILL GATE,E01033441,Norwich 014D,Investigation complete; no suspect identified
61e7419fb8a172e2522c40a22d853c2cd66e95ada402d9e137a7c205a582ddb0,2014-06,Norfolk Constabulary,Norfolk Constabulary,0.740294,52.418200,On or near MONKSGATE,E01026465,Breckland 015A,Investigation complete; no suspect identified
1aae648c3e0ccc8ce438c2a14cc0b59c7ad568d6623131433ced1f12d2d59f44,2014-06,Norfolk Constabulary,Norfolk Constabulary,0.398299,52.751680,On or near ST JAMES STREET,E01026699,King's Lynn and West Norfolk 011B,Investigation complete; no suspect identified
b20eaec3ec5c820139e2be6b01400e22ae1bdaf20c43396b775cb6efdcdcbae8,2014-06,Norfolk Constabulary,Norfolk Constabulary,1.309435,52.661183,On or near ADDEY CLOSE,E01026541,Broadland 009B,Investigation complete; no suspect identified
caa25dc8270ba5f4795dd73cc8e253133bc4396e29ac440519da14270e4376a5,2014-06,Norfolk Constabulary,Norfolk Constabulary,1.357559,52.728927,On or near HIGH STREET,E01026516,Broadland 003C,Investigation complete; no suspect identified
d97a966575b07b798477ad66bf713ee26be82b2b4945111dd845a5d00929bf17,2014-06,Norfolk Constabulary,Norfolk Constabulary,1.241078,52.631731,On or near EARLHAM WEST CENTRE,E01026796,Norwich 005F,Investigation complete; no suspect identified
59f8afd5cdabfaaee4645a18c3f29024dbd3f8b209d8798da4707adb1c3b6ec9,2014-06,Norfolk Constabulary,Norfolk Constabulary,1.727728,52.610081,On or near PRIORY PLAIN,E01026597,Great Yarmouth 005C,Investigation complete; no suspect identified
2ebbcd9bd6ab6f84579ce3c19139b488abd62d7922fa5b6d4b04829e82733ddf,2014-06,Norfolk Constabulary,Norfolk Constabulary,0.827249,52.532797,On or near MARLPIT ROAD,E01026491,Breckland 010E,Investigation complete; no suspect identified
a5d0844aa5d86d9d30cc0caed02580e4ad6c580cb38ae097f5595cce62d962ce,2014-06,Norfolk Constabulary,Norfolk Constabulary,1.291256,52.664531,On or near MARAUDER ROAD,E01026797,Norwich 001A,Investigation complete; no suspect identified
0d9bed059c77e5b5d26eb721bde56716e6febe0c3c7a6faff23efd2b834b4e9c,2014-06,Norfolk Constabulary,Norfolk Constabulary,1.337277,52.643205,On or near COLLS ROAD,E01026809,Norwich 004G,Investigation complete; no suspect identified
