Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
b2b9adc05860176d8aaeac4ab027c24793786d3ea0183e1d6041b1b20e0043a5,2015-06,Surrey Police,Surrey Police,-0.457270,51.373157,On or near HIGH STREET,E01030374,Elmbridge 012D,Investigation complete; no suspect identified
782b0f5dfe409850397abe9497b51fe480760a00f35b60e2e616bd1e13a662aa,2015-06,Surrey Police,Surrey Police,-0.464724,51.365926,On or near BROOKLANDS LANE,E01030376,Elmbridge 012F,Investigation complete; no suspect identified
c15202e3c9ac9a4f39963e4d57d6934ee20a90db95c7c8a79da8817f092f8609,2015-06,Surrey Police,Surrey Police,-0.452061,51.368277,On or near PYRCROFT LANE,E01030375,Elmbridge 012E,Investigation complete; no suspect identified
0b20db3ffd6f6b34c226b31e6072c7bc23c1121044cbb0201dea0eee82297173,2015-06,Surrey Police,Surrey Police,-0.455282,51.364786,On or near BRUMANA CLOSE,E01030376,Elmbridge 012F,Investigation complete; no suspect identified
b18a8a35577670987eab2aa16fcd7ea8e708eadcd31ba327bb4be7f69bb20750,2015-06,Surrey Police,Surrey Police,-0.378373,51.396065,On or near POOL CLOSE,E01030334,Elmbridge 003A,Investigation complete; no suspect identified
23a2dd459e9dc7685a3fe0c79b9f0441b9bdb2248acdc94076fb659424c67c53,2015-06,Surrey Police,Surrey Police,-0.376530,51.403449,On or near THE CRESCENT,E01030331,Elmbridge 001B,Investigation complete; no suspect identified
a83acefc263bcc3e17e7ea53aad433bca33a034d562f4f10fa7295d80b6e1a47,2015-06,Surrey Police,Surrey Police,-0.384020,51.328799,On or near WATER LANE,E01030343,Elmbridge 018C,Investigation complete; no suspect identified
86320acabebd216cd1e8e4c98826b09541983271c557368ca002d7aed4780cc3,2015-06,Surrey Police,Surrey Police,-0.451407,51.375319,On or near AGNES SCOTT COURT,E01030371,Elmbridge 012A,Investigation complete; no suspect identified
93d0aeca42d51b1808a208ab83a78b38dad218df3b65376755c2cb2be5bff5b3,2015-06,Surrey Police,Surrey Police,-0.451050,51.376087,On or near DOVECOTE CLOSE,E01030371,Elmbridge 012A,Investigation complete; no suspect identified
d78491a9b2da905435042210a16604946b0c2ad5a418aed6a1ba0f1d5d019d22,2015-06,Surrey Police,Surrey Police,-0.267969,51.326133,On or near SQUIRREL'S WAY,E01030419,Epsom and Ewell 008D,Investigation complete; no suspect identified
b474fddda2f84a9c18c4ba03cb94e049fb50ad2fb3aa4bae19d9dce41447a7fc,2015-06,Surrey Police,Surrey Police,-0.279605,51.316673,On or near WILMERHATCH LANE,E01030417,Epsom and Ewell 009D,Investigation complete; no suspect identified
8780d044b3e8320eefdf42952a0aac21c7449bab3ae00ae2aa18d67023840210,2015-06,Surrey Police,Surrey Police,-0.279605,51.316673,On or near WILMERHATCH LANE,E01030417,Epsom and Ewell 009D,Investigation complete; no suspect identified
047631b07974d3b9eb30645e44871a2453f4759c1cec3923fd0f081dbd1eb3b5,2015-06,Surrey Police,Surrey Police,-0.270256,51.339350,On or near Parking Area,E01030403,Epsom and Ewell 007C,Investigation complete; no suspect identified
4a52e4ad9a54cbd9c51d56d6f87ae0cbf92dd74a62196983d010c6fe26df09e1,2015-06,Surrey Police,Surrey Police,-0.268515,51.340610,On or near POUND LANE,E01030384,Epsom and Ewell 005B,Investigation complete; no suspect identified
9046cf459f9c8b6ca9ab3e6a36636fad9a1f86aff08a786bbe88071c150461f0,2015-06,Surrey Police,Surrey Police,-0.269835,51.339874,On or near POUND LANE,E01030409,Epsom and Ewell 007E,Investigation complete; no suspect identified
63f1f0e9d87106cf727f13abdea32d8ac5fd1f90e78765a324eb81b5cfc1b2b4,2015-06,Surrey Police,Surrey Police,-0.257520,51.342039,On or near Petrol Station,E01030410,Epsom and Ewell 007F,Investigation complete; no suspect identified
4521b0d56c516f417ce73be5504696e6804dfec32efa8e96d705cb5f162abb1f,2015-06,Surrey Police,Surrey Police,-0.257520,51.342039,On or near Petrol Station,E01030410,Epsom and Ewell 007F,Investigation complete; no suspect identified
6b9e8178c5c5068a876aebb4be702d418b1b9248a736e6880052182ebf0200f6,2015-06,Surrey Police,Surrey Police,-0.259818,51.335580,On or near DELAPORTE CLOSE,E01030412,Epsom and Ewell 008C,Investigation complete; no suspect identified
28a4402a840739c33b33f1beacf4bf71156ca9561edcb9ac0579b85fb40b2f87,2015-06,Surrey Police,Surrey Police,-0.263341,51.334284,On or near Supermarket,E01030411,Epsom and Ewell 008B,Investigation complete; no suspect identified
9c7090cb826e4bd2f90e941003a9679c1b05c9efc1ba9f557e1526ee919c97e9,2015-06,Surrey Police,Surrey Police,-0.263341,51.334284,On or near Supermarket,E01030411,Epsom and Ewell 008B,Investigation complete; no suspect identified
9ff4ac0ef44f220b3beb5bc50b74f7875c34af8885cae25f987a6badf432b7ab,2015-06,Surrey Police,Surrey Police,-0.267262,51.332336,On or near Shopping Area,E01030411,Epsom and Ewell 008B,Investigation complete; no suspect identified
3598012fcb6d371adc091bcfdf9c18f266cf5a751b37144304d7933b63be8bdc,2015-06,Surrey Police,Surrey Police,-0.267006,51.333403,On or near HIGH STREET,E01030411,Epsom and Ewell 008B,Investigation complete; no suspect identified
51183845fd2981dc0f9eeed78292f8eae1837b54db5f5ad1a70f555c430a4936,2015-06,Surrey Police,Surrey Police,-0.246527,51.333988,On or near WALLACE FIELDS,E01030396,Epsom and Ewell 010D,Investigation complete; no suspect identified
ea86a164f3d572da29df0ef16737d84e658517a7a048845c3d69507707cc415e,2015-06,Surrey Police,Surrey Police,-0.249723,51.349980,On or near HIGH STREET,E01030392,Epsom and Ewell 010C,Investigation complete; no suspect identified
