Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
c4ed88e4f6a2cec5d3fed9f3509912aade84bb0b8175182b17805f076b3a6597,2015-06,Cambridgeshire Constabulary,Cambridgeshire Constabulary,-0.182678,52.331093,On or near Shopping Area,E01018151,Huntingdonshire 012E,Investigation complete; no suspect identified
61087fd8aa9e93c55fde4a3ce4635d1b97896fdb7eafe60748b56dc0775ad2ad,2015-06,Cambridgeshire Constabulary,Cambridgeshire Constabulary,0.123160,52.202956,On or near Further/Higher Educational Building,E01032797,Cambridge 007G,Investigation complete; no suspect identified
c31a9f755f33a243d71b03ac4be42d42a8f8c5b909011942579975d2c1482c77,2015-06,Cambridgeshire Constabulary,Cambridgeshire Constabulary,-0.230743,52.602391,On or near FURZE RIDE,E01015607,Peterborough 007A,Investigation complete; no suspect identified
4ff542eb3695e46f185196c3f5bf819b511ef651ca500ef8fc03cdf2d630990d,2015-06,Cambridgeshire Constabulary,Cambridgeshire Constabulary,-0.237360,52.599424,On or near PRIMROSE CLOSE,E01015633,Peterborough 008D,Investigation complete; no suspect identified
9071a44eb7023c6a5d6ed7a65a4e1b7746ee1443b12fc314fd91f922855843ea,2015-06,Cambridgeshire Constabulary,Cambridgeshire Constabulary,-0.275274,52.592780,On or near PENDLETON,E01015661,Peterborough 010D,Investigation complete; no suspect identified
528ea56a82e789f10725ee5d50177e9cda1e12959e8cb7838eb62592aec39097,2015-06,Cambridgeshire Constabulary,Cambridgeshire Constabulary,-0.232191,52.601280,On or near EASTERN AVENUE,E01015607,Peterborough 007A,Investigation complete; no suspect identified
ed8922f56f43572526f1affb725d2d87f0c7ee5368b6c00ac01102dc9ff14bc8,2015-06,Cambridgeshire Constabulary,Cambridgeshire Constabulary,0.119215,52.209231,On or near Parking Area,E01032797,Cambridge 007G,Investigation complete; no suspect identified
f9ec2e4a60075b17b7f7e543f3fdc595bd2045eec575caebf04ee4c430e01129,2015-06,Cambridgeshire Constabulary,Cambridgeshire Constabulary,0.132258,52.677549,On or near MUNDAY WAY,E01018094,Fenland 001A,Investigation complete; no suspect identified
1c409e2584e1e17922574470edff542936c7967372ea3e9780b1d01a0ec0f30f,2015-06,Cambridgeshire Constabulary,Cambridgeshire Constabulary,0.045873,52.279349,On or near HADDOW'S CLOSE,E01018266,South Cambridgeshire 003B,Investigation complete; no suspect identified
5ce76b4101bf50aacb305aa4319f33a2db8d3b9bfee91e6d5b936e8e32891d54,2015-06,Cambridgeshire Constabulary,Cambridgeshire Constabulary,-0.240030,52.591021,On or near AIREDALE CLOSE,E01015654,Peterborough 012E,Investigation complete; no suspect identified
12efcb7e1e4873cf5dd4d00432c9bd2fabe39c4b2b456776584775e2ace9199c,2015-06,Cambridgeshire Constabulary,Cambridgeshire Constabulary,0.141649,52.203350,On or near RIVAR PLACE,E01017989,Cambridge 008C,Investigation complete; no suspect identified
9e2832540873a956e27cefd7061e4ba5f09955ee30eaa1e0e069c97c2dc43ab3,2015-06,Cambridgeshire Constabulary,Cambridgeshire Constabulary,0.071165,52.555551,On or near TRUMAN AVENUE,E01018086,Fenland 009B,Investigation complete; no suspect identified
298ba9900a659b01f9e3d2adb710dc16ab44850bb85988f7ca31ce5cc0a172cc,2015-06,Cambridgeshire Constabulary,Cambridgeshire Constabulary,0.137679,52.205715,On or near ST MATTHEW'S STREET,E01017989,Cambridge 008C,Investigation complete; no suspect identified
232e00faa703c0e54269e95a6b98dee715f1e755db5bdef0707aea39eb9d2d36,2015-06,Cambridgeshire Constabulary,Cambridgeshire Constabulary,0.127190,52.207352,On or near SHORT STREET,E01032797,Cambridge 007G,Investigation complete; no suspect identified
f3c8f08ea9d2da810be3e6f11d4b4119877adee34bd10a640365740892401d35,2015-06,Cambridgeshire Constabulary,Cambridgeshire Constabulary,0.094894,52.208722,On or near PERRY COURT,E01017984,Cambridge 007D,Investigation complete; no suspect identified
97c5157a397f59a5c5925807963379e3b97647c6508a00d101c22a0ebd3b547d,2015-06,Cambridgeshire Constabulary,Cambridgeshire Constabulary,0.127212,52.210877,On or near VICTORIA AVENUE,E01032797,Cambridge 007G,Investigation complete; no suspect identified
6d2e8b90c21ef00ff561895dcee5b18a9069b5d74641b056c3f57861c3e5ae09,2015-06,Cambridgeshire Constabulary,Cambridgeshire Constabulary,0.141982,52.175892,On or near Further/Higher Educational Building,E01017995,Cambridge 013D,Investigation complete; no suspect identified
9614b7b01941e81bcb163e260a7c7c4bc3d08fa4c4ad65b867998314f60cb1c5,2015-06,Cambridgeshire Constabulary,Cambridgeshire Constabulary,0.127212,52.210877,On or near VICTORIA AVENUE,E01032797,Cambridge 007G,Investigation complete; no suspect identified
d9d42bd5d8f3071ecb0b96082b27e88b7ee681c58a39b6cd2eeeb11ef3be9600,2015-06,Cambridgeshire Constabulary,Cambridgeshire Constabulary,0.120156,52.604181,On or near BRAMLEY COURT,E01018068,Fenland 004C,Investigation complete; no suspect identified
