Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
5537b4c2c3ef1d4671f87b5610a9775ab7e1446e947b5a0a62581656beebc3c6,2015-06,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.600916,51.764213,On or near THE LARCHES,E01023416,Dacorum 006C,Investigation complete; no suspect identified
337dd591cc5dad74db7b041016900079a67e6546e01b968b0ff890824336c200,2015-06,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.600916,51.764213,On or near THE LARCHES,E01023416,Dacorum 006C,Investigation complete; no suspect identified
b25a793c2f604193ba450d15bd0d80b8ec8a199526ce163bf789927eeee1aa20,2015-06,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.575628,51.764269,On or near EDDY STREET,E01023370,Dacorum 012B,Investigation complete; no suspect identified
e5483a1a1f627e8d196a86908a8fa5a0a4d0ba3c22216f7777013dc1ccfbe018,2015-06,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.579478,51.759793,On or near GREENWAY,E01023371,Dacorum 012C,Investigation complete; no suspect identified
a60b70f99bf863c2b5c69df430f3ce620823ade9ed485a365e6899aa016bb083,2015-06,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.587945,51.768464,On or near THE MEADS,E01023417,Dacorum 006D,Investigation complete; no suspect identified
3108609d5f674de48bca7f6d79c3c72ef9e2aae955347357001299e6d8124868,2015-06,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.580819,51.767839,On or near NORTH BRIDGE ROAD,E01023363,Dacorum 009C,Investigation complete; no suspect identified
fa9853252f5b38bce2cb98f5ee1d33576a9250b513579915604b5ca7732c3f19,2015-06,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.564127,51.760452,On or near Shopping Area,E01023361,Dacorum 009A,Investigation complete; no suspect identified
b4af8599f27e06271cd97e0807cf7a95ae167c6e356c142a0bd44ab771dedfe2,2015-06,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.552896,51.755036,On or near CEDAR WAY,E01023367,Dacorum 014C,Investigation complete; no suspect identified
0cd11ed63affa87ccad8f399e0edcc6fea807634c654617aadb3040af56335ae,2015-06,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.565200,51.760411,On or near Police Station,E01023365,Dacorum 014A,Investigation complete; no suspect identified
804f0530738e3256c2092cec46bc1f07f71d61ad3766f2710690c6980f2ca8a0,2015-06,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.564127,51.760452,On or near Shopping Area,E01023361,Dacorum 009A,Investigation complete; no suspect identified
9d54fbb4e1105da06d16649c72781cb3b4e283879a58338c88996701ca14e37d,2015-06,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.356198,51.816175,On or near HIGH STREET,E01023701,St Albans 003C,Investigation complete; no suspect identified
