Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
5eb74904632b5c55310c29517097e17c8d1263e066853485cbce0b6558051e11,2012-09,Sussex Police,Sussex Police,-0.381741,50.816731,On or near ST MATTHEW'S ROAD,E01031791,Worthing 008A,Investigation complete; no suspect identified
22540a3fcf07ff063150aba6f121a4642dc120fd377d062880ee0042290e1bdd,2012-09,Sussex Police,Sussex Police,-0.431920,50.816841,On or near A259,E01031802,Worthing 013A,Investigation complete; no suspect identified
1e9370674641b87cbd68ad6d771f226f428859ee3d5682fc5e53f1cfe04ca134,2012-09,Sussex Police,Sussex Police,-0.422423,50.809671,On or near NUTLEY CLOSE,E01031803,Worthing 013B,Investigation complete; no suspect identified
b10dfdfc3ed8ac448c6d8938007617651e034632a9e640beae663d072bb9179d,2012-09,Sussex Police,Sussex Police,-0.378742,50.810691,On or near ERISWELL ROAD,E01031808,Worthing 011D,Investigation complete; no suspect identified
85dec4faf353d6697ee86ed24a2ef282a33be8404d154d0a059d3a794380607b,2012-09,Sussex Police,Sussex Police,-0.378920,50.810037,On or near Supermarket,E01031808,Worthing 011D,Investigation complete; no suspect identified
9b0e6b0eadaf711713ef8b470c6de9ddb932d4fcf8d5211b0c7e4c84668377ca,2012-09,Sussex Police,Sussex Police,-0.407171,50.816595,On or near Sports/Recreation Area,E01031816,Worthing 012E,Investigation complete; no suspect identified
4d05262f756bc72f9091a833187cd6569959ab24583e29ce03521e35eb311546,2012-09,Sussex Police,Sussex Police,-0.342839,50.817669,On or near SEAMILL WAY,E01031832,Worthing 009C,Investigation complete; no suspect identified
a3a49a2354ef709086caedb55410c6606b0d58c6e83896a18c5c6e17f0d09e75,2012-09,Sussex Police,Sussex Police,-0.369281,50.812942,On or near CHATSWORTH ROAD,E01031789,Worthing 011C,Investigation complete; no suspect identified
e24865b9a1e0c3aa3286302b3006bddc38079cd868cdac403dd4b46e184aa45e,2012-09,Sussex Police,Sussex Police,-0.377547,50.818534,On or near CROSS STREET,E01031791,Worthing 008A,Investigation complete; no suspect identified
993e30850bcd748f529ecc1dc869314793b6c81f69f46a4c5540c347c7585e6b,2012-09,Sussex Police,Sussex Police,-0.375354,50.818324,On or near RAILWAY APPROACH,E01031791,Worthing 008A,Investigation complete; no suspect identified
94e5bdfc4ac2ec6bd5789c0b0724330ebc3cb8a882574550d9f7fe82f0e0c25d,2012-09,Sussex Police,Sussex Police,-0.411778,50.835598,On or near Supermarket,E01031792,Worthing 003A,Investigation complete; no suspect identified
57415dddb1026c794af23f505b6c1a7397cc91ae5122e5cc6ce647ec8baccc8e,2012-09,Sussex Police,Sussex Police,-0.431920,50.816841,On or near A259,E01031802,Worthing 013A,Investigation complete; no suspect identified
1cc213b5b0df9322096d59174c91294de69b99fcb1bd1e21b1e5bd08b082a18a,2012-09,Sussex Police,Sussex Police,-0.384088,50.814938,On or near COWPER ROAD,E01031811,Worthing 010E,Investigation complete; no suspect identified
d091d70b9d81d95b9920669105dc45f42c05779d48f6e89d27aa87d17c5eff6f,2012-09,Sussex Police,Sussex Police,-0.403153,50.809517,On or near COURTLANDS WAY,E01031814,Worthing 012C,Investigation complete; no suspect identified
32cc0707ed46cb55944eb9094e4abeaff5cc7c621614b79ea0d1468935a064db,2012-09,Sussex Police,Sussex Police,-0.399161,50.810028,On or near WALLACE AVENUE,E01031814,Worthing 012C,Investigation complete; no suspect identified
8276d23fc26894be73b2d7bec2ebbc60f31965bde6fe0fa93b4aa9b3e2b9268a,2012-09,Sussex Police,Sussex Police,-0.407171,50.816595,On or near Sports/Recreation Area,E01031816,Worthing 012E,Investigation complete; no suspect identified
