Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
fe001896096ae32df7ef972c4440310faca904d10979d6e18ecf3129a447719d,2013-11,Cheshire Constabulary,Cheshire Constabulary,-2.636412,53.385569,On or near ROSSALL ROAD,E01012495,Warrington 016A,Suspect charged
e77b18625cf35d9eaceb7b30f69f56991317787becee4a367f82e4bef9197838,2013-11,Cheshire Constabulary,Cheshire Constabulary,-2.730343,53.359647,On or near ASHLEY WAY,E01012441,Halton 007D,Investigation complete; no suspect identified
6fbcbe47d7b2c17e23b9f65f1af59eb9f4d231bd346047a1ae8c79838cdc927b,2013-11,Cheshire Constabulary,Cheshire Constabulary,-2.599094,53.391902,On or near ROLLESTON STREET,E01033300,Warrington 018F,Investigation complete; no suspect identified
553365e7f0327e5af886c323a06cb9060b62e578cb4308de1e3bf6ab73a25ba9,2013-11,Cheshire Constabulary,Cheshire Constabulary,-2.932270,53.283586,On or near WOODVALE ROAD,E01018542,Cheshire West and Chester 008D,Investigation complete; no suspect identified
208110475e950ee6e00822d26e98a68e4c78a85b5869920d440de075e22fc41c,2013-11,Cheshire Constabulary,Cheshire Constabulary,-2.187623,53.156225,On or near JOHNSON CLOSE,E01018406,Cheshire East 029C,Investigation complete; no suspect identified
3edc65e8254d441244d144a50b7140efb8480da906c32f7853c90adc119a31e3,2013-11,Cheshire Constabulary,Cheshire Constabulary,-2.575832,53.415270,On or near GRASMERE AVENUE,E01012534,Warrington 006B,Investigation complete; no suspect identified
a86ce1d9f4f50bcf9cfd330b630feb49efcff4689a7e2df483ed24c30ead88f6,2013-11,Cheshire Constabulary,Cheshire Constabulary,-2.523307,53.255719,On or near PARK STREET,E01018709,Cheshire West and Chester 020A,Investigation complete; no suspect identified
6252a3533a72978cd2210cd5564217af8f101b18e45e06082a9e9fba11b44ab0,2013-11,Cheshire Constabulary,Cheshire Constabulary,-2.592274,53.386974,On or near BRIDGE STREET,E01033300,Warrington 018F,Investigation complete; no suspect identified
9169e60f14b4e65ff3efef5f8e418f9e1ba1015ea4141604a5df8fd1214769f8,2013-11,Cheshire Constabulary,Cheshire Constabulary,-2.615777,53.414244,On or near RUTHIN CLOSE,E01012561,Warrington 009A,Investigation complete; no suspect identified
2ddc8b81c7792883930ef7514b306453fb28269443c511f64589395c9b75acc3,2013-11,Cheshire Constabulary,Cheshire Constabulary,-2.570201,53.416097,On or near TEAL CLOSE,E01012533,Warrington 008C,Investigation complete; no suspect identified
b648bc17d577c48b497f7e9ab190e73ba12af58f87fd0700bff03b62e1deb46b,2013-11,Cheshire Constabulary,Cheshire Constabulary,-2.612675,53.411932,On or near MONKSWOOD CLOSE,E01012561,Warrington 009A,Investigation complete; no suspect identified
51ad95504e1c8c0e2b318bde45436f70e885e92f2df2a3a8131ddb8132d39d1d,2013-11,Cheshire Constabulary,Cheshire Constabulary,-2.615777,53.414244,On or near RUTHIN CLOSE,E01012561,Warrington 009A,Investigation complete; no suspect identified
e3f579ae946d1b72a6459c89bbff969bdec13d5040ab611232360e8c1a48c1cf,2013-11,Cheshire Constabulary,Cheshire Constabulary,-2.649595,53.390352,On or near CUNNINGHAM CLOSE,E01012500,Warrington 015E,Investigation complete; no suspect identified
34a4f186d6001ce7a33bb73095a4a23ba77b6d0859eef38dd88745a848ce1518,2013-11,Cheshire Constabulary,Cheshire Constabulary,-2.572515,53.414801,On or near DOVEDALE CLOSE,E01012533,Warrington 008C,Investigation complete; no suspect identified
