Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
79795642a356cdbe34682002c6260bd154569d4bc1e3643e6e579382b8e5b4a2,2013-11,Dorset Police,Dorset Police,-2.431407,50.712298,On or near ROBINS GARTH,E01020519,West Dorset 010B,Investigation complete; no suspect identified
64d73308f4e2c02fe708a4db85dfae1b37fa071954aee950e1c79d363dee21a7,2013-11,Dorset Police,Dorset Police,-1.953239,50.853183,On or near QUEEN'S COPSE LANE,E01020398,East Dorset 005B,Investigation complete; no suspect identified
30cf7a96fc966dee39153c76c840b0d2324836f4530d8afeb15ffdd4e05c1247,2013-11,Dorset Police,Dorset Police,-2.454136,50.604900,On or near NEWBERRY ROAD,E01020581,Weymouth and Portland 004E,Investigation complete; no suspect identified
0df294ecf47fd171dcebc5bad59f819295899216427420417efd70f2be90fd36,2013-11,Dorset Police,Dorset Police,-2.277521,50.982406,On or near DOVER STREET,E01020462,North Dorset 002D,Investigation complete; no suspect identified
309a0be466b9ebc5e4eb83b43d848fc713afd8514eb8ab6abf394f0e9b1cb8cb,2013-11,Dorset Police,Dorset Police,-2.512247,50.945238,On or near Supermarket,E01020544,West Dorset 001C,Investigation complete; no suspect identified
f933fa1a58ad7385633194bd51561e380908f0ea491c28ee4948cf7a610d60ec,2013-11,Dorset Police,Dorset Police,-2.251273,50.624112,On or near MAIN ROAD,E01020489,Purbeck 004A,Investigation complete; no suspect identified
8dbe36b17e13f56c81876ad21586907da28a559e8957e4b85480861cfe151620,2013-11,Dorset Police,Dorset Police,-2.454829,50.610859,On or near SCHOOL STREET,E01020554,Weymouth and Portland 004B,Investigation complete; no suspect identified
646e2e999a4fbe612cf3ed6f0c68448b5c513f8e96a1ccfd37b47e6416d70704,2013-11,Dorset Police,Dorset Police,-1.859151,50.872549,On or near WOODLINKEN DRIVE,E01020418,East Dorset 002C,Investigation complete; no suspect identified
d399950770ae377f5c0705e4cd12e8087b189e6eec90de3f3e0384b2d1938650,2013-11,Dorset Police,Dorset Police,-1.868738,50.803759,On or near SEVERN ROAD,E01020393,East Dorset 008D,Investigation complete; no suspect identified
e888811804d474f3c2ae8cdcaf9d0bece2a4809af1c77e5ed467a44ce255234f,2013-11,Dorset Police,Dorset Police,-1.973826,50.796734,On or near DAY'S COURT,E01020427,East Dorset 010B,Investigation complete; no suspect identified
5d6b27f42bb079647e7e238984ad74bd534e6d6f6a334646b673437fe8b5dc2c,2013-11,Dorset Police,Dorset Police,-1.787217,50.733640,On or near DOUGLAS AVENUE,E01020367,Christchurch 006D,Investigation complete; no suspect identified
25f67fd3bf6480274dce4c74f224270a6a554b051e1305299093b119ed2fc298,2013-11,Dorset Police,Dorset Police,-1.783677,50.736035,On or near BARRACK ROAD,E01020368,Christchurch 006E,Investigation complete; no suspect identified
6ba9e0644ac5c7187f544f2fb814b9b731e51df614ba407890768d4a4cc3c5b6,2013-11,Dorset Police,Dorset Police,-2.430817,50.708217,On or near BARNES WAY,E01020519,West Dorset 010B,Investigation complete; no suspect identified
d44b40f68813a20d306dd77fac54d0fd8790e37bdb8d2c65d6f191ae9be14009,2013-11,Dorset Police,Dorset Police,-2.426639,50.705076,On or near HIGHGROVE CLOSE,E01020519,West Dorset 010B,Investigation complete; no suspect identified
f8ac557d6f8ec7395ed2013e0dbd8dcab1fab6e03bbf2b9a8b13602b53e8eb22,2013-11,Dorset Police,Dorset Police,-2.454381,50.614207,On or near ALBERT STREET,E01020554,Weymouth and Portland 004B,Investigation complete; no suspect identified
