Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
3491f88bb285065ce60a04c2327b4f08d00ae3a752b5ec35022f504487aa1e3c,2013-12,Essex Police,Essex Police,0.456761,51.565983,On or near TAKELY RIDE,E01021297,Basildon 020D,Investigation complete; no suspect identified
411abe6c252360116448cd9f18bb5047d0e4e79c2ed69a4150f4094865327cf5,2013-12,Essex Police,Essex Police,1.155299,51.788653,On or near ORWELL ROAD,E01022025,Tendring 016B,Investigation complete; no suspect identified
991ca95c4969bc4e4cbbb4176f5c0ce5f657ed885190b7df4cf821670c762733,2013-12,Essex Police,Essex Police,0.902192,51.889423,On or near ST NICHOLAS STREET,E01021649,Colchester 007D,Investigation complete; no suspect identified
a1e4dc900395fd1730ecf61063c689811610681292fb398ce154a8876bb93c49,2013-12,Essex Police,Essex Police,0.714143,51.536234,On or near Shopping Area,E01015852,Southend-on-Sea 015B,Investigation complete; no suspect identified
17c80c6d509f151fa7fc820c009a1ec85275bc8743029a00784214266888c9df,2013-12,Essex Police,Essex Police,0.458530,51.741887,On or near RIDGEWELL AVENUE,E01021575,Chelmsford 009B,Investigation complete; no suspect identified
c6649285970590f2dbae9fc709d93e7c4195d54fac21f59d4719a8c6b250e7b6,2013-12,Essex Police,Essex Police,0.273833,51.503168,On or near FULBROOK LANE,E01015928,Thurrock 007B,Investigation complete; no suspect identified
c7e94b94fbb6434bc2abe1337cc02b1adf98e98634e694ec184a2b240b8008db,2013-12,Essex Police,Essex Police,0.636839,51.944504,On or near HIGH STREET,E01021387,Braintree 004A,Investigation complete; no suspect identified
adf59cb34687dedd743243bd95636cb339acc14509659909fe0c8147b348241e,2013-12,Essex Police,Essex Police,1.258154,51.849535,On or near KIRBY ROAD,E01022055,Tendring 006D,Investigation complete; no suspect identified
525da5ebe34115b3390042e9b3b7db4a8444eb8ad90372a321c9e4aebfc96c2e,2013-12,Essex Police,Essex Police,0.920942,51.884039,On or near ST LEONARD'S ROAD,E01021685,Colchester 011C,Investigation complete; no suspect identified
1dadc0e01310709a679c2860c70f6399455e8bbd9111ff746e8831aa270d8368,2013-12,Essex Police,Essex Police,0.101140,51.747177,On or near SPRUCE HILL,E01021860,Harlow 010D,Investigation complete; no suspect identified
8c86dc6e4a3676b740874aa9fbd767b4886dac416d26b2f274727c4270ed1241,2013-12,Essex Police,Essex Police,0.723074,51.582659,On or near MILL LANE,E01021915,Rochford 004A,Investigation complete; no suspect identified
081a084f41822d9b335a073747cfa367ab421b1e00c78c21f97b3c7408a1a33b,2013-12,Essex Police,Essex Police,0.893409,51.882336,On or near CAVALRY ROAD,E01021651,Colchester 013A,Investigation complete; no suspect identified
7a690897b8e5032b2be355fbb94ff18f124fc5e93bcb1db2d8dac24562e8be25,2013-12,Essex Police,Essex Police,0.636072,51.541801,On or near CASTLE DRIVE,E01015910,Southend-on-Sea 008C,Investigation complete; no suspect identified
cb5bcb54fd35a768ad90b115aa94ca1704f17bca17813ede26d2e2c9fd24acd9,2013-12,Essex Police,Essex Police,0.470942,51.566180,On or near MISTLEY END,E01021295,Basildon 020B,Investigation complete; no suspect identified
62938c375fd68d7085ed09266b940366b548bda16e370c96eba7b7a83d0614b3,2013-12,Essex Police,Essex Police,1.123858,51.800844,On or near CAVENDISH DRIVE,E01021977,Tendring 013C,Investigation complete; no suspect identified
0c92a03eedb207d097842d931b2eb09e2cb310f171a4bea2e1cd758cd7e849d5,2013-12,Essex Police,Essex Police,0.674783,51.565891,On or near Sports/Recreation Area,E01015864,Southend-on-Sea 002B,Investigation complete; no suspect identified
7a252c28e0f3f35848693c3c3ebef5f81144c8b0e01c0fc74c590902caaf5dd3,2013-12,Essex Police,Essex Police,0.698160,51.597804,On or near JOHNSON CLOSE,E01021931,Rochford 002E,Investigation complete; no suspect identified
834e4d425cf69531a3d649af3f9519bc47249fd6a42333714fd3b04f70f3021a,2013-12,Essex Police,Essex Police,0.640291,51.560610,On or near BROADLAWN,E01015817,Southend-on-Sea 003D,Investigation complete; no suspect identified
f64520d62e72ada4dc844bef8a9dffbb7e6b9959a6fda7c6138e3a30031b4145,2013-12,Essex Police,Essex Police,0.782030,51.528994,On or near LINTON ROAD,E01015920,Southend-on-Sea 017G,Investigation complete; no suspect identified
9ae7f3851050f7fa11fdd519c5959c88ac98b3f259cc45c4cc7cd6049b9fa2e8,2013-12,Essex Police,Essex Police,0.362589,51.876949,On or near Parking Area,E01033056,Uttlesford 007F,Investigation complete; no suspect identified
