Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
2f5159d5a94147c2965d3a1a5f75c865ad43fa1e8088c03e43a41598a28b403a,2013-12,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.010965,51.778029,On or near GRANVILLE GARDENS,E01023316,Broxbourne 001A,Investigation complete; no suspect identified
d3cba08b7774f7d1aea5cf2f641f469b9e5f70c14bcf7ba6196f451fe6067c58,2013-12,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.045704,51.744010,On or near WHITE STUBBS LANE,E01023289,Broxbourne 004A,Investigation complete; no suspect identified
d69b103f4b6d8cca80f47f74ef7bde5e6d6d701cfb5bbd57107d50db25183bdf,2013-12,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.012880,51.746328,On or near COURTFIELD CLOSE,E01023291,Broxbourne 004C,Investigation complete; no suspect identified
d91bc77668c1d510c41512d92136dbc9b4b7d4c3ac38b951f7acecc795a8191f,2013-12,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.025504,51.733205,On or near THE CROFT,E01023341,Broxbourne 005B,Investigation complete; no suspect identified
a92e20e756f0bab5bb3db25403ef06e14175c8543b91d012c1fa2fb1b2c6f7e3,2013-12,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.012033,51.759991,On or near HIGH STREET,E01023320,Broxbourne 003A,Investigation complete; no suspect identified
e864c3f57a85c45c7a86d1ce656473b5d2f2fff17d33c3389afc4f99baa35cab,2013-12,Hertfordshire Constabulary,Hertfordshire Constabulary,0.002733,51.767860,On or near CECIL ROAD,E01023330,Broxbourne 002D,Investigation complete; no suspect identified
e82c982a031bc0cce3d12125ad9fec222b0ba85ed3951b0c77c41220b3693a7e,2013-12,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.002518,51.773336,On or near ESTFELD CLOSE,E01023328,Broxbourne 002B,Investigation complete; no suspect identified
0b21b2ce3d2cd4f5bb8d879fcf5c949942d965b153837fc51db11841877b99ec,2013-12,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.013939,51.759825,On or near Parking Area,E01023320,Broxbourne 003A,Investigation complete; no suspect identified
9ffad18eb166597d7d49c97b394283c096c8e2eb23db33843241d8d1327ade8d,2013-12,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.037893,51.745093,On or near Park/Open Space,E01023289,Broxbourne 004A,Investigation complete; no suspect identified
aaf9c2b234c485c733760830fbfbaccae627dc0e3c2e71d9ed60c5a02876b92e,2013-12,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.013120,51.760647,On or near Parking Area,E01023320,Broxbourne 003A,Investigation complete; no suspect identified
b17181f5be4eb85065672bf3e099aa22d3110c8289afc17a82d427188f5c8a02,2013-12,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.006847,51.763581,On or near PARROTTS FIELD,E01023323,Broxbourne 003D,Investigation complete; no suspect identified
eb6de4f136233bbfddaccb357f8ba4eb6ef35d24012e36d0ac7d67f66ea0325e,2013-12,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.015073,51.776246,On or near BOREHAM MEWS,E01023317,Broxbourne 001B,Investigation complete; no suspect identified
ab6986e2304d3525d68813ac1366b50ee13fc673648f4f73db64419711f68916,2013-12,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.013644,51.743760,On or near Parking Area,E01023292,Broxbourne 004D,Investigation complete; no suspect identified
730eaef0485b6b169f19ff32b66d71d9d24633c685596b3160711b4550c65d60,2013-12,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.012491,51.759792,On or near Supermarket,E01023320,Broxbourne 003A,Investigation complete; no suspect identified
e389053cd0a2f4f1333f62d22fc6d7e84e071950d33e04215c125af81409e3ac,2013-12,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.010523,51.762699,On or near Hospital,E01023323,Broxbourne 003D,Investigation complete; no suspect identified
0f9ea457d6d5022cada23be705c59962a61e42b67d8fd79a5e6fdd3a1c75f4b2,2013-12,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.024688,51.731995,On or near HIGH ROAD WORMLEY,E01023341,Broxbourne 005B,Investigation complete; no suspect identified
357424756ccd3754a3d454dae179c610f00ee132d4a863d984d777608707566c,2013-12,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.013939,51.759825,On or near Parking Area,E01023320,Broxbourne 003A,Investigation complete; no suspect identified
d971091245c4c70f74f072ddc652905d051e76f665074e3c15a35af3416e6253,2013-12,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.010250,51.760005,On or near CONDUIT LANE,E01023320,Broxbourne 003A,Investigation complete; no suspect identified
7b29e03091d2c21be3ef32a9f1fa052b481879b9411e07542cf0abd937d0a6e7,2013-12,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.010844,51.768252,On or near MIDDLEFIELD AVENUE,E01023327,Broxbourne 002A,Investigation complete; no suspect identified
74233e85b31a6047b540a1ed9b5147298bad80231a2d6d4a24841af60450c289,2013-12,Hertfordshire Constabulary,Hertfordshire Constabulary,0.003301,51.756799,On or near Parking Area,E01023321,Broxbourne 003B,Investigation complete; no suspect identified
fce899ca5aaa39eb507ab9cb4439fa76cebaa52b19035556ac16e6ba0f4c01e9,2013-12,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.015286,51.774379,On or near HOWFIELD GREEN,E01023317,Broxbourne 001B,Investigation complete; no suspect identified
d70f686a1e0a62d432c2cfb3a42957180fc7511513d672be3e55cd897ed46597,2013-12,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.006736,51.776959,On or near BRIDLE WAY (NORTH),E01023318,Broxbourne 001C,Investigation complete; no suspect identified
aef7142cb7ac17c403e127b6ae53efb4f6c1e24271a44ac0bf23441302b980b3,2013-12,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.013037,51.747373,On or near STAFFORD DRIVE,E01023291,Broxbourne 004C,Investigation complete; no suspect identified
cac5ab4e7b57816fc6e8f7d167e9e1957617a8070633cd8ab16c4be121f8b8fc,2013-12,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.018954,51.744569,On or near MILL LANE CLOSE,E01023292,Broxbourne 004D,Investigation complete; no suspect identified
58dc173c7113bd157e43676cb1e3efe13768e564202d24ee3149a7a208dcc9c3,2013-12,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.027239,51.721319,On or near BROOMFIELD AVENUE,E01023344,Broxbourne 005E,Investigation complete; no suspect identified
50be650fa183fd00945659c4bf87202ace537e24c811fb3f8bdd0ba7d966d927,2013-12,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.002946,51.739658,On or near NAZEING NEW ROAD,E01021792,Epping Forest 002B,Investigation complete; no suspect identified
916d84b0a2a1e77b91c96c9afc205d753cbe2d7ab320c420a7278a5cf3ca7501,2013-12,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.016321,51.755396,On or near Park/Open Space,E01023321,Broxbourne 003B,Investigation complete; no suspect identified
841ac4b66dbbacb3cda0861c74d55a8cb5b4f31a54e742b50c9138ff234b68ba,2013-12,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.015961,51.775838,On or near PLOMER AVENUE,E01023317,Broxbourne 001B,Investigation complete; no suspect identified
3195b0b2e187f86c57b4697a83672741dfcc37f472118cf598ad8a7e15610975,2013-12,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.017384,51.771483,On or near ROSELANDS AVENUE,E01023319,Broxbourne 001D,Investigation complete; no suspect identified
9d42f7118bcc3815b61cc9507792eb0c84b6e5cfc9f00a8275d9063c52750833,2013-12,Hertfordshire Constabulary,Hertfordshire Constabulary,0.003581,51.760157,On or near SCOTT CLOSE,E01023330,Broxbourne 002D,Investigation complete; no suspect identified
