Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
b8803a7b4b1a888d3fe59efe71440b6e9be7a014792f9b514385aad44179b0fa,2013-12,Surrey Police,Surrey Police,-0.423057,51.400865,On or near TADMOR CLOSE,E01030719,Spelthorne 011C,Investigation complete; no suspect identified
9e5e36db7d774a3e43c0006d84eaa19451d83fab88e31404e665426ad5bd3ac0,2013-12,Surrey Police,Surrey Police,-0.553082,51.308070,On or near ELMBRIDGE LANE,E01030972,Woking 011B,Investigation complete; no suspect identified
9ace80532526149edeabb468fdccfc6cc8706b393011936fa4574a309a1f9112,2013-12,Surrey Police,Surrey Police,0.008240,51.161214,On or near MEADES CLOSE,E01030821,Tandridge 010A,Investigation complete; no suspect identified
12723bb7b085aa8dd5e0a189351405d23cf84a374998c6adfb85b1ffac1b522b,2013-12,Surrey Police,Surrey Police,-0.345422,51.401764,On or near BRIDGE ROAD,E01030326,Elmbridge 002A,Investigation complete; no suspect identified
2b996688ed3a991b2547f5f3d355b8abceb57091c22e1b85a93545b60f24f142,2013-12,Surrey Police,Surrey Police,-0.085595,51.284130,On or near Hospital,E01030847,Tandridge 005B,Investigation complete; no suspect identified
6b47e5079cb1d7d21a16f9888719e9d81b368075c51ca7cceceb84840119f1a8,2013-12,Surrey Police,Surrey Police,-0.087491,51.287857,On or near ESSENDENE ROAD,E01030847,Tandridge 005B,Investigation complete; no suspect identified
4f0e99d22a61ef4e69c98c5b4aab8d80b7e30acc278016fe493e4c1bd3f83d8d,2013-12,Surrey Police,Surrey Police,-0.521277,51.324533,On or near DEAN CLOSE,E01030996,Woking 002A,Investigation complete; no suspect identified
6ac751389a83f024d1789e4224f9e2cdadaeb01e3cbbc83db875890bd7314126,2013-12,Surrey Police,Surrey Police,-0.542375,51.323134,On or near Parking Area,E01030988,Woking 006A,Investigation complete; no suspect identified
94c1bf063a086ed067756b87cae6522048c0b5b9ef1dc203c810c996bc859511,2013-12,Surrey Police,Surrey Police,0.009198,51.154947,On or near MUTTON HILL,E01030822,Tandridge 010B,Investigation complete; no suspect identified
27072e333481beba3d604abe3ca230b89ef08b3dd036176a325812dede568b7b,2013-12,Surrey Police,Surrey Police,-0.079383,51.276627,On or near GRANGE ROAD,E01030829,Tandridge 004B,Investigation complete; no suspect identified
