Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
1e224ecf3f3ac162af8e21dac42c7b94c57e31b528cdc2859d0b0b5a7f5528a8,2013-12,Northamptonshire Police,Northamptonshire Police,-0.820082,52.271460,On or near Pedestrian Subway,E01027246,Northampton 005E,Investigation complete; no suspect identified
c12d08c2621b8a25f5c42e98a60fe339f2be2d27e53e8504f3b36b78c9b8d770,2013-12,Northamptonshire Police,Northamptonshire Police,-0.799680,52.423835,On or near TRESHAM STREET,E01027124,Kettering 003B,Investigation complete; no suspect identified
95b60f0e1ef28247d658d038aae1c2bb82ddb160e2f3a8cb51d0102af5d9fa98,2013-12,Northamptonshire Police,Northamptonshire Police,-1.170649,52.263986,On or near HIGHFIELD ROAD,E01026988,Daventry 007B,Investigation complete; no suspect identified
0fbaa70118d61382ef1e11c866f93671d6dc295ce823d10d926b26df9a894f52,2013-12,Northamptonshire Police,Northamptonshire Police,-0.896940,52.240016,On or near Pedestrian Subway,E01027153,Northampton 021C,Investigation complete; no suspect identified
629661759093ab2d3e3e6d088aaa2633a215255fc27a855af50f88e479e2ab36,2013-12,Northamptonshire Police,Northamptonshire Police,-0.727050,52.398171,On or near MARKET STREET,E01027110,Kettering 007B,Investigation complete; no suspect identified
a6a6fad17b5ce1fcfe51472960051d017214be8f5feb06d81b651495b3371a34,2013-12,Northamptonshire Police,Northamptonshire Police,-0.690047,52.289662,On or near EDMONDS CLOSE,E01027320,Wellingborough 008D,Investigation complete; no suspect identified
fea96c64e289b003c43c15526b556b7eaa49059be69ac0dce625ab2c581d4e5d,2013-12,Northamptonshire Police,Northamptonshire Police,-0.688657,52.302009,On or near VICTORIA ROAD,E01027349,Wellingborough 006A,Investigation complete; no suspect identified
6384c33c11f13a7a794b60a23d745b2f0b3e0969ee050dd49d6be9c1b68a5dfe,2013-12,Northamptonshire Police,Northamptonshire Police,-0.691941,52.305012,On or near PARK CRESCENT,E01027352,Wellingborough 006D,Investigation complete; no suspect identified
11b4ffaf2c6248c8a49704d54a8e3d7f7d0c75c42532727be7b3d79365bf87b2,2013-12,Northamptonshire Police,Northamptonshire Police,-0.739514,52.471892,On or near BRUNSWICK GARDENS,E01026953,Corby 008A,Investigation complete; no suspect identified
fa7dd96ac1eb54acb7b3ef48e1c40576b79a571439c2b2d0369819d0f7c0b0a0,2013-12,Northamptonshire Police,Northamptonshire Police,-0.862569,52.266311,On or near MANDEVILLE CLOSE,E01027171,Northampton 006A,Investigation complete; no suspect identified
