Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
17e4ba54d53dcc24229d1c52552c171ca00d1ab67f26ef1b5daa773b26b40603,2013-12,Lincolnshire Police,Lincolnshire Police,0.040599,53.136600,On or near PADLEYS LANE,E01026060,East Lindsey 009A,Investigation complete; no suspect identified
024bb5baf77bb59fb7f05919c060c5dd3c5d7e50ba9470efe2bbb6951ff3bec4,2013-12,Lincolnshire Police,Lincolnshire Police,0.343643,53.139246,On or near SOUTH PARADE,E01026093,East Lindsey 014B,Investigation complete; no suspect identified
38e153d8b112abf3d9c80bb385b3a4b21140b8e4b70668c82eb21e319a8aa2b5,2013-12,Lincolnshire Police,Lincolnshire Police,-0.365517,52.765709,On or near POTTERS CLOSE,E01026298,South Kesteven 011D,Investigation complete; no suspect identified
e47e68dabcc083afd12944b78e6967fa9d0481b79ef6bfd03a8cf69095574286,2013-12,Lincolnshire Police,Lincolnshire Police,-0.048362,52.916780,On or near WASH ROAD,E01026019,Boston 007C,Investigation complete; no suspect identified
5d3d71b993f4f518de1ba6743cae36de6729b1134c6a6a0ebdc1e0d4a9b0794e,2013-12,Lincolnshire Police,Lincolnshire Police,-0.484753,53.308704,On or near RIVEHALL AVENUE,E01026413,West Lindsey 008C,Investigation complete; no suspect identified
e459afa13012fd9704317ebabe0f528910ae1546bd895d087aedde6b85073ee0,2013-12,Lincolnshire Police,Lincolnshire Police,-0.626529,52.918586,On or near SHARPE ROAD,E01026326,South Kesteven 003B,Investigation complete; no suspect identified
5ef328d06f4969eba121ead3afde01de98483047a6ca534318084c12ad77f10f,2013-12,Lincolnshire Police,Lincolnshire Police,-0.012557,52.964259,On or near NURSERY ROAD,E01026029,Boston 009A,Investigation complete; no suspect identified
b5d35a722bb333c47916e15aa63b680d896f26d2da72e9df5a3a422b4bdce683,2013-12,Lincolnshire Police,Lincolnshire Police,-0.519670,53.422554,On or near PINGLE LANE,E01026411,West Lindsey 005D,Investigation complete; no suspect identified
07f4e26433e402b5dcc093b4c7499f37adda63c6cac0d9e983217a7406618db6,2013-12,Lincolnshire Police,Lincolnshire Police,-0.674044,53.326698,On or near ST MARY'S CRESCENT,E01026404,West Lindsey 007B,Investigation complete; no suspect identified
785953f0769197c62ae84bca13c1edf7ce73686e7407990984e409369a1381eb,2013-12,Lincolnshire Police,Lincolnshire Police,-0.305162,53.498047,On or near GRIMSBY ROAD,E01026367,West Lindsey 001A,Investigation complete; no suspect identified
06a9c21ec76b4f798eec9ab7fdf90d42ea7ee8fb227fdf3dd0e8fc333563e967,2013-12,Lincolnshire Police,Lincolnshire Police,0.247305,53.156640,On or near VENABLES CLOSE,E01026047,East Lindsey 013B,Investigation complete; no suspect identified
0093d4ad3746995379cfe5f6bcdcdef56687cfc2ffc8120aa76d3aca98a2d166,2013-12,Lincolnshire Police,Lincolnshire Police,-0.735774,53.475268,On or near EAST FERRY ROAD,E01026403,West Lindsey 002D,Investigation complete; no suspect identified
c454b7796c3c09f181515e589acc8bb55268ca92f1200567b4fa9a1f554a6d3d,2013-12,Lincolnshire Police,Lincolnshire Police,-0.001893,53.375501,On or near Shopping Area,E01026077,East Lindsey 003A,Investigation complete; no suspect identified
